index,label,blank_logit_both,blank_logit_img_only,blank_logit_txt_only,drop_logit_both,drop_logit_img_only,drop_logit_txt_only,blank_score_both,blank_score_img_only,blank_score_txt_only,drop_score_both,drop_score_img_only,drop_score_txt_only
10,1,7.414351,4.7380505,0.6856059,7.414351,4.2288504,0.107376635,0.9993979,0.9913203,0.6649887,0.9993979,0.98564005,0.5268184
15,1,8.325293,4.7346425,0.6860643,8.325293,4.4350615,0.06847839,0.9997577,0.9912909,0.6650908,0.9997577,0.9882846,0.5171129
29,1,8.398041,4.3503304,0.68668175,8.398041,3.5738957,0.23267648,0.99977475,0.98726183,0.66522837,0.99977475,0.9727188,0.5579081
62,1,6.1372943,5.3955774,0.7033585,6.1372943,4.3816915,0.13742188,0.99784386,0.9954839,0.66893196,0.99784386,0.9876502,0.5343015
66,0,-2.649733,3.4299371,0.71262914,-2.649733,3.0606697,-0.009005725,0.06600546,0.9686272,0.6709818,0.06600546,0.95524096,0.49774855
124,1,6.702221,4.415139,0.6941302,6.702221,3.940104,-0.15154731,0.9987733,0.98805165,0.6668851,0.9987733,0.9809248,0.46218553
152,0,-1.4137765,4.3604493,0.70802367,-1.4137765,3.6054718,0.14602774,0.19563909,0.98738843,0.66996425,0.19563909,0.97354436,0.5364422
161,0,10.071881,5.030299,0.6825308,10.071881,4.2407956,0.16150291,0.9999578,0.9935056,0.6643033,0.9999578,0.98580813,0.5402882
191,1,7.778105,3.9549267,0.5787411,7.778105,3.584927,0.19465071,0.9995814,0.98120016,0.6407777,0.9995814,0.97301,0.54850966
222,0,-10.1642685,3.8740554,0.6429074,-10.1642685,2.9187112,-0.04086691,3.8520997e-05,0.97964877,0.6554104,3.8520997e-05,0.94876367,0.4897847
261,0,-9.648474,3.7026012,0.5377759,-9.648474,2.0685086,0.05880165,6.451981e-05,0.97593415,0.63129485,6.451981e-05,0.8878045,0.5146962
292,0,9.9435425,5.2654443,0.6218752,9.9435425,4.016165,0.02530481,0.99995196,0.99485946,0.65064496,0.99995196,0.9822971,0.50632584
308,1,9.877498,4.673084,0.53830093,9.877498,3.766262,-0.0891331,0.99994874,0.9907431,0.63141704,0.99994874,0.97738487,0.47773153
333,1,6.1340957,5.0258455,0.59816587,6.1340957,3.9707987,0.11407916,0.997837,0.9934768,0.64523655,0.997837,0.98149073,0.5284889
334,1,6.8907385,4.3954525,0.70514035,6.8907385,3.4166152,0.22138886,0.9989838,0.987817,0.6693264,0.9989838,0.9682198,0.55512226
346,1,10.590679,5.1350546,0.5965234,10.590679,4.7492995,-0.23577546,0.99997485,0.9941478,0.6448605,0.99997485,0.9914165,0.44132766
376,1,7.1349177,4.7514653,0.7520244,7.1349177,4.0605116,0.06733924,0.99920386,0.991435,0.67961967,0.99920386,0.983052,0.5168284
389,1,4.20607,3.0360591,0.5537931,4.20607,2.25557,-0.0067916214,0.985314,0.9541768,0.63501513,0.985314,0.9051299,0.4983021
407,0,2.739873,4.08708,0.6220435,2.739873,3.1189976,0.030803114,0.93933886,0.98348904,0.65068316,0.93933886,0.95766956,0.50770015
416,1,8.349836,4.6745863,0.6770029,8.349836,3.6518624,-0.018953636,0.99976367,0.9907568,0.6630694,0.99976367,0.9747132,0.4952617
430,1,9.098682,4.7881975,0.5604174,9.098682,3.9721084,0.1116035,0.9998882,0.9917413,0.6365491,0.9998882,0.9815145,0.5278719
451,0,-8.78196,3.9538977,0.6673456,-8.78196,3.1582248,0.05852873,0.0001534535,0.98118114,0.6609085,0.0001534535,0.9592316,0.514628
483,0,-0.4278738,1.5363363,0.59539926,-0.4278738,0.24850005,0.19368926,0.3946342,0.82293147,0.644603,0.3946342,0.5618073,0.54827154
517,0,-9.916983,3.19484,0.5842779,-9.916983,2.4991188,0.13343255,4.9327347e-05,0.96063966,0.64205116,4.9327347e-05,0.92408,0.53330874
520,0,-10.402348,3.579646,0.6270975,-10.402348,2.3913515,0.0966617,3.0360203e-05,0.97287095,0.65183103,3.0360203e-05,0.9161655,0.5241466
535,1,10.0437355,5.2903886,0.58529663,10.0437355,4.2612953,0.11670624,0.9999565,0.99498546,0.6422853,0.9999565,0.98609215,0.5291435
581,1,7.040292,4.986041,0.6550002,7.040292,4.026358,-0.124177,0.99912494,0.99321365,0.65813637,0.99912494,0.9824735,0.4689956
583,0,9.040833,4.1903133,0.7518867,9.040833,3.4551144,-0.058033794,0.9998815,0.98508435,0.6795896,0.9998815,0.9693833,0.48549563
596,0,-4.2866654,3.632495,0.8182235,-4.2866654,3.0582252,0.5269363,0.013564184,0.9742314,0.6938591,0.013564184,0.9551363,0.6287683
608,0,7.944936,4.014535,0.6658439,7.944936,3.0913494,-0.24877667,0.9996457,0.9822687,0.66057193,0.9996457,0.95653456,0.43812466
610,1,7.7048798,4.8158503,0.7099011,7.7048798,3.8911464,0.030953959,0.99954957,0.9919647,0.67037934,0.99954957,0.97998685,0.5077379
612,0,-0.699376,2.1305754,0.7277366,-0.699376,1.6769555,0.1634719,0.33195058,0.8938396,0.67430836,0.33195058,0.842501,0.54077715
630,0,5.046057,4.8022943,0.64425296,5.046057,3.9462562,0.044040576,0.99360645,0.991856,0.6557142,0.99360645,0.9810395,0.5110084
647,1,5.288373,4.7238274,0.63489884,5.288373,3.8882098,-0.010398954,0.99497545,0.9911971,0.65359944,0.99497545,0.97992915,0.49740028
672,0,-6.379873,1.9347677,0.61386,-6.379873,1.0614994,0.0053668767,0.0016924693,0.8737762,0.6488208,0.0016924693,0.74297696,0.5013417
686,1,8.633828,5.2961087,0.6986103,8.633828,4.0531383,0.1677865,0.9998221,0.9950139,0.66787964,0.9998221,0.98292863,0.5418485
702,1,5.703268,5.206806,0.69219273,5.703268,4.261036,0.16840562,0.9966761,0.99455076,0.66645455,0.9966761,0.9860886,0.5420022
725,0,-11.477074,1.1392621,0.6041814,-11.477074,1.1566362,0.06991789,1.03649145e-05,0.7575441,0.64661235,1.03649145e-05,0.76072097,0.5174724
746,0,-2.1965678,3.0166006,0.60206604,-2.1965678,2.1897044,-0.028666444,0.10005912,0.95331854,0.64612883,0.10005912,0.8993212,0.49283385
763,0,-1.1844838,3.8199303,0.60543585,-1.1844838,3.4515343,0.14208099,0.23424694,0.9785412,0.646899,0.23424694,0.9692769,0.5354606
777,0,-8.195712,1.7172186,0.7514812,-8.195712,1.2908546,0.3101889,0.00027575772,0.8477702,0.67950135,0.00027575772,0.7842918,0.57693136
828,1,9.388115,4.754521,0.6153969,9.388115,4.0366535,-0.022371888,0.9999163,0.9914609,0.64917094,0.9999163,0.9826499,0.49440727
839,0,5.9099526,4.820532,0.621923,5.9099526,3.831347,0.062078394,0.99729496,0.992002,0.65065575,0.99729496,0.97877973,0.5155146
850,0,-4.0161686,4.956874,0.5860007,-4.0161686,3.666767,0.31538206,0.017702842,0.9930143,0.642447,0.017702842,0.97507805,0.57819843
878,0,2.7331002,3.7937064,0.7411928,2.7331002,2.8679671,0.14928952,0.93895173,0.97798365,0.67725664,0.93895173,0.94624,0.5372532
915,1,8.611633,4.7231293,0.6749065,8.611633,4.085767,0.2782427,0.999818,0.99119097,0.66260093,0.999818,0.98346764,0.56911534
948,0,-4.036623,2.7726045,0.6961796,-4.036623,1.7364292,0.26615292,0.01735064,0.9411773,0.6673402,0.01735064,0.8502329,0.5661482
964,0,10.360774,5.1929345,0.57530975,10.360774,4.384783,0.18542677,0.9999684,0.99447507,0.6399875,0.9999684,0.9876879,0.54622436
970,1,10.866205,5.5455427,0.7659,10.866205,4.424699,0.037302233,0.9999809,0.9961104,0.68263334,0.9999809,0.98816395,0.50932443
980,0,-0.17660066,2.432521,0.66904247,-0.17660066,2.0501304,0.12495388,0.4559642,0.9192738,0.66128874,0.4559642,0.88596076,0.5311979
982,0,10.609616,5.389221,0.550349,10.609616,4.448988,0.06839436,0.9999753,0.99545527,0.63421655,0.9999753,0.9884447,0.51709193
986,1,4.9136586,5.317896,0.62163496,4.9136586,4.016534,0.054028526,0.992708,0.9951208,0.6505903,0.992708,0.98230356,0.51350385
989,0,7.3687963,4.8229113,0.7068749,7.3687963,4.003051,0.13447519,0.9993698,0.9920209,0.6697103,0.9993698,0.9820676,0.5335682
1009,0,-11.127468,0.7348814,0.61451405,-11.127468,0.22123265,-0.08661048,1.4702651e-05,0.67587554,0.6489698,1.4702651e-05,0.5550837,0.47836092
1073,1,9.074414,4.7788935,0.5763424,9.074414,4.191957,-0.06441654,0.99988544,0.9916647,0.64022535,0.99988544,0.98510844,0.4839014
1084,0,-8.450301,0.7042227,0.6044507,-8.450301,0.42019606,-0.00991267,0.00021379029,0.66912335,0.6466739,0.00021379029,0.60353017,0.49752182
1101,0,9.218643,4.433592,0.6827506,9.218643,3.8352454,0.054682672,0.9999008,0.9882675,0.6643523,0.9999008,0.97886044,0.5136673
1120,1,10.768132,5.614892,0.698854,10.768132,5.2683806,-0.09325615,0.9999789,0.9963701,0.66793364,0.9999789,0.9948744,0.47670287
1143,0,-1.6583345,3.9776852,0.56441855,-1.6583345,3.2226052,-0.06267896,0.15998569,0.98161536,0.63747424,0.15998569,0.9616762,0.48433542
1194,1,10.146248,5.942107,0.5238559,10.146248,5.19643,-0.03732893,0.9999608,0.9973803,0.628049,0.9999608,0.99449414,0.49066883
1203,0,-4.5196233,0.83992416,0.67383647,-4.5196233,0.3331401,0.093168035,0.010775745,0.69844925,0.6623617,0.010775745,0.5825232,0.5232752
1211,0,-9.210245,3.370028,0.5750133,-9.210245,2.8333392,-0.045550466,9.9999525e-05,0.9667546,0.63991916,9.9999525e-05,0.9444511,0.48861432
1213,1,0.9240743,5.1383986,0.63833815,0.9240743,4.830251,-0.064115375,0.7158716,0.9941671,0.6543777,0.7158716,0.9920787,0.48397663
1233,1,10.376261,5.601901,0.6393073,10.376261,4.7130804,0.0031444207,0.9999689,0.99632275,0.65459687,0.9999689,0.9911028,0.5007861
1255,0,-6.3976336,4.3405952,0.5745792,-6.3976336,3.4040833,0.076237425,0.0016627247,0.9871388,0.6398191,0.0016627247,0.96783197,0.5190501
1287,0,-5.075882,2.270196,0.54690915,-5.075882,1.4458764,-0.08618164,0.0062068105,0.9063784,0.6334182,0.0062068105,0.809363,0.47846794
1332,0,-10.2621155,1.5205175,0.6215233,-10.2621155,1.0917059,0.12756023,3.493049e-05,0.8206147,0.6505649,3.493049e-05,0.7487028,0.5318469
1333,0,-8.07645,3.9103796,0.71933067,-8.07645,2.8348742,0.056394234,0.00031067565,0.98036057,0.6724596,0.00031067565,0.9445315,0.5140948
1354,1,-10.236027,3.064515,0.6266295,-10.236027,2.3485665,0.047892824,3.585374e-05,0.955405,0.6517248,3.585374e-05,0.9128202,0.51197094
1359,1,6.1247325,4.983442,0.6653973,6.1247325,4.5124164,0.014799923,0.9978167,0.9931961,0.66047174,0.9978167,0.9891472,0.5036999
1386,0,-5.371068,3.7718492,0.53087205,-5.371068,3.119897,0.033057436,0.0046276487,0.9775081,0.6296865,0.0046276487,0.9577061,0.5082636
1433,1,8.552942,4.660883,0.8513796,8.552942,4.1035576,0.023678064,0.99980706,0.99063057,0.7008565,0.99980706,0.98375446,0.5059192
1475,1,8.979812,4.5112333,0.5187048,8.979812,3.883143,-0.058006927,0.9998741,0.98913443,0.6268448,0.9998741,0.97982925,0.4855023
1477,0,-11.284536,2.0271382,0.6001943,-11.284536,0.8621033,0.046818465,1.2565584e-05,0.88361704,0.64570075,1.2565584e-05,0.7030999,0.5117025
1505,1,2.9312449,2.103545,0.7350072,2.9312449,1.4789119,-0.0775817,0.9493695,0.8912473,0.67590314,0.9493695,0.8144082,0.48061433
1532,0,0.751271,4.7667565,0.6536833,0.751271,4.002801,0.22605862,0.6794556,0.9915638,0.65784,0.6794556,0.9820632,0.5562752
1609,1,10.426715,5.895238,0.675642,10.426715,4.818524,0.009604253,0.9999703,0.997255,0.6627654,0.9999703,0.99198604,0.50240105
1632,1,5.9345756,4.9815536,0.6798911,5.9345756,4.19658,-0.110698335,0.99736065,0.99318343,0.6637144,0.99736065,0.9851761,0.47235367
1633,1,11.725143,6.5993824,0.73708475,11.725143,5.2286196,-0.06585419,0.9999919,0.9986406,0.676358,0.9999919,0.99466765,0.4835424
1664,0,-6.5642605,3.945714,0.70679975,-6.5642605,3.3532207,0.36150447,0.0014078813,0.98102945,0.66969365,0.0014078813,0.96621007,0.5894046
1671,1,9.332962,5.076558,0.6323103,9.332962,4.794214,0.027280256,0.99991155,0.99379736,0.6530131,0.99991155,0.9917904,0.50681967
1682,0,9.065945,4.693449,0.7566714,9.065945,4.0261583,0.28234863,0.9998845,0.990928,0.6806306,0.9998845,0.98247004,0.57012194
1707,1,9.422409,5.1649837,0.69398034,9.422409,4.040921,0.12661123,0.99991906,0.9943193,0.66685176,0.99991906,0.9827225,0.5316106
1708,1,-6.9037457,3.2285461,0.68891704,-6.9037457,2.5174375,0.08141428,0.0010030107,0.9618945,0.665726,0.0010030107,0.92535526,0.5203423
1710,1,-7.838359,4.168506,0.637074,-7.838359,3.180349,-0.07206492,0.0003941602,0.98476046,0.6540917,0.0003941602,0.9600881,0.48199156
1740,1,11.778471,6.0191164,0.5986004,11.778471,5.280652,0.101657405,0.9999924,0.99757403,0.64533603,0.9999924,0.9949366,0.52539253
1750,1,2.1901872,4.734547,0.6828513,2.1901872,4.1005087,0.06657329,0.8993648,0.9912901,0.66437477,0.8993648,0.98370564,0.5166372
1757,0,6.5048094,4.815013,0.7550564,6.5048094,4.008048,0.07706174,0.99850607,0.99195814,0.6802795,0.99850607,0.9821554,0.5192559
1771,0,9.753778,5.1150312,0.6295555,9.753778,4.757761,0.09495955,0.99994195,0.9940301,0.6523887,0.99994195,0.9914882,0.52372205
1790,1,10.571858,5.136383,0.5950645,10.571858,4.3751783,-0.05730833,0.99997437,0.9941554,0.6445263,0.99997437,0.9875706,0.48567683
1838,0,-9.469277,4.0805607,0.84433615,-9.469277,3.2341316,0.09943866,7.718121e-05,0.98338276,0.69937766,7.718121e-05,0.9620987,0.5248392
1858,1,10.115452,5.34772,0.59440625,10.115452,4.4917736,0.12463413,0.9999596,0.9952636,0.6443755,0.9999596,0.9889233,0.5311183
1942,1,9.820579,5.467305,0.6788937,9.820579,4.357152,0.040023983,0.99994564,0.99579513,0.6634917,0.99994564,0.98734725,0.5100047
1948,0,6.469213,3.8489578,0.6653569,6.469213,3.0119815,0.14571312,0.99845195,0.9791423,0.6604627,0.99845195,0.9531125,0.53636396
1960,0,8.606185,4.8893094,0.60480285,8.606185,4.2448587,0.36950916,0.9998171,0.9925296,0.6467543,0.9998171,0.9858649,0.59134036
2002,0,-8.1077,0.7927349,0.7019825,-8.1077,0.38872927,0.050819024,0.00030112005,0.68841827,0.6686272,0.00030112005,0.59597677,0.51270205
2012,0,-6.819118,4.174276,0.6385506,-6.819118,3.170885,0.021778218,0.0010914915,0.98484683,0.6544257,0.0010914915,0.95972383,0.50544435
2026,0,8.889164,5.3001575,0.63471353,8.889164,4.0776305,0.021753564,0.9998621,0.995034,0.6535575,0.9998621,0.9833348,0.5054382
2027,1,9.466947,4.961497,0.62936175,9.466947,3.8935828,0.07004242,0.99992263,0.9930462,0.65234476,0.99992263,0.9800345,0.51750344
2089,0,0.24918275,2.7488554,0.63099104,0.24918275,2.4076953,-0.13079432,0.5619753,0.93984866,0.65271413,0.5619753,0.9174122,0.46734795
2100,1,0.86979795,3.9265747,0.8167767,0.86979795,2.82688,0.516599,0.7047037,0.98067,0.6935517,0.7047037,0.94411117,0.6263522
2178,1,4.555893,3.1784077,0.6218774,4.555893,3.022256,-0.04920955,0.9896041,0.96001357,0.65064543,0.9896041,0.9535695,0.48770013
2198,0,11.381975,6.0502133,0.68002963,11.381975,5.023381,0.05760435,0.99998856,0.9976482,0.6637453,0.99998856,0.9934608,0.5143971
2207,0,9.551949,5.1254044,0.60040116,9.551949,3.8550036,-0.07073814,0.99992895,0.99409133,0.6457481,0.99992895,0.9792656,0.48232284
2233,0,7.2062926,5.214922,0.5817761,7.2062926,4.5369253,-0.0004194677,0.9992586,0.9945945,0.641476,0.9992586,0.9894071,0.49989513
2244,1,-6.1699877,4.3395295,0.56657076,-6.1699877,3.6180377,0.0463873,0.0020868976,0.9871252,0.6379715,0.0020868976,0.973866,0.5115948
2292,1,10.184976,5.3821836,0.55004174,10.184976,4.567542,0.057419732,0.9999622,0.99542326,0.63414526,0.9999622,0.9897232,0.514351
2294,0,-10.884044,1.993513,0.7365875,-10.884044,1.2745179,0.054003462,1.8754768e-05,0.8801143,0.6762492,1.8754768e-05,0.7815152,0.5134976
2310,1,-8.406518,3.7120218,0.7078458,-8.406518,2.7849016,0.09092249,0.0002233565,0.9761544,0.66992503,0.0002233565,0.9418545,0.522715
2319,1,10.573442,5.326726,0.5831259,10.573442,4.938303,-0.09981636,0.99997437,0.99516356,0.64178634,0.99997437,0.9928843,0.4750666
2321,1,10.2686,4.859945,0.74238706,10.2686,4.170959,-0.18338385,0.9999653,0.99230874,0.67751765,0.9999653,0.9847972,0.4542821
2326,0,-2.5288904,1.2109318,0.6636724,-2.5288904,1.3154042,-0.022226825,0.07385751,0.7704638,0.66008484,0.07385751,0.788416,0.4944435
2356,1,-7.423505,3.4310467,0.59962326,-7.423505,2.7371104,-0.036909997,0.0005966966,0.9686609,0.64557016,0.0005966966,0.9391812,0.49077356
