method,condition,AUC,F1,Acc,dAUC,dF1,dAcc
min,both,0.829,0.776,0.775,,,
min,image_only,0.773,0.733,0.76,-0.056,-0.043,-0.015
min,text_only,0.725,0.663,0.72,-0.104,-0.113,-0.055
mean,both,0.849,0.75,0.78,,,
mean,image_only,0.817,0.733,0.76,-0.032,-0.017,-0.02
mean,text_only,0.813,0.663,0.72,-0.036,-0.087,-0.06
max,both,0.852,0.593,0.705,,,
max,image_only,0.803,0.0,0.5,-0.049,-0.593,-0.205
max,text_only,0.807,0.0,0.5,-0.045,-0.593,-0.205
svm-rbf,both,0.807,0.754,0.775,,,
svm-rbf,image_only,0.817,0.719,0.73,0.01,-0.035,-0.045
svm-rbf,text_only,0.806,0.667,0.715,-0.001,-0.087,-0.06
linear,both,0.849,0.778,0.78,,,
linear,image_only,0.817,0.723,0.74,-0.033,-0.054,-0.04
linear,text_only,0.813,0.674,0.71,-0.037,-0.104,-0.07
