index,label,pred,score,logit
10,1,1,0.9993979,7.414351
15,1,1,0.9997577,8.325293
29,1,1,0.99977475,8.398041
62,1,1,0.99784386,6.1372943
66,0,0,0.06600546,-2.649733
124,1,1,0.9987733,6.702221
152,0,0,0.19563909,-1.4137765
161,0,1,0.9999578,10.071881
191,1,1,0.9995814,7.778105
222,0,0,3.8520997e-05,-10.1642685
261,0,0,6.451981e-05,-9.648474
292,0,1,0.99995196,9.9435425
308,1,1,0.99994874,9.877498
333,1,1,0.997837,6.1340957
334,1,1,0.9989838,6.8907385
346,1,1,0.99997485,10.590679
376,1,1,0.99920386,7.1349177
389,1,1,0.985314,4.20607
407,0,1,0.93933886,2.739873
416,1,1,0.99976367,8.349836
430,1,1,0.9998882,9.098682
451,0,0,0.0001534535,-8.78196
483,0,0,0.3946342,-0.4278738
517,0,0,4.9327347e-05,-9.916983
520,0,0,3.0360203e-05,-10.402348
535,1,1,0.9999565,10.0437355
581,1,1,0.99912494,7.040292
583,0,1,0.9998815,9.040833
596,0,0,0.013564184,-4.2866654
608,0,1,0.9996457,7.944936
610,1,1,0.99954957,7.7048798
612,0,0,0.33195058,-0.699376
630,0,1,0.99360645,5.046057
647,1,1,0.99497545,5.288373
672,0,0,0.0016924693,-6.379873
686,1,1,0.9998221,8.633828
702,1,1,0.9966761,5.703268
725,0,0,1.03649145e-05,-11.477074
746,0,0,0.10005912,-2.1965678
763,0,0,0.23424694,-1.1844838
777,0,0,0.00027575772,-8.195712
828,1,1,0.9999163,9.388115
839,0,1,0.99729496,5.9099526
850,0,0,0.017702842,-4.0161686
878,0,1,0.93895173,2.7331002
915,1,1,0.999818,8.611633
948,0,0,0.01735064,-4.036623
964,0,1,0.9999684,10.360774
970,1,1,0.9999809,10.866205
980,0,0,0.4559642,-0.17660066
982,0,1,0.9999753,10.609616
986,1,1,0.992708,4.9136586
989,0,1,0.9993698,7.3687963
1009,0,0,1.4702651e-05,-11.127468
1073,1,1,0.99988544,9.074414
1084,0,0,0.00021379029,-8.450301
1101,0,1,0.9999008,9.218643
1120,1,1,0.9999789,10.768132
1143,0,0,0.15998569,-1.6583345
1194,1,1,0.9999608,10.146248
1203,0,0,0.010775745,-4.5196233
1211,0,0,9.9999525e-05,-9.210245
1213,1,1,0.7158716,0.9240743
1233,1,1,0.9999689,10.376261
1255,0,0,0.0016627247,-6.3976336
1287,0,0,0.0062068105,-5.075882
1332,0,0,3.493049e-05,-10.2621155
1333,0,0,0.00031067565,-8.07645
1354,1,0,3.585374e-05,-10.236027
1359,1,1,0.9978167,6.1247325
1386,0,0,0.0046276487,-5.371068
1433,1,1,0.99980706,8.552942
1475,1,1,0.9998741,8.979812
1477,0,0,1.2565584e-05,-11.284536
1505,1,1,0.9493695,2.9312449
1532,0,1,0.6794556,0.751271
1609,1,1,0.9999703,10.426715
1632,1,1,0.99736065,5.9345756
1633,1,1,0.9999919,11.725143
1664,0,0,0.0014078813,-6.5642605
1671,1,1,0.99991155,9.332962
1682,0,1,0.9998845,9.065945
1707,1,1,0.99991906,9.422409
1708,1,0,0.0010030107,-6.9037457
1710,1,0,0.0003941602,-7.838359
1740,1,1,0.9999924,11.778471
1750,1,1,0.8993648,2.1901872
1757,0,1,0.99850607,6.5048094
1771,0,1,0.99994195,9.753778
1790,1,1,0.99997437,10.571858
1838,0,0,7.718121e-05,-9.469277
1858,1,1,0.9999596,10.115452
1942,1,1,0.99994564,9.820579
1948,0,1,0.99845195,6.469213
1960,0,1,0.9998171,8.606185
2002,0,0,0.00030112005,-8.1077
2012,0,0,0.0010914915,-6.819118
2026,0,1,0.9998621,8.889164
2027,1,1,0.99992263,9.466947
2089,0,1,0.5619753,0.24918275
2100,1,1,0.7047037,0.86979795
2178,1,1,0.9896041,4.555893
2198,0,1,0.99998856,11.381975
2207,0,1,0.99992895,9.551949
2233,0,1,0.9992586,7.2062926
2244,1,0,0.0020868976,-6.1699877
2292,1,1,0.9999622,10.184976
2294,0,0,1.8754768e-05,-10.884044
2310,1,0,0.0002233565,-8.406518
2319,1,1,0.99997437,10.573442
2321,1,1,0.9999653,10.2686
2326,0,0,0.07385751,-2.5288904
2356,1,0,0.0005966966,-7.423505
2357,1,1,0.9999856,11.146199
2390,1,1,0.9999883,11.353699
2396,0,0,0.41350397,-0.34949884
2404,1,1,0.99998987,11.498367
2417,1,1,0.99998057,10.850784
2420,0,0,3.2738088e-05,-10.326939
2434,0,1,0.5865289,0.3496343
2492,0,0,2.9473384e-05,-10.4319935
2528,1,1,0.91396505,2.3630393
2536,1,1,0.9999207,9.441873
2540,0,0,9.66448e-05,-9.244371
2542,1,1,0.9990683,6.97758
2566,0,0,0.0036535559,-5.608394
2582,1,1,0.9999908,11.5932865
2598,1,1,0.9999602,10.131662
2631,1,1,0.99982613,8.656913
2641,0,1,0.9999713,10.456081
2648,0,0,1.4875489e-05,-11.115781
2649,1,1,0.9998117,8.577054
2690,0,0,0.0032683269,-5.7202034
2721,0,0,2.9444058e-05,-10.432989
2772,0,0,0.00013791965,-8.888701
2792,0,0,2.8374001e-05,-10.470009
2798,0,1,0.9968292,5.750596
2804,0,1,0.9876566,4.3822126
2826,1,1,0.9999801,10.825081
2852,0,1,0.99971205,8.152655
2891,1,1,0.9991905,7.118242
2899,1,1,0.99994445,9.79734
2911,1,1,0.99984515,8.773399
2918,1,0,0.16904129,-1.592437
2948,1,0,0.0019595816,-6.2330627
2984,0,1,0.99916744,7.0901947
2997,1,0,0.4409052,-0.23748906
3008,0,0,0.0004131991,-7.7911677
3056,0,1,0.9999858,11.160168
3057,1,1,0.9994454,7.4966455
3062,1,1,0.99997807,10.724767
3075,1,1,0.9999486,9.875977
3084,0,0,0.48367286,-0.06533188
3108,0,1,0.99451196,5.1996784
3137,0,0,0.00020573787,-8.488702
3154,1,1,0.9860453,4.2578897
3180,0,1,0.9999596,10.116908
3241,0,0,0.26062867,-1.0427036
3242,0,0,1.5148523e-05,-11.097592
3247,0,1,0.9999094,9.309242
3259,0,1,0.9998554,8.841584
3269,1,1,0.99452716,5.2024717
3303,1,1,0.973361,3.5983796
3305,1,1,0.99995077,9.917805
3341,0,1,0.9998915,9.128421
3350,0,0,1.9450672e-05,-10.8476095
3364,0,0,0.00023888354,-8.339295
3368,1,0,0.06439983,-2.6760771
3378,1,1,0.99989605,9.172131
3404,1,1,0.99984,8.740235
3435,0,0,0.0025008367,-5.988626
3440,1,1,0.96779007,3.4027426
3472,1,1,0.98930293,4.527027
3493,0,0,0.08094169,-2.4296205
3515,1,0,0.091178745,-2.2993267
3526,1,1,0.62034225,0.4910012
3595,0,1,0.7379557,1.0353701
3660,1,1,0.9999902,11.530213
3691,1,1,0.9999628,10.198963
3704,0,0,2.8048153e-05,-10.48156
3711,0,1,0.997666,6.0578384
3742,1,1,0.99970406,8.12511
3752,0,0,0.2942554,-0.8748053
3763,1,1,0.99946445,7.5317225
3767,1,1,0.9985525,6.5364714
3784,0,0,0.00018430207,-8.59875
3796,1,1,0.92730165,2.5459597
3809,1,1,0.9998192,8.617674
3846,1,1,0.99983907,8.734652
3847,1,1,0.8894647,2.0852845
3855,0,1,0.9563932,3.0879574
3856,1,1,0.9999871,11.257933
3860,1,1,0.99961406,7.859447
3886,0,0,0.013400853,-4.2989454
3908,1,0,0.003506753,-5.649552
3916,0,1,0.99993205,9.597151
3954,0,0,0.002792804,-5.8779125
3957,0,0,0.030623991,-3.4548688
3991,1,1,0.9998826,9.049593
4000,0,0,0.08646122,-2.3576298
