index,label,pred,score,logit
10,1,1,0.9999864,11.210384
15,1,1,0.9999981,13.159091
29,1,1,0.9999957,12.363453
62,1,1,0.9999789,10.764414
66,0,0,0.0003690381,-7.9042416
124,1,1,0.9999833,11.00397
152,0,1,0.9814255,3.9672174
161,0,0,0.008842213,-4.7193365
191,1,0,0.00570769,-5.160217
222,0,0,4.977931e-06,-12.210491
261,0,0,0.0046828957,-5.3591447
292,0,0,0.091974504,-2.289761
308,1,1,0.9999776,10.705097
333,1,1,0.8780906,1.9744723
334,1,1,0.8385591,1.6475459
346,1,1,0.99999833,13.273396
376,1,1,0.9678907,3.4059744
389,1,0,0.16409262,-1.6280868
407,0,0,3.352849e-05,-10.3030815
416,1,1,0.5388609,0.15575784
430,1,0,0.010832418,-4.5143204
451,0,1,0.9916203,4.773532
483,0,0,9.742571e-06,-11.538996
517,0,0,2.0897728e-06,-13.078453
520,0,0,0.00033548602,-7.9995947
535,1,1,0.9999926,11.814159
581,1,1,0.9999931,11.884829
583,0,0,0.06308629,-2.6980877
596,0,0,0.00026651242,-8.229823
608,0,1,0.90967596,2.3096848
610,1,1,0.99315864,4.977894
612,0,0,2.7319355e-05,-10.507888
630,0,0,0.10166427,-2.178868
647,1,1,0.9999893,11.444018
672,0,0,3.432455e-05,-10.279615
686,1,1,0.99938524,7.393713
702,1,1,0.97227174,3.5571828
725,0,0,4.4500794e-06,-12.322584
746,0,0,0.00042830475,-7.755247
763,0,0,3.0127505e-06,-12.712654
777,0,0,1.0699253e-05,-11.445326
828,1,1,0.9999795,10.79257
839,0,1,0.9999379,9.687307
850,0,0,0.032391436,-3.3969336
878,0,1,0.7999071,1.3857138
915,1,1,0.9999918,11.711381
948,0,0,0.00011382222,-9.080759
964,0,1,0.9999777,10.709919
970,1,1,0.97223526,3.5558286
980,0,0,4.1180624e-06,-12.400124
982,0,1,0.99970347,8.123318
986,1,1,0.99999714,12.760696
989,0,0,0.17804903,-1.5296218
1009,0,0,1.8928475e-06,-13.177426
1073,1,1,0.9998989,9.199066
1084,0,0,1.3128259e-06,-13.543327
1101,0,0,0.00013014024,-8.946768
1120,1,1,0.9999939,12.012596
1143,0,0,1.438393e-05,-11.1493845
1194,1,1,0.999998,13.101418
1203,0,0,2.1195021e-06,-13.064327
1211,0,1,0.9960627,5.5333176
1213,1,1,0.9998265,8.658864
1233,1,1,0.99995184,9.940863
1255,0,0,0.0015233692,-6.4853063
1287,0,0,1.2087598e-05,-11.3233185
1332,0,0,3.427712e-05,-10.280998
1333,0,0,2.5027903e-05,-10.595494
1354,1,0,0.00026620133,-8.230991
1359,1,1,0.9997179,8.172998
1386,0,1,0.9989365,6.845072
1433,1,1,0.9999969,12.696721
1475,1,1,0.99939656,7.4123707
1477,0,0,5.2844343e-06,-12.15074
1505,1,0,2.7785547e-05,-10.490967
1532,0,0,0.0006866951,-7.282933
1609,1,1,0.9999888,11.400242
1632,1,1,0.99980193,8.526639
1633,1,1,0.99997246,10.4978485
1664,0,0,3.775713e-05,-10.1842985
1671,1,1,0.9999037,9.248327
1682,0,1,0.99986434,8.905006
1707,1,1,0.9999957,12.371456
1708,1,1,0.99795496,6.190324
1710,1,0,0.060819197,-2.7371025
1740,1,1,0.999972,10.484564
1750,1,1,0.9668069,3.371655
1757,0,1,0.9898968,4.5847454
1771,0,1,0.99999774,13.006134
1790,1,1,0.99999845,13.35387
1838,0,0,0.00013239335,-8.929601
1858,1,1,0.9999968,12.646824
1942,1,1,0.9998512,8.813182
1948,0,0,5.9412665e-05,-9.730944
1960,0,1,0.94140524,2.776728
2002,0,0,3.3310048e-06,-12.612233
2012,0,0,6.8036905e-05,-9.595392
2026,0,1,0.9993297,7.307085
2027,1,1,0.9979291,6.1777163
2089,0,0,7.993883e-06,-11.736826
2100,1,0,2.4382473e-06,-12.924229
2178,1,0,0.10115096,-2.184501
2198,0,1,0.99999535,12.279587
2207,0,1,0.9971796,5.868039
2233,0,1,0.999995,12.19578
2244,1,1,0.9987708,6.7001495
2292,1,1,0.9999659,10.28525
2294,0,0,7.650929e-06,-11.780676
2310,1,1,0.94437623,2.8319151
2319,1,1,0.99978346,8.437661
2321,1,1,0.99967885,8.043332
