index,label,score,pred,score_text,score_image,logit_text,logit_image
10,1,0.42944172,0,0.037808005,0.9999864,-3.2366931,11.210384
15,1,0.6886328,1,0.98026294,0.9999981,3.9053206,13.159091
29,1,0.69302535,1,0.998248,0.9999957,6.3451977,12.363453
62,1,0.69018763,1,0.98663217,0.9999789,4.3014426,10.764414
66,0,0.3929761,0,0.94944817,0.0003690381,2.9328825,-7.9042416
124,1,0.6932832,1,0.9993211,0.9999833,7.2943344,11.00397
152,0,0.63174176,1,0.7775215,0.9814255,1.251281,3.9672174
161,0,0.39946657,0,0.964327,0.008842213,3.297037,-4.7193365
191,1,0.40828288,0,0.99961853,0.00570769,7.8713026,-5.160217
222,0,0.18246472,0,0.018681364,4.977931e-06,-3.9613707,-12.210491
261,0,0.40567532,0,0.9912412,0.0046828957,4.7289104,-5.3591447
292,0,0.43236932,0,0.99603003,0.091974504,5.5250154,-2.289761
308,1,0.69288963,1,0.9977093,0.9999776,6.076608,10.705097
333,1,0.66099155,1,0.99732095,0.8780906,5.919619,1.9744723
334,1,0.65079063,1,0.9990621,0.8385591,6.9709024,1.6475459
346,1,0.69315076,1,0.9987608,0.99999833,6.6920614,13.273396
376,1,0.68416554,1,0.9956304,0.9678907,5.428691,3.4059744
389,1,0.45285627,0,0.9933744,0.16409262,5.010168,-1.6280868
407,0,0.40638715,0,0.9986749,3.352849e-05,6.6250033,-10.3030815
416,1,0.5657856,1,0.998998,0.5388609,6.9047003,0.15575784
430,1,0.4094817,0,0.9986064,0.010832418,6.5744333,-4.5143204
451,0,0.41836023,0,0.006861672,0.9916203,-4.974919,4.773532
483,0,0.40628713,0,0.99833727,9.742571e-06,6.3976197,-11.538996
517,0,0.18071273,0,0.008376333,2.0897728e-06,-4.7739334,-13.078453
520,0,0.17982675,0,0.002785895,0.00033548602,-5.8803964,-7.9995947
535,1,0.6933792,1,0.99970645,0.9999926,8.13314,11.814159
581,1,0.6928577,1,0.9975617,0.9999931,6.014017,11.884829
583,0,0.4242051,0,0.9970285,0.06308629,5.815731,-2.6980877
596,0,0.2743,0,0.47905383,0.00026651242,-0.083833665,-8.229823
608,0,0.6598185,1,0.9597786,0.90967596,3.1723037,2.3096848
610,1,0.6916061,1,0.9995591,0.99315864,7.7262907,4.977894
612,0,0.40146974,0,0.9808231,2.7319355e-05,3.9346833,-10.507888
630,0,0.19951631,0,0.009116173,0.10166427,-4.688547,-2.178868
647,1,0.6932888,1,0.999338,0.9999893,7.3195605,11.444018
672,0,0.3683208,0,0.85833013,3.432455e-05,1.8014897,-10.279615
686,1,0.6931792,1,0.99951804,0.99938524,7.6371574,7.393713
702,1,0.6455877,1,0.8395425,0.97227174,1.6548282,3.5571828
725,0,0.18007296,0,0.0045903283,4.4500794e-06,-5.379203,-12.322584
746,0,0.22756323,0,0.26098183,0.00042830475,-1.0408719,-7.755247
763,0,0.4064151,0,0.99880815,3.0127505e-06,6.7310753,-12.712654
777,0,0.23242557,0,0.2854252,1.0699253e-05,-0.9177077,-11.445326
828,1,0.69333935,1,0.999556,0.9999795,7.7192316,10.79257
839,0,0.43720323,0,0.065496944,0.9999379,-2.6580114,9.687307
850,0,0.18750732,0,0.014122984,0.032391436,-4.245728,-3.3969336
878,0,0.40146512,0,0.14589146,0.7999071,-1.7671955,1.3857138
915,1,0.6923157,1,0.99533725,0.9999918,5.363494,11.711381
948,0,0.1798248,0,0.0030057402,0.00011382222,-5.804221,-9.080759
964,0,0.689053,1,0.98199856,0.9999777,3.9991412,10.709919
970,1,0.68625027,1,0.99954623,0.97223526,7.697434,3.5558286
980,0,0.40519843,0,0.994395,4.1180624e-06,5.1784773,-12.400124
