index,label,score,pred,score_text,score_image,logit_text,logit_image
10,1,0.5188972025,1,0.037808005,0.9999864,-3.2366931,11.210384
15,1,0.99013052,1,0.98026294,0.9999981,3.9053206,13.159091
29,1,0.9991218500000001,1,0.998248,0.9999957,6.3451977,12.363453
62,1,0.993305535,1,0.98663217,0.9999789,4.3014426,10.764414
66,0,0.47490860405,0,0.94944817,0.0003690381,2.9328825,-7.9042416
124,1,0.9996522,1,0.9993211,0.9999833,7.2943344,11.00397
152,0,0.8794735,1,0.7775215,0.9814255,1.251281,3.9672174
161,0,0.4865846065,0,0.964327,0.008842213,3.297037,-4.7193365
191,1,0.50266311,1,0.99961853,0.00570769,7.8713026,-5.160217
222,0,0.009343170965499999,0,0.018681364,4.977931e-06,-3.9613707,-12.210491
261,0,0.49796204785000003,0,0.9912412,0.0046828957,4.7289104,-5.3591447
292,0,0.544002267,1,0.99603003,0.091974504,5.5250154,-2.289761
308,1,0.9988434500000001,1,0.9977093,0.9999776,6.076608,10.705097
333,1,0.937705775,1,0.99732095,0.8780906,5.919619,1.9744723
334,1,0.9188106,1,0.9990621,0.8385591,6.9709024,1.6475459
346,1,0.999379565,1,0.9987608,0.99999833,6.6920614,13.273396
376,1,0.98176055,1,0.9956304,0.9678907,5.428691,3.4059744
389,1,0.57873351,1,0.9933744,0.16409262,5.010168,-1.6280868
407,0,0.49935421424500004,0,0.9986749,3.352849e-05,6.6250033,-10.3030815
416,1,0.76892945,1,0.998998,0.5388609,6.9047003,0.15575784
430,1,0.504719409,1,0.9986064,0.010832418,6.5744333,-4.5143204
451,0,0.499240986,0,0.006861672,0.9916203,-4.974919,4.773532
483,0,0.4991735062855,0,0.99833727,9.742571e-06,6.3976197,-11.538996
517,0,0.0041892113864,0,0.008376333,2.0897728e-06,-4.7739334,-13.078453
520,0,0.0015606905100000001,0,0.002785895,0.00033548602,-5.8803964,-7.9995947
535,1,0.999849525,1,0.99970645,0.9999926,8.13314,11.814159
581,1,0.9987774,1,0.9975617,0.9999931,6.014017,11.884829
583,0,0.530057395,1,0.9970285,0.06308629,5.815731,-2.6980877
596,0,0.23966017121,0,0.47905383,0.00026651242,-0.083833665,-8.229823
608,0,0.9347272799999999,1,0.9597786,0.90967596,3.1723037,2.3096848
610,1,0.99635887,1,0.9995591,0.99315864,7.7262907,4.977894
612,0,0.4904252096775,0,0.9808231,2.7319355e-05,3.9346833,-10.507888
630,0,0.0553902215,0,0.009116173,0.10166427,-4.688547,-2.178868
647,1,0.99966365,1,0.999338,0.9999893,7.3195605,11.444018
