index,label,pred,score,logit
10,1,0,0.037808005,-3.2366931
15,1,1,0.98026294,3.9053206
29,1,1,0.998248,6.3451977
62,1,1,0.98663217,4.3014426
66,0,1,0.94944817,2.9328825
124,1,1,0.9993211,7.2943344
152,0,1,0.7775215,1.251281
161,0,1,0.964327,3.297037
191,1,1,0.99961853,7.8713026
222,0,0,0.018681364,-3.9613707
261,0,1,0.9912412,4.7289104
292,0,1,0.99603003,5.5250154
308,1,1,0.9977093,6.076608
333,1,1,0.99732095,5.919619
334,1,1,0.9990621,6.9709024
346,1,1,0.9987608,6.6920614
376,1,1,0.9956304,5.428691
389,1,1,0.9933744,5.010168
407,0,1,0.9986749,6.6250033
416,1,1,0.998998,6.9047003
430,1,1,0.9986064,6.5744333
451,0,0,0.006861672,-4.974919
483,0,1,0.99833727,6.3976197
517,0,0,0.008376333,-4.7739334
520,0,0,0.002785895,-5.8803964
535,1,1,0.99970645,8.13314
581,1,1,0.9975617,6.014017
583,0,1,0.9970285,5.815731
596,0,0,0.47905383,-0.083833665
608,0,1,0.9597786,3.1723037
610,1,1,0.9995591,7.7262907
612,0,1,0.9808231,3.9346833
630,0,0,0.009116173,-4.688547
647,1,1,0.999338,7.3195605
672,0,1,0.85833013,1.8014897
686,1,1,0.99951804,7.6371574
702,1,1,0.8395425,1.6548282
725,0,0,0.0045903283,-5.379203
746,0,0,0.26098183,-1.0408719
763,0,1,0.99880815,6.7310753
777,0,0,0.2854252,-0.9177077
828,1,1,0.999556,7.7192316
839,0,0,0.065496944,-2.6580114
850,0,0,0.014122984,-4.245728
878,0,0,0.14589146,-1.7671955
915,1,1,0.99533725,5.363494
948,0,0,0.0030057402,-5.804221
964,0,1,0.98199856,3.9991412
970,1,1,0.99954623,7.697434
980,0,1,0.994395,5.1784773
982,0,1,0.998262,6.353242
986,1,0,0.030768884,-3.449999
989,0,1,0.99298394,4.9525123
1009,0,0,0.010785031,-4.5187526
1073,1,1,0.9969265,5.781846
1084,0,0,0.017836213,-4.0085273
1101,0,0,0.20856127,-1.3336196
1120,1,1,0.9992163,7.1506824
1143,0,1,0.93757373,2.709309
1194,1,1,0.99976665,8.362719
1203,0,0,0.10023194,-2.1946502
1211,0,0,0.007881747,-4.835293
1213,1,1,0.9991955,7.124436
1233,1,1,0.9986915,6.6375575
1255,0,1,0.9758992,3.7011123
1287,0,0,0.01793338,-4.0029955
1332,0,0,0.010987269,-4.49997
1333,0,0,0.035792615,-3.2935648
1354,1,0,0.009393455,-4.658304
1359,1,1,0.9864044,4.284317
1386,0,0,0.48941705,-0.042338222
1433,1,1,0.785394,1.2973816
1475,1,1,0.99967396,8.028101
