index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,1.4790954e-05,-11.12148,0.7311235070228577,0.6889637112617493,1.4790954e-05,-11.12148,1.4790954e-05,-11.12148
15,1,0,3.770341e-05,-10.185722,0.7317047715187073,0.9446120262145996,3.770341e-05,-10.185722,3.770341e-05,-10.185722
29,1,0,0.00033224456,-8.009307,0.8721733689308167,0.9504366517066956,0.00033224456,-8.009307,0.00033224456,-8.009307
62,1,0,2.5792082e-05,-10.565417,0.8026385307312012,0.7097433805465698,2.5792082e-05,-10.565417,2.5792082e-05,-10.565417
66,0,1,0.99998784,11.314152,0.7835701704025269,1.0000001192092896,0.99998784,11.314152,0.99998784,11.314152
124,1,0,0.0002692023,-8.219778,0.8278086185455322,1.0,0.0002692023,-8.219778,0.0002692023,-8.219778
152,0,1,0.9995491,7.703886,0.7860686182975769,0.4420027732849121,0.9995491,7.703886,0.9995491,7.703886
161,0,1,0.9999573,10.062091,1.0,1.0,0.9999573,10.062091,0.9999573,10.062091
191,1,0,4.958296e-05,-9.911814,0.8224107027053833,0.8714173436164856,4.958296e-05,-9.911814,4.958296e-05,-9.911814
222,0,0,0.033619538,-3.3584502,0.775970995426178,1.000000238418579,0.033619538,-3.3584502,0.033619538,-3.3584502
261,0,1,0.99989676,9.178685,0.8418882489204407,0.6762493848800659,0.99989676,9.178685,0.99989676,9.178685
292,0,1,0.9999486,9.875237,1.0,1.0,0.9999486,9.875237,0.9999486,9.875237
308,1,0,0.0003569725,-7.9374948,0.8955610394477844,0.9999998807907104,0.0003569725,-7.9374948,0.0003569725,-7.9374948
333,1,0,5.8441878e-05,-9.747419,0.8079052567481995,1.0000001192092896,5.8441878e-05,-9.747419,5.8441878e-05,-9.747419
334,1,0,0.00120179,-6.7227407,0.8266044855117798,0.8870981335639954,0.00120179,-6.7227407,0.00120179,-6.7227407
346,1,0,0.028449835,-3.5307505,0.7974480986595154,1.0,0.028449835,-3.5307505,0.028449835,-3.5307505
