index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.43023843,-0.28087845,1.0,1.0,0.040650032,-3.1612563,0.99998677,11.231486
15,1,0,0.3450654,-0.64080155,0.7325601577758789,0.905475914478302,0.76972586,1.2067639,2.20268e-07,-15.328421
29,1,0,0.4064556,-0.37863728,0.8743688464164734,0.9496333599090576,0.9989574,6.865052,6.3851127e-07,-14.264126
62,1,0,0.40403184,-0.38869348,0.8055920600891113,1.0000001192092896,0.99016434,4.6118555,7.596666e-07,-14.090385
66,0,1,0.6909462,0.80454665,0.7824127674102783,0.7626422643661499,0.98991007,4.586074,0.99981254,8.58148
124,1,0,0.40654227,-0.37827805,0.8275890350341797,1.0,0.9992693,7.2207613,2.674743e-06,-12.831655
152,0,1,0.6238536,0.5059374,1.0,1.0,0.75116605,1.104841,0.97839546,3.8130126
161,0,1,0.6287049,0.52666485,0.7948028445243835,0.9330439567565918,0.74675816,1.0813965,0.99998176,10.913402
191,1,0,0.40825284,-0.37119275,1.0,1.0,0.99960333,7.8319817,0.0056181205,-5.176124
222,0,0,0.42371082,-0.30755842,0.7764963507652283,1.000000238418579,0.017604116,-4.0218616,0.9997161,8.166791
261,0,1,0.693299,0.815588,0.8376480937004089,0.8287277817726135,0.99937195,7.372262,0.9999968,12.654638
292,0,1,0.693052,0.8144266,0.8625577092170715,0.8795015215873718,0.9983758,6.421075,0.9999782,10.731191
308,1,0,0.40607256,-0.3802253,0.8943975567817688,0.9999998807907104,0.9975694,6.017184,2.7918668e-07,-15.091385
333,1,0,0.40643504,-0.3787226,0.8014205694198608,0.953147292137146,0.99888235,6.795412,1.1309425e-06,-13.692458
334,1,0,0.4062353,-0.37955052,0.8237857222557068,0.9443235397338868,0.99815816,6.2951183,1.2727318e-06,-13.574344
346,1,0,0.40638208,-0.37894207,0.7974507808685303,1.0,0.99869066,6.63693,8.3896776e-07,-13.991093
376,1,0,0.4062507,-0.37948674,0.7778783440589905,0.7864274382591248,0.9982147,6.326393,5.127017e-07,-14.483571
389,1,0,0.46111846,-0.15584077,1.0,1.0,0.9950755,5.3086104,0.19035454,-1.447708
407,0,1,0.6930923,0.814616,0.8645550608634949,1.0,0.99854636,6.532203,0.99997354,10.539062
416,1,0,0.40643996,-0.37870213,0.9199712872505188,0.6890309453010559,0.9989009,6.812211,4.4943573e-07,-14.6152725
430,1,0,0.4090116,-0.36805284,1.0,1.0,0.9987036,6.6468506,0.009110248,-4.6892033
451,0,0,0.42073256,-0.31976694,0.8726518154144287,1.0,0.0066340887,-5.0088778,0.9999989,13.729248
483,0,1,0.69327605,0.8154801,0.8961724042892456,0.8824029564857483,0.9992762,7.230349,0.9999982,13.252855
517,0,0,0.42123336,-0.31771237,0.7603604197502136,1.0,0.008530781,-4.755507,0.9999027,9.237785
520,0,0,0.46134052,-0.15494713,0.9023777842521667,0.8682872653007507,0.15075368,-1.7287021,0.9999949,12.183326
535,1,0,0.40653357,-0.37831408,0.8312466740608215,0.8523343205451965,0.9992399,7.181345,6.577672e-07,-14.234414
581,1,0,0.40139878,-0.39964023,0.8838962912559509,0.898798406124115,0.98059285,3.922516,5.954248e-07,-14.33399
583,0,1,0.69315153,0.8148946,0.739250659942627,0.6348228454589844,0.9989048,6.8157597,0.9998636,8.900408
596,0,1,0.67803067,0.74473625,0.8776792883872986,0.95332533121109,0.93751776,2.7083528,0.99990356,9.2462635
