index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.028979346,-3.5117643,0.7330938577651978,0.9187764525413512,0.057957504,-2.7883403,1.1884465e-06,-13.642862
15,1,0,0.49326426,-0.02694457,0.733035147190094,0.9279124736785888,0.9865281,4.293586,4.2618728e-07,-14.668386
29,1,0,0.49967486,-0.0013005843,0.8758608102798462,0.9720923900604248,0.9993494,7.336928,2.6859468e-07,-15.130062
62,1,0,0.49469468,-0.021222021,0.8023387789726257,1.0000001192092896,0.98938775,4.535071,1.6100697e-06,-13.3392315
66,0,1,0.96694255,3.3758922,0.7882319092750549,1.0000001192092896,0.93442273,2.6566992,0.9994623,7.527647
124,1,0,0.49968243,-0.0012702661,0.8306710124015808,1.0,0.99936455,7.3604946,2.8196035e-07,-15.081499
152,0,1,0.85655856,1.7869959,1.0,1.0,0.7331782,1.0108078,0.97993886,3.8887045
161,0,1,0.90900767,2.3015783,0.7948251962661743,0.9666987061500548,0.81801635,1.5029653,0.99999905,13.843895
191,1,0,0.32237402,-0.74288315,0.8271292448043823,0.6095860600471497,0.6447478,0.5960313,2.4023416e-07,-15.241652
222,0,1,0.501427,0.0057079894,0.7757810950279236,1.000000238418579,0.07327456,-2.5374439,0.9295794,2.5802453
261,0,1,0.9997524,8.303457,0.8359907865524292,0.8153368234634399,0.99950945,7.6195145,0.99999535,12.279582
292,0,1,0.5469594,0.18839283,1.0,1.0,0.99546814,5.3920727,0.098450676,-2.214559
308,1,0,0.49889433,-0.004422655,0.8944984078407288,0.9999998807907104,0.99778664,6.1110125,2.022559e-06,-13.111145
333,1,0,0.49853712,-0.0058515472,0.8014942407608032,1.0000001192092896,0.9970733,5.8309407,9.672405e-07,-13.848818
334,1,0,0.4799577,-0.08021215,0.8279801607131958,0.924823522567749,0.9599147,3.1758356,6.8817087e-07,-14.189228
346,1,0,0.49923494,-0.0030603101,0.8031195998191833,0.6536293029785156,0.99846846,6.479935,1.4530616e-06,-13.441836
376,1,0,0.47410944,-0.10365499,0.7777202725410461,0.8233022689819336,0.9482181,2.9075437,7.6710694e-07,-14.080639
389,1,0,0.49533883,-0.018645301,0.7543148994445801,1.0000001192092896,0.990677,4.665905,6.620592e-07,-14.22791
407,0,1,0.9980263,6.2258754,0.8677947521209717,1.0,0.9988869,6.7994976,0.99716574,5.8631344
416,1,0,0.4994903,-0.002038887,0.9181498885154724,1.0,0.9989802,6.8872304,3.790632e-07,-14.7855625
430,1,0,0.49928263,-0.0028695469,0.8357127904891968,1.0,0.99856466,6.5449023,5.8581696e-07,-14.350258
451,0,1,0.5033371,0.013348497,0.8722360730171204,1.0,0.0066781803,-5.002209,0.99999595,12.423843
483,0,1,0.53783405,0.15162598,0.8961489796638489,0.8188451528549194,0.9972422,5.8905478,0.078425914,-2.4639287
517,0,1,0.51037955,0.04152415,0.7640697360038757,1.0,0.020761132,-3.853693,0.999998,13.134493
520,0,1,0.50142235,0.0056893798,0.904348850250244,0.9999999403953552,0.0028476596,-5.858406,0.999997,12.7424555
535,1,0,0.4997268,-0.0010928521,0.8306159973144531,0.7649428844451904,0.99945265,7.5099263,9.666115e-07,-13.849468
581,1,0,0.49878868,-0.0048452388,0.886954128742218,0.9073160886764526,0.9975764,6.020089,9.3500563e-07,-13.882712
583,0,1,0.53484136,0.1395917,1.0,1.0,0.9969309,5.783298,0.0727518,-2.5451677
596,0,1,0.821612,1.5273073,0.8778009414672852,0.9961651563644408,0.64322585,0.5893928,0.9999981,13.163551
608,0,1,0.9373518,2.7055242,1.0,1.0,0.9611372,3.2080772,0.9135664,2.3579803
610,1,0,0.49980018,-0.00079926,0.7652670741081238,0.8346688747406006,0.99959904,7.8211126,1.3384176e-06,-13.524021
612,0,1,0.9920615,4.82806,0.9172511696815492,0.7932107448577881,0.9841464,4.1283774,0.99997663,10.663923
630,0,1,0.5551253,0.2214012,0.8762723803520203,0.9341246485710144,0.11025274,-2.088162,0.99999785,13.025116
647,1,0,0.499672,-0.0013120433,0.8868266940116882,0.9138486981391908,0.9993432,7.327463,7.8316685e-07,-14.059919
672,0,1,0.91045916,2.3192542,0.8900694251060486,1.0000001192092896,0.82201904,1.5300868,0.99889934,6.810722
686,1,0,0.47874218,-0.085082546,0.8563842177391052,0.785117506980896,0.9574839,3.1144238,4.887892e-07,-14.531334
702,1,0,0.4990684,-0.0037264433,0.7536376714706421,0.9029995799064636,0.9981364,6.283368,3.926274e-07,-14.750404
725,0,1,0.9945239,5.201868,0.890401303768158,0.8722517490386963,0.9893679,4.5331926,0.9996798,8.046293
746,0,1,0.6044625,0.42409402,0.793513298034668,1.0,0.21869038,-1.2733146,0.9902346,4.619094
763,0,1,0.999429,7.4675283,0.7224535942077637,0.9999999403953552,0.99887055,6.7849126,0.99998736,11.274858
777,0,1,0.6326583,0.543638,0.9046975374221802,1.0000001192092896,0.26531854,-1.0185058,0.9999981,13.189062
828,1,0,0.49827197,-0.006912224,0.8364914655685425,0.6042119860649109,0.9965418,5.663535,2.1430835e-06,-13.053263
839,0,1,0.53397864,0.1361244,1.0,1.0,0.06802341,-2.6174557,0.99993384,9.624231
850,0,1,0.6476806,0.6088594,0.8205805420875549,0.9358710050582886,0.29536447,-0.86947066,0.99999666,12.596742
878,0,1,0.99925005,7.1947594,0.8465545177459717,0.831524133682251,0.99850106,6.5014524,0.99999905,13.817335
915,1,0,0.49822906,-0.0070838905,0.8580343723297119,0.8351566195487976,0.99645764,5.6394224,4.7458732e-07,-14.56082
948,0,1,0.5574759,0.23092446,0.9118794202804564,0.9818256497383118,0.114954114,-2.0411065,0.99999774,12.9920635
964,0,1,0.99210304,4.833349,1.0,1.0,0.9842255,4.1334567,0.99998057,10.851282
970,1,0,0.49953124,-0.0018750115,0.8722273707389832,1.0,0.99906224,6.9710255,2.436664e-07,-15.227466
980,0,1,0.99686486,5.76194,0.8746707439422607,1.0,0.9937402,5.067329,0.9999895,11.4705925
982,0,1,0.9989347,6.84342,1.0,1.0,0.99816966,6.301401,0.9996997,8.110456
986,1,0,0.014643303,-4.2090206,0.7978219985961914,0.8762999773025513,0.0292854,-3.5009434,1.2066992e-06,-13.627621
989,0,1,0.5684078,0.2753579,1.0,1.0,0.9910063,4.702197,0.1458092,-1.7678556
1009,0,1,0.5046444,0.018578093,0.9677808880805968,1.000000238418579,0.00938854,-4.6588326,0.9999002,9.212475
1073,1,0,0.33740216,-0.67489266,0.816635012626648,0.9847056269645692,0.6747996,0.7299743,4.68849e-06,-12.270395
1084,0,0,0.06489175,-2.6679418,0.836497962474823,1.0,0.018599037,-3.9658713,0.11118446,-2.078699
1101,0,1,0.5185,0.07403363,0.8443580865859985,0.8542709350585938,0.03700333,-3.259042,0.99999666,12.62662
1120,1,0,0.49966177,-0.0013528672,0.8002173900604248,0.9774478077888488,0.99932325,7.297576,3.0497418e-07,-15.003038
1143,0,1,0.96915525,3.4474583,0.8095016479492188,1.0,0.93837047,2.7230046,0.99994004,9.722037
1194,1,0,0.49936247,-0.0025501554,0.8149784803390503,0.616532564163208,0.9987237,6.6624775,1.2726481e-06,-13.5744095
1203,0,1,0.55675113,0.22798696,0.830833911895752,1.0,0.11351493,-2.0553298,0.99998736,11.274796
1211,0,1,0.50222987,0.008919515,1.0,1.0,0.009049575,-4.6959467,0.99541014,5.3793135
1213,1,0,0.4957321,-0.017072085,0.8525616526603699,0.8386566042900085,0.9914635,4.7548313,7.115218e-07,-14.155859
1233,1,0,0.49939194,-0.002432262,0.8158872723579407,1.0,0.9987834,6.710502,4.4980837e-07,-14.614444
1255,0,1,0.9612578,3.2113137,0.7255921959877014,1.0,0.97517824,3.6708994,0.9473374,2.88975
1287,0,1,0.5082317,0.03292972,0.856635332107544,1.0,0.016479246,-4.089037,0.99998415,11.049379
1332,0,1,0.9118104,2.335943,0.9163786768913268,0.9182363748550416,0.8257934,1.5561025,0.9978275,6.129702
1333,0,1,0.5179161,0.071695074,0.771834671497345,1.0,0.03591252,-3.290096,0.99991965,9.429374
