index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.033891372,-3.3501158,1.0,1.0,0.033891372,-3.3501158,0.9999875,11.285986
15,1,0,0.14606841,-1.765776,1.0,0.8849945068359375,0.14606841,-1.7657759,0.999997,12.724096
29,1,1,0.97224516,3.5561976,1.0,0.9850634336471558,0.97224516,3.556197,0.9999788,10.760383
62,1,0,1.7881634e-06,-13.23432,0.8030734062194824,0.6348918080329895,0.9956493,5.4330397,1.7881634e-06,-13.23432
66,0,1,0.95290816,3.0074186,1.0,1.0000001192092896,0.95290816,3.0074196,0.9993191,7.2913904
124,1,1,0.9993318,7.310213,1.0,1.0,0.9993318,7.310217,0.9999652,10.264739
152,0,1,0.76185226,1.1628613,1.0,1.0,0.76185226,1.1628613,0.97937083,3.8602028
161,0,1,0.82753974,1.5682902,1.0,0.9809990525245668,0.82753974,1.5682901,0.9992079,7.1400776
191,1,0,0.0062792473,-5.064206,1.0,1.0,0.9996418,7.934079,0.0062792473,-5.064206
222,0,1,0.91329,2.3544846,1.0,0.7027565240859985,0.91329,2.3544848,0.9999094,9.309417
261,0,1,0.998002,6.213605,1.0,0.7879363298416138,0.998002,6.213631,0.99997747,10.702276
292,0,1,0.99860495,6.5734315,1.0,0.974114716053009,0.99860495,6.5734406,0.99999607,12.453183
308,1,1,0.9977075,6.0758114,1.0,0.9999998807907104,0.9977075,6.075822,0.99994624,9.83038
333,1,1,0.99755234,6.01017,1.0,1.0000001192092896,0.99755234,6.010144,0.99946946,7.5411596
334,1,0,1.3094035e-06,-13.545938,0.8266383409500122,0.9215281009674072,0.99849415,6.4969144,1.3094035e-06,-13.545938
346,1,1,0.9987154,6.656023,1.0,1.0,0.9987154,6.656028,0.9998605,8.877988
376,1,0,2.2585748e-06,-13.000774,0.7733349800109863,0.8249101042747498,0.979812,3.8822722,2.2585748e-06,-13.000774
389,1,0,0.15904742,-1.6653328,1.0,1.0,0.9941631,5.137692,0.15904742,-1.6653328
407,0,1,0.99876285,6.6937037,1.0,1.0,0.99876285,6.693658,0.99999404,12.0267725
416,1,0,1.99908e-07,-15.425408,0.9189718961715698,0.6733700037002563,0.99937385,7.375355,1.99908e-07,-15.425408
430,1,0,0.009055212,-4.695318,1.0,1.0,0.9987596,6.691096,0.009055212,-4.695318
451,0,0,0.006737186,-4.993353,1.0,1.0,0.006737186,-4.993353,0.99000263,4.5953817
483,0,1,0.9984896,6.493881,1.0,1.0000001192092896,0.9984896,6.493929,0.999987,11.247812
517,0,0,0.008435638,-4.7668185,1.0,1.0,0.008435638,-4.7668185,0.9999634,10.216452
520,0,0,0.0026462926,-5.931946,1.0,0.9999999403953552,0.0026462926,-5.931946,0.99928457,7.241857
535,1,0,2.2009665e-07,-15.329199,0.8300012350082397,0.76146000623703,0.99960643,7.8397703,2.2009665e-07,-15.329199
581,1,1,0.54445726,0.17829984,1.0,0.7895094156265259,0.54445726,0.17830011,0.99997914,10.778832
583,0,1,0.99931836,7.290329,1.0,0.772479236125946,0.99931836,7.2903614,0.9999578,10.072144
596,0,1,0.99431795,5.164745,1.0,0.979839563369751,0.99431795,5.16474,0.9994362,7.480343
608,0,1,0.9284165,2.5626156,1.0,1.0,0.9600859,3.1802945,0.9284165,2.5626159
610,1,0,8.177562e-07,-14.016701,0.7660952210426331,0.9739732146263124,0.9996636,7.996806,8.177562e-07,-14.016701
612,0,1,0.7643516,1.1766871,1.0,0.9385971426963806,0.7643516,1.176687,0.9995509,7.7079477
630,0,1,0.99954224,7.6886997,0.8885641098022461,0.6895201802253723,0.99954224,7.6887054,0.99999535,12.273869
647,1,0,6.099601e-07,-14.309872,0.8900966048240662,0.9416307806968688,0.99889463,6.8064227,6.099601e-07,-14.309872
672,0,1,0.8673946,1.8781164,1.0,1.0000001192092896,0.8673946,1.8781161,0.9999218,9.456661
686,1,0,5.5327314e-07,-14.4074135,0.859433114528656,0.7138552665710449,0.9986267,6.5891266,5.5327314e-07,-14.4074135
702,1,0,6.567123e-07,-14.236019,0.75491863489151,0.8691090941429138,0.9936939,5.059914,6.567123e-07,-14.236019
725,0,0,0.0047447113,-5.3459687,1.0,1.0,0.0047447113,-5.3459687,0.025970189,-3.6244926
746,0,0,0.20035759,-1.384061,1.0,1.0,0.20035759,-1.384061,0.9999963,12.49563
763,0,0,0.0011309255,-6.7835875,0.7182208299636841,0.9999999403953552,0.9986051,6.5735416,0.0011309255,-6.7835875
777,0,0,0.21336885,-1.3047371,1.0,1.0000001192092896,0.21336885,-1.3047372,0.99929357,7.254554
828,1,1,0.9914386,4.7518964,1.0,0.6798461675643921,0.9914386,4.7519,0.99974555,8.276312
839,0,0,0.06297269,-2.7000113,1.0,1.0000001192092896,0.06297269,-2.7000113,0.99904925,6.9572926
850,0,1,0.6582537,0.65552187,1.0,0.879041850566864,0.6582537,0.6555221,0.99997354,10.539787
878,0,1,0.94678426,2.878717,1.0,0.6691792607307434,0.94678426,2.8787165,0.9999565,10.041317
915,1,0,0.22133268,-1.257917,1.0,0.8037391901016235,0.22133268,-1.2579169,0.99995434,9.993807
948,0,1,0.6793753,0.7509024,1.0,0.9010091423988342,0.6793753,0.7509024,0.99995255,9.956354
964,0,1,0.97904986,3.8444374,1.0,1.0,0.97904986,3.8444402,0.9999801,10.821412
970,1,0,2.1003353e-07,-15.3759985,0.8730603456497192,1.0,0.9995492,7.7042284,2.1003353e-07,-15.3759985
980,0,1,0.99369425,5.059967,1.0,1.0,0.99369425,5.059973,0.999426,7.4623737
982,0,1,0.99811965,6.2744164,1.0,1.0,0.99811965,6.274403,0.9996692,8.013479
986,1,0,0.029099854,-3.5074904,1.0,1.0,0.029099854,-3.5074904,0.99999726,12.795866
989,0,1,0.99899095,6.8977394,1.0,0.6446482539176941,0.99899095,6.897729,0.99999726,12.792042
1009,0,0,0.0045488426,-5.3883233,1.0,0.9739503264427184,0.0045488426,-5.3883233,0.99960726,7.8418655
1073,1,1,0.6967863,0.8320409,1.0,0.9847056269645692,0.6967863,0.8320408,0.9975903,6.02582
1084,0,0,0.016035134,-4.116808,1.0,1.0,0.016035134,-4.116808,0.03435244,-3.3361259
1101,0,1,0.98313475,4.0654907,1.0,0.6222506165504456,0.98313475,4.065493,0.99941754,7.4475923
1120,1,1,0.99885464,6.770888,1.0,0.9936540126800536,0.99885464,6.7708454,0.9995945,7.8100204
1143,0,1,0.9361172,2.68469,1.0,1.0,0.9361172,2.6846914,0.99887747,6.7910724
1194,1,1,0.9997124,8.153679,1.0,0.8173515200614929,0.9997124,8.153933,0.9999527,9.958727
1203,0,0,0.08211242,-2.4139857,1.0,1.0,0.08211242,-2.4139857,0.99894375,6.8519344
1211,0,0,0.007160049,-4.9320526,1.0,0.9999998807907104,0.007160049,-4.9320526,0.99957484,7.7625227
1213,1,0,2.5283006e-07,-15.190548,0.8501400947570801,0.7160661816596985,0.99878603,6.712622,2.5283006e-07,-15.190548
1233,1,1,0.99870217,6.645762,1.0,1.0,0.99870217,6.6457787,0.99913126,7.0475154
1255,0,1,0.97689307,3.7442446,1.0,1.0,0.97689307,3.7442446,0.97693175,3.7459576
1287,0,0,0.019084897,-3.9395885,1.0,1.0,0.019084897,-3.9395885,0.27202916,-0.9843518
1332,0,1,0.96804696,3.4110134,1.0,0.9361810088157654,0.96804696,3.4110136,0.9997173,8.170843
1333,0,0,0.036520936,-3.272665,1.0,1.0,0.036520936,-3.272665,0.5303815,0.121675946
1354,1,0,0.00021829973,-8.429423,1.0,1.0,0.01064471,-4.5319905,0.00021829973,-8.429423
1359,1,0,5.61965e-07,-14.391826,0.8976003527641296,0.8358403444290161,0.99411136,5.1288285,5.61965e-07,-14.391826
1386,0,0,0.42249858,-0.3125248,1.0,1.0,0.42249858,-0.31252477,0.9999442,9.794601
1433,1,0,0.25628564,-1.0653644,1.0,0.988776445388794,0.25628564,-1.0653644,0.9974573,5.9719715
1475,1,0,1.7674236e-07,-15.548573,0.8179792165756226,0.9130154252052308,0.99962914,7.899472,1.7674236e-07,-15.548573
1477,0,0,0.18290743,-1.4967722,1.0,0.7114123702049255,0.18290743,-1.4967723,0.20530528,-1.3534601
1505,1,0,2.9621317e-05,-10.426987,1.0,1.0,0.9994747,7.55105,2.9621317e-05,-10.426987
1532,0,1,0.99768806,6.0673513,1.0,0.7602171301841736,0.99768806,6.067327,0.9995222,7.645956
1609,1,0,0.35769844,-0.5853676,1.0,0.8831914067268372,0.35769844,-0.5853677,0.99981016,8.568857
1632,1,0,1.4308273e-06,-13.457256,0.7652910351753235,0.7778261303901672,0.97757226,3.7747746,1.4308273e-06,-13.457256
1633,1,0,2.039015e-06,-13.103042,0.8362793326377869,0.9999999403953552,0.99896276,6.8701515,2.039015e-06,-13.103042
1664,0,1,0.8775283,1.9692293,1.0,0.8682963848114014,0.8775283,1.9692292,0.9194531,2.4349387
1671,1,0,0.0038620902,-5.552677,1.0,1.0,0.0038620902,-5.552677,0.99990296,9.2408495
1682,0,1,0.9952602,5.347005,1.0,1.0,0.9952602,5.3469944,0.99985003,8.804826
1707,1,1,0.9992125,7.1458635,1.0,0.9115684032440186,0.9992125,7.1458397,0.99989855,9.196318
1708,1,0,5.335028e-07,-14.443801,0.870570957660675,0.9433690905570984,0.9845055,4.1516547,5.335028e-07,-14.443801
1710,1,0,0.06612474,-2.6478,1.0,1.0,0.1126541,-2.0639129,0.06612474,-2.6478
1740,1,0,0.024667758,-3.6772811,1.0,0.8058233261108398,0.024667758,-3.6772811,0.99985254,8.822086
1750,1,0,0.0058536446,-5.13482,1.0,1.0,0.0058536446,-5.13482,0.9713028,3.521838
1757,0,1,0.98196685,3.997346,1.0,0.7978931665420532,0.98196685,3.997344,0.99998593,11.17184
1771,0,1,0.9975266,5.9996796,1.0,1.0,0.9975266,5.9996595,0.99999785,13.071968
1790,1,1,0.83393466,1.6137737,1.0,0.7648731470108032,0.83393466,1.6137735,0.99998164,10.906279
1838,0,0,0.07909879,-2.4546552,1.0,1.0000001192092896,0.07909879,-2.4546552,0.2170118,-1.2831659
1858,1,0,2.931437e-07,-15.042603,0.8555155396461487,0.9674434065818788,0.99975747,8.324255,2.931437e-07,-15.042603
1942,1,0,0.045048587,-3.0539188,0.9002500772476196,0.9124892950057985,0.99947304,7.5478845,0.045048587,-3.0539188
1948,0,1,0.54447514,0.17837195,1.0,0.8331838250160217,0.54447514,0.17837206,0.9999932,11.892205
1960,0,1,0.8202727,1.518196,1.0,1.0,0.8202727,1.5181961,0.93507403,2.6673777
2002,0,1,0.997247,5.8923,1.0,1.0000001192092896,0.997247,5.892305,0.99971336,8.157253
2012,0,0,0.03260007,-3.3902977,1.0,1.0000001192092896,0.03260007,-3.3902974,0.9999689,10.376434
2026,0,1,0.9613741,3.2144406,1.0,1.0,0.9613741,3.2144406,0.99941313,7.4401927
2027,1,0,0.18654183,-1.4726391,1.0,0.7715277075767517,0.18654183,-1.4726391,0.9998154,8.597263
2089,0,1,0.9882194,4.429449,1.0,1.0,0.9882194,4.429447,0.9979189,6.172772
2100,1,0,2.2849758e-06,-12.989153,1.0,1.0,0.6516852,0.6264547,2.2849758e-06,-12.989153
2178,1,0,0.10849806,-2.1061754,1.0,1.0,0.9994824,7.5658646,0.10849806,-2.1061754
2198,0,1,0.99489284,5.271991,1.0,1.0,0.99489284,5.2719774,0.9999957,12.345327
2207,0,1,0.9968941,5.771348,1.0,1.0,0.99912566,7.041174,0.9968941,5.7713356
2233,0,1,0.7060855,0.87644744,1.0,1.0,0.7060855,0.87644744,0.999995,12.194191
2244,1,0,0.041196518,-3.1473324,1.0,1.0,0.041196518,-3.1473324,0.99886274,6.778034
2292,1,0,5.250724e-07,-14.459729,0.8139693140983582,0.9658337831497192,0.9898336,4.5784435,5.250724e-07,-14.459729
2294,0,0,0.018560413,-3.9679894,1.0,1.0000001192092896,0.018560413,-3.9679894,0.9999627,10.196087
2310,1,0,2.2533725e-06,-13.00308,0.8919057846069336,0.6964130997657776,0.9985821,6.5571446,2.2533725e-06,-13.00308
2319,1,0,5.691654e-07,-14.379094,0.8402378559112549,1.0,0.999042,6.9496565,5.691654e-07,-14.379094
2321,1,0,6.381217e-07,-14.264736,0.840002715587616,0.8702195286750793,0.99610484,5.5441008,6.381217e-07,-14.264736
2326,0,1,0.7575813,1.1394644,1.0,0.7987419962882996,0.7575813,1.1394645,0.98487294,4.1760244
2356,1,0,2.5542851e-05,-10.575128,1.0,1.0,0.9997117,8.151071,2.5542851e-05,-10.575128
2357,1,1,0.9987196,6.6592803,1.0,1.0,0.9987196,6.6592155,0.9999956,12.3346405
2390,1,1,0.94028616,2.7566204,1.0,0.9999999403953552,0.94028616,2.756621,0.99997044,10.427062
2396,0,0,0.0049375608,-5.305934,1.0,1.0000001192092896,0.0049375608,-5.305934,0.999579,7.7723694
2404,1,0,0.34838766,-0.626134,1.0,0.8098852038383484,0.34838766,-0.626134,0.9999888,11.397159
2417,1,0,0.38216653,-0.4803625,1.0,0.6852422952651978,0.38216653,-0.48036245,0.99986446,8.905931
2420,0,1,0.91446334,2.3693924,1.0,0.8592426180839539,0.91446334,2.3693914,0.9999411,9.740611
2434,0,1,0.96631896,3.356559,1.0,1.0,0.96631896,3.35656,0.99983907,8.734468
2492,0,0,0.41327643,-0.35043707,1.0,1.0,0.41327643,-0.35043716,0.5728277,0.2933976
2528,1,0,0.00097594626,-6.9311266,1.0,1.0,0.9969207,5.779958,0.00097594626,-6.9311266
2536,1,0,4.5937745e-06,-12.290804,0.9036547541618348,0.9161091446876526,0.99879897,6.7234316,4.5937745e-06,-12.290804
2540,0,0,0.020884508,-3.847642,1.0,1.0000001192092896,0.020884508,-3.847642,0.35930163,-0.57839644
2542,1,0,5.848613e-07,-14.351891,0.7575835585594177,1.0,0.9844342,4.146989,5.848613e-07,-14.351891
2566,0,1,0.50702214,0.02809038,1.0,0.9999999403953552,0.50702214,0.028090209,0.9999461,9.828775
2582,1,1,0.9778074,3.785554,1.0,0.9999999403953552,0.9778074,3.7855577,0.9999962,12.465458
2598,1,0,0.10631013,-2.1289983,1.0,1.0,0.10631013,-2.1289983,0.9999888,11.396399
2631,1,0,2.738729e-07,-15.110601,0.8285602927207947,0.9400053024291992,0.9996319,7.906676,2.738729e-07,-15.110601
2641,0,1,0.9932133,4.98598,1.0,1.0,0.9932133,4.9859724,0.99959046,7.800176
2648,0,1,0.70046765,0.8495257,1.0,0.5046454071998596,0.96205854,3.2330317,0.70046765,0.8495259
2649,1,0,8.7312253e-07,-13.951189,0.812447190284729,1.0000001192092896,0.99961156,7.85287,8.7312253e-07,-13.951189
