index,label,pred,score,logit
10,1,0,4.5671286e-06,-12.296621
15,1,0,5.705001e-07,-14.376752
29,1,0,8.091437e-07,-14.027288
62,1,0,1.6060793e-06,-13.341713
66,0,1,0.9993691,7.3676395
124,1,1,0.99992526,9.501934
152,0,0,0.0023092567,-6.0685177
161,0,1,0.9669116,3.3749235
191,1,0,5.927987e-07,-14.33841
222,0,0,1.5414289e-05,-11.0802
261,0,1,0.9780724,3.7978392
292,0,1,0.9998286,8.671694
308,1,0,3.6612016e-06,-12.517715
333,1,0,1.7801375e-06,-13.238818
334,1,0,5.3632507e-06,-12.135935
346,1,0,4.627005e-06,-12.283596
376,1,0,8.300794e-06,-11.699151
389,1,0,1.8195127e-06,-13.21694
407,0,0,0.07501197,-2.5121331
416,1,0,3.5680094e-07,-14.846087
430,1,0,6.8571217e-07,-14.192807
451,0,1,0.9999789,10.767405
483,0,1,0.99999475,12.161972
517,0,0,2.08744e-05,-10.776966
520,0,0,0.004356072,-5.431819
535,1,0,1.8610117e-06,-13.194388
581,1,0,3.3759766e-06,-12.598823
583,0,0,7.481789e-05,-9.500379
596,0,1,0.99403185,5.115334
608,0,1,0.9998068,8.551428
610,1,0,2.3493172e-05,-10.658777
612,0,0,0.00043642073,-7.7364674
630,0,1,0.9979923,6.208734
647,1,0,8.09363e-07,-14.027018
672,0,0,0.044006027,-3.078425
686,1,0,2.2643524e-06,-12.9982195
702,1,0,6.484408e-07,-14.248694
725,0,1,0.9977186,6.080635
746,0,0,6.5369018e-06,-11.938041
763,0,0,5.4458145e-05,-9.818024
777,0,1,0.9999683,10.358611
828,1,0,1.2507758e-06,-13.591745
839,0,1,0.99999654,12.57807
850,0,1,0.98201895,4.000294
878,0,1,0.99994314,9.775053
915,1,0,0.0055545345,-5.1875706
948,0,0,0.00048486318,-7.631159
964,0,1,0.99996936,10.392209
970,1,0,3.1447437e-06,-12.669775
980,0,1,0.87855506,1.9788175
982,0,1,0.9999169,9.396044
