index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
10,1,0,0.43525523,-0.26044127,1.0,0.05851791,-2.7781224,0.9999887,11.390482
15,1,0,0.39857647,-0.41139996,0.576572597026825,0.97031015,3.4868133,7.5815035e-07,-14.092383
29,1,0,0.40626678,-0.37942,0.8361783623695374,0.9982724,6.3593025,1.1500852e-06,-13.6756735
62,1,0,0.40368623,-0.39012912,0.7273358702659607,0.9889072,4.4903064,2.6427824e-06,-12.843676
66,0,1,0.61882657,0.48457056,0.6860816478729248,0.9530796,3.0112448,0.76705587,1.191761
124,1,0,0.40653512,-0.37830764,0.7909166812896729,0.99924433,7.1871295,1.8065831e-06,-13.2240715
152,0,1,0.64596105,0.6013323,1.0,0.8331028,1.6077791,0.9798086,3.8821013
161,0,1,0.684205,0.7731643,0.7032305002212524,0.96231943,3.2402022,0.9999565,10.042944
191,1,0,0.4081305,-0.37169915,1.0,0.99961746,7.868397,0.005180226,-5.257713
222,0,0,0.4267106,-0.29528457,0.7129116654396057,0.02835912,-3.5340376,0.9996941,8.091903
261,0,1,0.69168586,0.8080127,0.7818039059638977,0.99288905,4.9389796,0.9998621,8.88866
292,0,1,0.6814597,0.7604882,0.8252875804901123,0.995103,5.3142214,0.9579302,3.1254435
308,1,0,0.40616253,-0.37985232,0.8765590786933899,0.9978923,6.16004,3.2689932e-06,-12.631025
333,1,0,0.40608793,-0.38016158,0.7200101613998413,0.9975763,6.020039,4.6930632e-05,-9.966793
334,1,0,0.4064991,-0.37845704,0.7599573135375977,0.9991148,7.028866,8.991587e-07,-13.921805
346,1,0,0.40632802,-0.37916622,0.705539345741272,0.9984882,6.492977,7.210075e-06,-11.840024
376,1,0,0.4057688,-0.38148487,0.6692839860916138,0.99643207,5.632189,3.4672492e-05,-10.269529
389,1,0,0.4645906,-0.14187506,1.0,0.99361223,5.0469637,0.20345552,-1.3648355
407,0,1,0.69314265,0.81485283,0.8225607872009277,0.9987324,6.669366,0.9999938,11.982806
416,1,0,0.4064396,-0.37870362,0.8998495936393738,0.99889946,6.810918,6.295384e-07,-14.278278
430,1,0,0.4099297,-0.36425605,1.0,0.99873525,6.671623,0.012260553,-4.389032
451,0,0,0.42096812,-0.31880045,0.8370121121406555,0.007490135,-4.88665,0.9999882,11.347212
483,0,1,0.6929568,0.8139792,0.8673344254493713,0.9982168,6.327611,0.9997559,8.317688
517,0,0,0.18081267,-1.5108513,0.6424477100372314,0.008462863,-4.763569,0.00048457115,-7.6317616
520,0,0,0.18005574,-1.51597,0.878236711025238,0.0026803636,-5.919119,0.0017365573,-6.3541126
535,1,0,0.40666273,-0.37777883,0.7736582159996033,0.9997074,8.136368,1.4089413e-06,-13.472671
581,1,0,0.40606603,-0.38025233,0.8609129786491394,0.997544,6.006753,1.6762731e-06,-13.298936
583,0,0,0.4058539,-0.3811321,0.6073380708694458,0.996687,5.7065935,8.6029686e-05,-9.360732
596,0,1,0.56533426,0.26283985,0.8510840535163879,0.52039474,0.08162424,0.9958419,5.478537
608,0,1,0.6566342,0.64833075,1.0,0.95774436,3.1208432,0.8997676,2.194645
610,1,0,0.4066145,-0.37797862,0.7335273027420044,0.9995314,7.6652126,2.5197128e-06,-12.891363
612,0,0,0.40277666,-0.39390895,0.8989704251289368,0.97901344,3.842664,0.006314909,-5.058507
630,0,0,0.18144055,-1.506618,0.836694061756134,0.007990221,-4.8215146,0.0044835466,-5.4028473
647,1,0,0.4065425,-0.378277,0.8555635809898376,0.9992632,7.2125545,9.36026e-06,-11.579028
672,0,1,0.67348224,0.7239773,0.8767186999320984,0.9193108,2.433019,0.9999567,10.04931
686,1,0,0.40660304,-0.3780262,0.8152493834495544,0.99949133,7.5831766,1.1427937e-06,-13.682034
702,1,0,0.36834466,-0.53932476,0.669031023979187,0.8584546,1.8025131,9.257805e-07,-13.892628
725,0,0,0.41167098,-0.35706186,0.8557699918746948,0.0044334386,-5.4141364,0.97086537,3.5062592
746,0,0,0.24853206,-1.1064568,0.717806339263916,0.28761747,-0.9069836,0.07180212,-2.559331
763,0,0,0.40643695,-0.37871468,0.5624860525131226,0.9988452,6.7626843,4.3200398e-05,-10.049618
777,0,0,0.47877893,-0.08493524,0.8796536922454834,0.21204548,-1.3126396,0.9999236,9.479982
828,1,0,0.40662915,-0.37791798,0.7785742878913879,0.999569,7.7491045,1.7423952e-05,-10.957647
839,0,0,0.43794852,-0.2494921,0.8520978093147278,0.06810352,-2.6161928,0.9999776,10.707184
850,0,0,0.4227355,-0.3115538,0.7552597522735596,0.013924642,-4.2600727,0.99989426,9.154115
878,0,0,0.20514876,-1.3544196,0.8000683188438416,0.102919206,-2.1652017,0.041033506,-3.151467
915,1,0,0.4053197,-0.38334784,0.8102787733078003,0.9948376,5.2611694,1.6415514e-06,-13.319867
948,0,0,0.4196125,-0.3243643,0.8905922770500183,0.0031340776,-5.7622814,0.99950075,7.601943
964,0,1,0.68965036,0.7984852,1.0,0.9844333,4.146931,0.99998176,10.909449
970,1,0,0.40661323,-0.37798402,0.8296325206756592,0.9995265,7.6547747,2.7230922e-06,-12.81374
980,0,1,0.6916409,0.80780196,0.8389892578125,0.9938512,5.085336,0.99876344,6.6941557
982,0,1,0.69294906,0.8139428,1.0,0.99824667,6.3444786,0.99969685,8.101013
986,1,0,0.4270716,-0.2938091,1.0,0.0293328,-3.4992774,0.99999726,12.8162
989,0,1,0.69169676,0.8080638,0.7872094511985779,0.9927965,4.9259586,0.99999356,11.94883
1009,0,0,0.1811153,-1.5088094,0.9663486480712892,0.010739554,-4.523024,1.3878579e-05,-11.18515
1073,1,0,0.40564135,-0.38201362,0.7615184187889099,0.995999,5.517179,6.695066e-06,-11.914133
1084,0,0,0.18199867,-1.5028646,0.7852174639701843,0.015921311,-4.1240473,2.9548328e-05,-10.429454
1101,0,0,0.47298658,-0.10815898,0.7813671231269836,0.1920942,-1.4364595,0.9995833,7.782686
1120,1,0,0.40651253,-0.37840143,0.7022593021392822,0.99916327,7.085124,1.0059646e-06,-13.809563
1143,0,0,0.3843686,-0.47104645,0.7446133494377136,0.91780657,2.4129112,0.00033572342,-7.998887
1194,1,0,0.40667906,-0.37771118,0.750825047492981,0.9997625,8.345206,5.3181197e-06,-12.144385
1203,0,0,0.44207796,-0.23273289,0.796925961971283,0.082924895,-2.403254,0.99981683,8.605094
1211,0,0,0.4213571,-0.3172049,0.6919646859169006,0.008876702,-4.715409,0.9999964,12.554796
1213,1,0,0.40649563,-0.3784714,0.7920364737510681,0.99910235,7.0147395,6.5510096e-07,-14.238476
1233,1,0,0.40636006,-0.37903342,0.754757821559906,0.998599,6.5691857,1.2300683e-05,-11.305843
1255,0,1,0.6852914,0.77819705,0.5947168469429016,0.9771641,3.7563226,0.98995084,4.590163
1287,0,0,0.33969873,-0.6646371,0.8806629776954651,0.022728702,-3.7611358,0.69568443,0.82683086
1332,0,0,0.19681512,-1.4063201,0.883663535118103,0.010542587,-4.5417337,0.08605694,-2.362759
1333,0,0,0.18421999,-1.4880141,0.7170214056968689,0.028788377,-3.5185726,0.0001424442,-8.856418
1354,1,0,0.18099156,-1.509644,1.0,0.009777587,-4.617837,0.00023632075,-8.350084
1359,1,0,0.40066248,-0.4027055,0.8742508292198181,0.9779011,3.7898805,1.1718522e-05,-11.354328
1386,0,1,0.55820525,0.2338813,1.0,0.4919705,-0.032120705,0.9988153,6.737091
1433,1,0,0.34355813,-0.6474778,0.8500151038169861,0.76388156,1.174079,6.4996852e-06,-11.94375
1475,1,0,0.4066509,-0.37782788,0.7489525675773621,0.9996644,7.9992046,1.434199e-06,-13.454903
1477,0,0,0.18270957,-1.4980966,0.8241817951202393,0.02010349,-3.8865535,1.6806249e-05,-10.993743
1505,1,0,0.4066064,-0.37801218,1.0,0.9994766,7.554611,2.6744046e-05,-10.529172
1532,0,0,0.42058045,-0.32039106,0.8230406641960144,0.006220774,-5.073621,0.99987197,8.963367
1609,1,0,0.3946764,-0.4276971,0.6146566271781921,0.9560599,3.079993,1.1096457e-06,-13.711469
1632,1,0,0.29225802,-0.8844425,0.6807692646980286,0.5566768,0.22768584,1.2937009e-05,-11.255405
