index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
10,1,0,0.036078803,-3.285304,0.6186729073524475,0.036078803,-3.285304,2.5952182e-05,-10.559229
15,1,1,0.97881544,3.8330703,0.5742457509040833,0.97881544,3.8330731,1.15652e-05,-11.367498
29,1,1,0.9980621,6.2441974,0.8316655158996582,0.9980621,6.244218,1.4833506e-06,-13.4212055
62,1,1,0.9722083,3.5548334,0.8642714023590088,0.9722083,3.5548334,0.050136212,-2.941575
66,0,1,0.95752865,3.115526,1.0,0.95752865,3.115526,0.00041580165,-7.7848864
124,1,1,0.9993255,7.3008847,0.792572021484375,0.9993255,7.300901,5.2346633e-05,-9.857571
152,0,1,0.9809217,3.9399402,1.0,0.7138281,0.9140497,0.9809217,3.9399426
161,0,1,0.9732748,3.5950606,1.0,0.9732748,3.5950613,0.008148518,-4.8017373
191,1,1,0.99959236,7.804728,0.8954257965087891,0.99959236,7.8047986,2.186607e-05,-10.730553
222,0,0,0.022034494,-3.7928653,0.8527668714523315,0.022034494,-3.7928653,2.5419927e-06,-12.88256
261,0,1,0.9911527,4.7187567,1.0,0.9911527,4.718754,0.0040257787,-5.511003
292,0,1,0.99634296,5.6074367,1.0,0.99634296,5.6074495,0.08272152,-2.4059315
308,1,1,0.99780303,6.118478,0.8765893578529358,0.99780303,6.118499,9.375295e-06,-11.577423
333,1,1,0.9973894,5.945552,0.7208540439605713,0.9973894,5.945529,9.802646e-06,-11.532848
334,1,1,0.999062,6.970824,0.8814561367034912,0.999062,6.970752,0.26814383,-1.0040605
346,1,1,0.9988004,6.724564,0.7165552377700806,0.9988004,6.724592,2.9249772e-05,-10.43961
376,1,1,0.99341524,5.0163903,0.8289734721183777,0.99341524,5.0164,0.5675007,0.2716612
389,1,1,0.99335676,5.0074906,0.9081857800483704,0.99335676,5.0074897,0.0023385654,-6.0558763
407,0,1,0.99854124,6.528706,1.0,0.99854124,6.5287285,3.2499935e-05,-10.33424
416,1,1,0.999006,6.912752,0.9548929333686828,0.999006,6.912782,0.43039462,-0.28024137
430,1,1,0.9985794,6.5552425,0.9025460481643676,0.9985794,6.555275,0.009759943,-4.619661
451,0,1,0.99135536,4.7421336,1.0,0.0070590344,-4.946363,0.99135536,4.742127
483,0,1,0.9985758,6.5527244,1.0,0.9985758,6.5527177,9.856416e-06,-11.527378
517,0,0,0.008270765,-4.786723,0.8113676905632019,0.008270765,-4.786723,1.9809288e-06,-13.131943
520,0,0,0.0028238667,-5.8668203,0.9420129656791688,0.0028238667,-5.8668203,0.00050962163,-7.581332
535,1,1,0.99971396,8.159083,0.8930819630622864,0.99971396,8.159305,0.99867576,6.625597
581,1,1,0.9969111,5.7768493,0.8676106929779053,0.9969111,5.776854,9.610709e-05,-9.249951
583,0,1,0.99675685,5.7279625,1.0,0.99675685,5.727954,0.05795612,-2.7883656
596,0,0,0.44732934,-0.21146718,0.9242875576019288,0.44732934,-0.21146718,0.00021925925,-8.425036
608,0,1,0.9607112,3.196734,1.0,0.9607112,3.196734,0.8877987,2.0684514
610,1,1,0.99955434,7.7155,0.8699641823768616,0.99955434,7.715456,0.007177554,-4.929593
612,0,1,0.9837557,4.1036363,1.0,0.9837557,4.103636,2.4933584e-05,-10.59927
630,0,0,0.009737162,-4.6220207,0.919252872467041,0.009737162,-4.6220207,3.3309545e-05,-10.309633
647,1,1,0.9992761,7.2301354,0.9365242719650269,0.9992761,7.2301755,0.99859124,6.563655
672,0,1,0.8821927,2.01336,1.0,0.8821927,2.01336,3.189905e-05,-10.352902
686,1,1,0.9995061,7.6127157,0.9136226773262024,0.9995061,7.6127596,0.00086527,-7.0516033
702,1,1,0.8768577,1.9630041,0.8313816785812378,0.8768577,1.9630042,0.003563369,-5.633479
725,0,0,0.0059985556,-5.11022,0.9315037727355956,0.0059985556,-5.11022,3.3725266e-06,-12.599845
746,0,0,0.35417187,-0.6007511,0.8489128351211548,0.35417187,-0.60075116,4.4547587e-06,-12.321533
763,0,1,0.9985807,6.556167,1.0,0.9985807,6.556199,2.9887492e-06,-12.720653
777,0,0,0.33334726,-0.6930845,0.9413619041442872,0.33334726,-0.6930845,9.823693e-06,-11.530704
828,1,1,0.9995715,7.7547965,0.7882217168807983,0.9995715,7.754919,0.00010659207,-9.146395
839,0,1,0.99993694,9.671333,1.0,0.06345917,-2.6917963,0.99993694,9.672026
850,0,1,0.9999647,10.25199,0.7539243102073669,0.0149296215,-4.189366,0.9999647,10.251402
878,0,1,0.8274596,1.5677286,1.0,0.17092702,-1.5790715,0.8274596,1.5677288
915,1,1,0.9958619,5.483369,0.8124794960021973,0.9958619,5.4833784,9.680371e-06,-11.545401
948,0,0,0.002657401,-5.927746,0.9465858936309814,0.002657401,-5.927746,0.0008782143,-7.0367413
964,0,1,0.999979,10.77188,1.0,0.97911763,3.8477492,0.999979,10.773572
970,1,1,0.99955267,7.71176,0.9156421422958374,0.99955267,7.7117524,0.0710508,-2.570659
980,0,1,0.9939381,5.09965,1.0,0.9939381,5.099652,4.2528536e-06,-12.367916
982,0,1,0.9997069,8.134786,1.0,0.99833256,6.3947587,0.9997069,8.134941
986,1,0,0.03773862,-3.2386022,0.71534663438797,0.03773862,-3.2386022,8.268078e-06,-11.7031
989,0,1,0.99209714,4.8325963,1.0,0.99209714,4.8325977,0.14351137,-1.7864268
1009,0,0,0.013207563,-4.31367,0.9871630072593688,0.013207563,-4.31367,1.7665927e-06,-13.246456
1073,1,1,0.9955259,5.4049654,0.7631045579910278,0.9955259,5.404957,0.0016033556,-6.434052
1084,0,0,0.021449713,-3.820361,0.8994184136390686,0.021449713,-3.820361,2.268405e-06,-12.996431
1101,0,0,0.17898223,-1.5232582,0.8924599885940552,0.17898223,-1.5232582,3.8796984e-06,-12.459749
1120,1,1,0.99913186,7.0482874,0.8458292484283447,0.99913186,7.0482407,0.9988285,6.748266
1143,0,1,0.932822,2.6308684,1.0,0.932822,2.6308694,1.401162e-05,-11.17561
1194,1,1,0.99973446,8.233484,0.74959796667099,0.99973446,8.233341,9.675343e-05,-9.243248
1203,0,0,0.11263775,-2.0640764,0.9021655321121216,0.11263775,-2.0640764,2.810127e-06,-12.782278
1211,0,1,0.9960687,5.53485,1.0,0.0082104,-4.7941093,0.9960687,5.5348577
1213,1,1,0.9991992,7.1291127,0.9001314043998718,0.9991992,7.1291194,0.9915194,4.7614603
1233,1,1,0.9987668,6.6968927,0.8818744421005249,0.9987668,6.696887,0.98372144,4.101493
1255,0,1,0.9748253,3.6564198,1.0,0.9748253,3.6564217,0.0014302881,-6.548448
1287,0,0,0.020183485,-3.8825006,0.9444809556007384,0.020183485,-3.8825006,6.314515e-06,-11.972653
1332,0,0,0.009870984,-4.608236,0.9402429461479188,0.009870984,-4.608236,9.891709e-06,-11.523804
1333,0,0,0.039580103,-3.189044,0.8520911931991577,0.039580103,-3.189044,7.2204584e-06,-11.838585
1354,1,0,0.008345674,-4.7776313,1.0,0.008345674,-4.7776313,0.00027060788,-8.214569
1359,1,1,0.9794536,3.8643103,0.9418268203735352,0.9794536,3.8643131,0.24033314,-1.150854
1386,0,1,0.9990206,6.9275665,1.0,0.44289592,-0.22941743,0.9990206,6.9275303
1433,1,1,0.7093287,0.89212596,0.848633348941803,0.7093287,0.892126,3.1163432e-05,-10.376234
