index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
10,1,0,0.017580865,-4.023207,0.615228533744812,0.035159837,-3.312058,1.8928727e-06,-13.177413
15,1,0,0.49269298,-0.029230235,0.5764743089675903,0.98538554,4.2110233,4.330425e-07,-14.65243
29,1,0,0.4989504,-0.0041984715,0.837094247341156,0.9978998,6.1636286,9.875411e-07,-13.828047
62,1,0,0.490926,-0.036299944,0.7294825911521912,0.98184925,3.990728,2.7264132e-06,-12.812521
66,0,1,0.95752114,3.1153412,0.6860252618789673,0.91562784,2.3843725,0.99941444,7.442368
124,1,1,0.5141195,0.056493085,0.7922165989875793,0.99934417,7.3290176,0.028894788,-3.5147736
152,0,1,0.87609494,1.9559588,1.0,0.7747786,1.2354935,0.97741127,3.7674599
161,0,0,0.49285132,-0.028596701,0.7035567164421082,0.9561914,3.0831277,0.029511232,-3.4930289
191,1,0,0.4998311,-0.0006756084,0.7865878343582153,0.99966097,7.989073,1.2790238e-06,-13.569412
222,0,0,0.008578966,-4.749826,0.7074141502380371,0.0170748,-4.0529294,8.313304e-05,-9.394985
261,0,1,0.9965346,5.661452,0.7837249040603638,0.993071,4.965082,0.9999982,13.265364
292,0,1,0.54400975,0.17649569,1.0,0.9949604,5.2853894,0.09305903,-2.2768433
308,1,0,0.4989813,-0.0040748175,0.8744310736656189,0.9979608,6.1931367,1.7910579e-06,-13.232702
333,1,0,0.4984129,-0.0063483934,0.7208695411682129,0.9966143,5.6848087,0.00021151516,-8.461002
334,1,0,0.49951544,-0.001938313,0.7609923481941223,0.99903035,6.9376087,5.4565726e-07,-14.421274
346,1,0,0.49933732,-0.0026507312,0.7042273879051208,0.9986675,6.619333,7.126314e-06,-11.851709
376,1,0,0.4972674,-0.0109305745,0.6664329767227173,0.99453247,5.203448,2.320715e-06,-12.973633
389,1,0,0.4972819,-0.010872486,0.8254459500312805,0.99456245,5.208963,1.3822579e-06,-13.491791
407,0,1,0.99932516,7.3003545,0.8228092193603516,0.9986713,6.6221952,0.999979,10.773993
416,1,0,0.49938965,-0.002441404,0.8998475074768066,0.99877805,6.70607,1.2507578e-06,-13.59176
430,1,0,0.49929097,-0.0028361925,0.7874524593353271,0.99857986,6.5555797,2.0655427e-06,-13.090116
451,0,1,0.503252,0.013008257,0.8381900787353516,0.0067654466,-4.9891386,0.99973863,8.249279
483,0,1,0.99592763,5.4994497,0.8634401559829712,0.9983985,6.435203,0.9934568,5.0227604
517,0,0,0.010725671,-4.5243316,0.6400462985038757,0.0086877225,-4.7371187,0.012763621,-4.3483105
520,0,0,0.0066065965,-5.013058,0.8777626752853394,0.0029150401,-5.8349524,0.010298152,-4.565439
535,1,0,0.49986488,-0.00054052175,0.7744697332382202,0.99971837,8.17451,1.1375393e-05,-11.384047
581,1,0,0.49864042,-0.0054383664,0.8582675457000732,0.99728036,5.9045305,4.952381e-07,-14.518227
583,0,1,0.5224478,0.08985169,1.0,0.99741626,5.955944,0.04747938,-2.9988163
596,0,1,0.7782626,1.2555703,0.8517983555793762,0.56290525,0.25296137,0.99362,5.048189
608,0,1,0.9403107,2.757058,1.0,0.96265614,3.249529,0.91796535,2.4150176
610,1,0,0.4997861,-0.0008555137,0.7314504981040955,0.99956876,7.748377,3.4375582e-06,-12.580746
612,0,1,0.9894736,4.543285,0.8984588384628296,0.9815871,3.9761167,0.99736005,5.934348
630,0,0,0.004660335,-5.3639965,0.8375641703605652,0.009108845,-4.6893587,0.00021182455,-8.45954
647,1,0,0.49967247,-0.0013101335,0.8592417240142822,0.9993443,7.3290935,6.714464e-07,-14.213831
672,0,1,0.9629132,3.2567027,0.8746978044509888,0.93314993,2.636113,0.9926765,4.9093213
686,1,0,0.49972212,-0.0011115288,0.8157837390899658,0.99944335,7.4931293,9.172043e-07,-13.901935
702,1,0,0.43454152,-0.2633454,0.669693112373352,0.86908245,1.8928702,5.819142e-07,-14.356942
725,0,1,0.5009915,0.0039660856,0.8577753901481628,0.003839736,-5.5585046,0.9981433,6.2870836
746,0,0,0.20389295,-1.3621385,0.7169279456138611,0.27162737,-0.98638165,0.13615851,-1.8475696
763,0,0,0.49950325,-0.0019869863,0.5618898272514343,0.99891853,6.8283224,8.799502e-05,-9.338142
777,0,0,0.17385374,-1.5585574,0.8772024512290955,0.3370917,-0.6762817,0.010615753,-4.534744
828,1,0,0.4997777,-0.0008892197,0.7786078453063965,0.9995454,7.6956983,1.0009119e-05,-11.512004
839,0,1,0.53953016,0.15845132,1.0,0.0791212,-2.4543476,0.9999391,9.706427
850,0,0,0.49853036,-0.005878527,0.7558862566947937,0.0139307985,-4.2596245,0.9831299,4.0651994
878,0,0,0.038798254,-3.209809,0.7986785173416138,0.07739874,-2.4782267,0.00019777156,-8.5282
915,1,0,0.4981576,-0.0073696063,0.809836208820343,0.9963069,5.5975785,8.266106e-06,-11.703339
948,0,1,0.50148946,0.005957821,0.8896729946136475,0.0032480466,-5.726448,0.9997309,8.220002
964,0,1,0.9885423,4.457571,1.0,0.9771049,3.7536747,0.99997973,10.806304
970,1,0,0.49976313,-0.00094744726,0.8311249017715454,0.9995247,7.6510544,1.5711205e-06,-13.36372
980,0,1,0.99700606,5.808166,0.8386920690536499,0.99418277,5.1411014,0.9998293,8.67537
982,0,1,0.99886125,6.7766876,1.0,0.9980246,6.224998,0.9996979,8.104468
986,1,0,0.014798028,-4.198353,0.7087725400924683,0.029594768,-3.4901161,1.2898398e-06,-13.560991
989,0,1,0.5797356,0.32168803,1.0,0.9933478,5.006137,0.16612329,-1.6133554
1009,0,0,0.0070969393,-4.9409695,0.9658738374710084,0.014190351,-4.240901,3.5281298e-06,-12.554739
1073,1,1,0.9924705,4.881369,0.7629460692405701,0.99700874,5.809049,0.98793226,4.405076
1084,0,0,0.008794244,-4.7248244,0.7850024700164795,0.017547347,-4.0251493,4.1142146e-05,-10.098436
1101,0,1,0.6056294,0.42897713,0.7829456329345703,0.21212758,-1.3121483,0.99913114,7.04738
1120,1,0,0.49963143,-0.0014743343,0.7030386924743652,0.9992617,7.210474,1.2216769e-06,-13.615285
1143,0,1,0.9725553,3.567753,0.7446556687355042,0.9455395,2.8542793,0.999571,7.753814
1194,1,0,0.49987954,-0.0004818408,0.7499310374259949,0.99975723,8.323222,1.846982e-06,-13.201956
1203,0,1,0.5489925,0.19660087,0.7983160614967346,0.09837113,-2.2154555,0.99961394,7.8590903
1211,0,1,0.50285095,0.011403971,1.0,0.008915629,-4.710994,0.99678624,5.737077
1213,1,0,0.4995662,-0.001735225,0.7938116788864136,0.99913055,7.0467844,1.8386341e-06,-13.206486
1233,1,0,0.49937066,-0.0025172897,0.7489609718322754,0.99874,6.6753755,1.2835802e-06,-13.565856
1255,0,0,0.48811278,-0.047557812,0.5959011912345886,0.9755009,3.6843116,0.0007246845,-7.229049
1287,0,0,0.48670664,-0.053186007,0.8817855715751648,0.017429039,-4.032035,0.95598423,3.0781934
1332,0,0,0.4502934,-0.19948526,0.8848377466201782,0.010748884,-4.522146,0.8898379,2.089087
1333,0,0,0.01887297,-3.9509711,0.7130083441734314,0.037419297,-3.2474313,0.00032664405,-8.026313
1354,1,0,0.0063723857,-5.0493884,1.0,0.01253463,-4.3666463,0.0002101418,-8.467518
1359,1,0,0.49556735,-0.017731119,0.8775455951690674,0.99112564,4.7156763,9.043202e-06,-11.613488
1386,0,1,0.7299417,0.99432695,1.0,0.46109423,-0.15593833,0.99878925,6.715333
1433,1,0,0.41946274,-0.32497925,0.8496176600456238,0.8388618,1.6497834,6.3678606e-05,-9.661598
1475,1,0,0.49983066,-0.0006773381,0.7456677556037903,0.99966097,7.9890275,3.3690313e-07,-14.90347
1477,0,0,0.008483651,-4.7610946,0.8232353329658508,0.016922915,-4.062019,4.4386685e-05,-10.022527
1505,1,0,0.4997679,-0.00092841557,1.0,0.99950767,7.615978,2.8144636e-05,-10.478126
1532,0,0,0.0056865825,-5.163943,0.8230012655258179,0.0056236987,-5.175126,0.0057494664,-5.152882
1609,1,0,0.47892457,-0.08435167,0.6178349852561951,0.95784795,3.1234038,1.1899299e-06,-13.641615
1632,1,0,0.26282734,-1.0313249,0.6831794381141663,0.5256486,0.10268462,6.089812e-06,-12.008887
1633,1,0,0.4995965,-0.0016140247,0.7818198800086975,0.99919015,7.1178885,2.8619193e-06,-12.764015
1664,0,0,0.2607088,-1.0422878,0.8465021848678589,0.0039478117,-5.530638,0.5174698,0.06990765
1671,1,0,0.002037159,-6.19416,0.8712704181671143,0.004017816,-5.512991,5.6502027e-05,-9.7811775
1682,0,1,0.9972967,5.9105716,1.0,0.9947353,5.2414494,0.99985814,8.860601
1707,1,0,0.49987254,-0.00050980924,0.8726127743721008,0.99956745,7.745519,0.00017762992,-8.635631
1708,1,0,0.3783554,-0.49653456,0.8179093599319458,0.75670993,1.1347256,8.7868415e-07,-13.9448395
1710,1,0,0.077657305,-2.4746113,1.0,0.10603915,-2.1318536,0.049275458,-2.9597983
1740,1,1,0.9914768,4.7564006,0.798809826374054,0.99576014,5.4589777,0.9871934,4.344906
1750,1,0,0.4884439,-0.046232585,1.0,0.0061833244,-5.0796967,0.9707045,3.5005884
1757,0,1,0.5334612,0.13404523,1.0,0.07588616,-2.499601,0.9910363,4.7055655
1771,0,1,0.9990015,6.9082603,1.0,0.99800545,6.215358,0.9999976,12.958737
1790,1,0,0.49957913,-0.0016834593,0.6211604475975037,0.9991555,7.0759797,2.7335677e-06,-12.8099
1838,0,1,0.5009318,0.0037271574,0.7092201709747314,0.13123627,-1.8900719,0.8706273,1.9065164
1858,1,0,0.4999337,-0.00026515662,0.8077036738395691,0.99985766,8.857591,9.708755e-06,-11.542473
1942,1,0,0.49980703,-0.0007719396,0.8838085532188416,0.99960095,7.82606,1.3115208e-05,-11.241725
1948,0,0,0.42831615,-0.2887246,0.7115761637687683,0.002186578,-6.1232285,0.8544457,1.7699035
1960,0,1,0.8793925,1.9866899,1.0,0.8310318,1.5929575,0.9277532,2.5526774
2002,0,0,0.49854127,-0.005835,0.7748413681983948,0.9970747,5.8314247,7.834546e-06,-11.75696
2012,0,1,0.5169062,0.067650564,0.8188658356666565,0.035975583,-3.2882762,0.99783677,6.134005
2026,0,1,0.99104345,4.706373,1.0,0.9827976,4.0453563,0.9992893,7.24851
2027,1,0,0.49984616,-0.00061536883,0.7099133133888245,0.9996908,8.080868,1.5453177e-06,-13.38028
2089,0,0,0.49724835,-0.011006685,0.6669403314590454,0.9944938,5.196362,2.935479e-06,-12.738637
2100,1,0,0.32941654,-0.71082515,1.0,0.6588306,0.6580874,2.5050063e-06,-12.897217
2178,1,0,0.49978036,-0.0008786007,0.7674369812011719,0.9995596,7.727295,1.1373335e-06,-13.686823
2198,0,1,0.9978532,6.141637,1.0,0.9957112,5.447447,0.99999523,12.243412
