index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
10,1,0,0.041639004,-3.136187,1.0,0.041639004,-3.136187,0.99998605,11.179699
15,1,1,0.9795855,3.8708856,0.772559404373169,0.9795855,3.8708844,0.99999607,12.460574
29,1,1,0.9980882,6.2577863,0.9211136102676392,0.9980882,6.257806,0.9999839,11.035654
62,1,0,1.627828e-06,-13.328262,0.7268176078796387,0.9860378,4.2573433,1.627828e-06,-13.328262
66,0,1,0.95409715,3.0342383,0.6807687282562256,0.95409715,3.0342371,0.9734963,3.6036081
124,1,1,0.9993007,7.264757,0.9014841318130492,0.9993007,7.2648377,0.99997115,10.45377
152,0,1,0.7863659,1.3031577,1.0,0.7863659,1.3031577,0.9828388,4.0477977
161,0,1,0.9554802,3.0662804,0.7060961127281189,0.9554802,3.0662818,0.99955076,7.7076416
191,1,0,0.006192832,-5.0781507,1.0,0.9996093,7.8469915,0.006192832,-5.0781507
222,0,0,0.01889341,-3.949868,0.7076152563095093,0.01889341,-3.949868,0.8079892,1.4369967
261,0,1,0.99253815,4.8904624,0.7821003198623657,0.99253815,4.890469,0.9999887,11.38719
292,0,1,0.9951042,5.3144684,0.821946918964386,0.9951042,5.3144593,0.9999354,9.6475525
308,1,1,0.9980526,6.2393093,0.9466795325279236,0.9980526,6.2393003,0.99994266,9.765738
333,1,0,0.0004348543,-7.7400646,0.7191082835197449,0.99759007,6.0257382,0.0004348543,-7.7400646
334,1,0,9.500388e-07,-13.866762,0.7620951533317566,0.999014,6.920954,9.500388e-07,-13.866762
346,1,1,0.99874324,6.6779575,0.8523971438407898,0.99874324,6.6779585,0.999759,8.330627
376,1,0,3.2476394e-06,-12.637579,0.6697641611099243,0.9955388,5.4078765,3.2476394e-06,-12.637579
389,1,0,0.1701751,-1.5843868,1.0,0.9936568,5.054021,0.1701751,-1.5843868
407,0,1,0.99871373,6.654723,0.8253248333930969,0.99871373,6.654729,0.9998042,8.53839
416,1,0,9.362795e-06,-11.578757,0.900393009185791,0.9990038,6.9106226,9.362795e-06,-11.578757
430,1,0,0.010097862,-4.5852823,1.0,0.99844605,6.4654183,0.010097862,-4.5852823
451,0,0,0.0063449796,-5.053726,0.921322226524353,0.0063449796,-5.053726,0.99715745,5.8601985
483,0,1,0.9982644,6.354649,0.863349199295044,0.9982644,6.35462,0.9999701,10.418918
517,0,0,0.008459111,-4.764016,0.6392648816108704,0.008459111,-4.764016,0.5807012,0.32565242
520,0,0,0.002521314,-5.9804506,0.8776252269744873,0.002521314,-5.9804506,0.9943553,5.1713834
535,1,0,2.9132434e-06,-12.746241,0.7743752002716064,0.9996916,8.083754,2.9132434e-06,-12.746241
581,1,1,0.9977112,6.0774283,0.9377787113189696,0.9977112,6.077439,0.99997914,10.7769985
583,0,1,0.8691886,1.8938036,0.6063252687454224,0.997223,5.883601,0.8691886,1.8938035
596,0,1,0.55489665,0.22047544,0.8481795191764832,0.55489665,0.22047555,0.9976459,6.0492344
