index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
10,1,0,1.4077151e-06,-13.473541,0.61601722240448,0.03549224,-3.3023038,1.8861509e-05,-10.878368
15,1,0,3.359404e-05,-10.301128,0.5766283869743347,0.9868956,4.321616,3.6110356e-07,-14.834101
29,1,1,0.9941724,5.1393046,0.8352062106132507,0.99824154,6.3415356,0.99908006,6.990313
62,1,0,3.396831e-05,-10.290049,0.7268537878990173,0.9885689,4.4599195,3.487105e-05,-10.263819
66,0,0,2.9090932e-05,-10.445055,0.6876529455184937,0.94991165,2.9425814,0.0012101659,-6.715787
124,1,1,0.9940745,5.122551,0.7896484136581421,0.9991522,7.0719733,0.99999845,13.358578
152,0,1,0.9971801,5.8682313,1.0,0.7615933,1.1614345,0.9849845,4.183546
161,0,1,0.9954725,5.3930454,0.702466607093811,0.96393955,3.2858338,0.99520147,5.3346386
191,1,0,4.547014e-05,-9.998409,1.0,0.9996239,7.8854556,0.00587128,-5.131794
222,0,0,1.4986906e-06,-13.410917,0.7076960802078247,0.015590328,-4.1453915,4.196021e-05,-10.078747
261,0,0,3.472944e-05,-10.267888,0.782969057559967,0.99246687,4.8808923,1.6805721e-05,-10.993774
292,0,1,0.9950885,5.311256,0.8191444277763367,0.99629396,5.594098,0.9853012,4.2051826
308,1,1,0.9941182,5.129996,0.8771922588348389,0.99807394,6.250352,0.9999888,11.402489
333,1,0,3.576093e-05,-10.238619,0.7185223698616028,0.9974172,5.9562917,2.8011289e-06,-12.785485
334,1,0,3.6135418e-05,-10.228201,0.7621128559112549,0.9991352,7.0521765,7.918071e-07,-14.048947
346,1,0,3.6050264e-05,-10.23056,0.7059287428855896,0.9987214,6.660703,1.7517388e-06,-13.2549
376,1,1,0.9942076,5.145403,0.6685183644294739,0.99610066,5.543046,0.9998042,8.53833
389,1,0,0.1878632,-1.4639547,1.0,0.993757,5.0700264,0.18000239,-1.5163313
407,0,0,3.6067355e-05,-10.230086,0.822497546672821,0.99883515,6.7539496,1.2658237e-06,-13.579786
416,1,0,3.6113062e-05,-10.22882,0.8997399806976318,0.99902654,6.9336424,1.0163986e-06,-13.799244
430,1,0,5.4705804e-05,-9.813486,1.0,0.9985624,6.5433683,0.010712423,-4.525581
451,0,1,0.98504305,4.187509,1.0,0.006253272,-5.0683775,0.99091655,4.6921806
483,0,1,0.996367,5.614051,0.8643783926963806,0.9982399,6.340599,0.9593321,3.160799
517,0,0,8.788458e-05,-9.339398,0.6437128782272339,0.008607618,-4.746463,0.7472008,1.0837382
520,0,0,4.3327134e-05,-10.046688,0.8776718378067017,0.002927805,-5.83057,0.4430488,-0.22879776
535,1,1,0.99408853,5.124932,0.7760480046272278,0.99969316,8.088722,0.99948835,7.5773673
581,1,1,0.99413294,5.132517,0.8625324368476868,0.99782914,6.130446,0.99990976,9.312386
583,0,1,0.9999143,9.364438,0.6034201383590698,0.9969177,5.7789936,0.70055723,0.8499527
596,0,0,0.00045508007,-7.694582,0.8509591817855835,0.4764067,-0.09444341,0.67051005,0.7104929
608,0,1,0.9978048,6.1192937,1.0,0.9603771,3.1879206,0.9294001,2.5775099
610,1,0,3.6234316e-05,-10.225468,0.7334507703781128,0.99956733,7.745047,5.9515796e-06,-12.031848
612,0,0,3.3518194e-05,-10.303389,0.8986550569534302,0.9833145,4.076393,0.0004708087,-7.660588
630,0,0,2.8502727e-06,-12.768093,0.8372714519500732,0.0059913015,-5.1114373,0.028307954,-3.535896
647,1,0,3.6266676e-05,-10.224575,0.8573262095451355,0.99936,7.353347,5.901908e-05,-9.737591
672,0,0,2.0436177e-05,-10.798183,0.87582927942276,0.86538905,1.8607904,1.7797312e-05,-10.936445
686,1,0,3.6233836e-05,-10.225481,0.8146262168884277,0.9995208,7.642895,7.905591e-06,-11.747932
702,1,0,1.6906703e-05,-10.987783,0.6699845790863037,0.8027182,1.4033711,4.998797e-07,-14.508898
725,0,1,0.9939634,5.103863,0.8549829721450806,0.004291027,-5.446929,0.999941,9.737758
746,0,0,9.335364e-07,-13.884285,0.7218789458274841,0.19617344,-1.4103843,9.624198e-07,-13.853814
763,0,0,3.641205e-05,-10.220574,0.5621395707130432,0.99877363,6.7024603,0.00025839882,-8.260748
777,0,1,0.99279094,4.9251814,0.8788273334503174,0.24934714,-1.1020973,0.9977977,6.1160574
828,1,1,0.99406165,5.1203675,0.7862780094146729,0.9995233,7.6479692,0.9999789,10.767727
839,0,1,0.99465066,5.2254186,1.0,0.058047824,-2.7866874,0.9999378,9.684927
850,0,1,0.99414307,5.1342554,0.7536028027534485,0.014439939,-4.2232122,0.9999112,9.329175
878,0,0,9.76628e-07,-13.839159,0.8002046942710876,0.16893099,-1.5932225,3.7360955e-05,-10.194847
915,1,1,0.99466324,5.227785,0.807733416557312,0.9964695,5.6427765,0.9923792,4.869228
948,0,1,0.9702795,3.4857478,0.8907056450843811,0.0027905116,-5.878736,0.9840021,4.119168
964,0,1,0.9947988,5.2536473,1.0,0.97906095,3.8449774,0.999977,10.678174
970,1,0,3.6236943e-05,-10.225395,0.8309473991394043,0.9994873,7.575249,1.7371323e-05,-10.960672
980,0,1,0.9943657,5.1732306,0.8393473625183105,0.99439055,5.177674,0.99833626,6.397029
982,0,1,0.99414235,5.1341324,1.0,0.9979925,6.2088842,0.9996667,8.006221
986,1,0,1.4077151e-06,-13.473541,0.7061487436294556,0.035537794,-3.300974,2.447957e-05,-10.617647
989,0,0,3.51022e-05,-10.257212,0.7875555753707886,0.9943486,5.1701736,1.9788179e-06,-13.133009
1009,0,0,1.5335961e-06,-13.387894,0.9663617014884948,0.012697678,-4.353557,0.00074797595,-7.1973915
1073,1,1,0.9941894,5.1422405,0.7639049887657166,0.9966319,5.6900444,0.9997727,8.388921
1084,0,0,1.4740518e-06,-13.427494,0.7829324007034302,0.020599684,-3.8616648,2.149497e-05,-10.74767
1101,0,1,0.9943277,5.1664762,0.7814632058143616,0.20239832,-1.3713717,0.99994695,9.843935
1120,1,1,0.9944608,5.1903543,0.7024720907211304,0.9992236,7.1600933,0.9940806,5.1235814
1143,0,0,2.5414194e-05,-10.580177,0.7423518300056458,0.9288782,2.5695837,1.5110097e-06,-13.402731
1194,1,1,0.9940519,5.118713,0.75052410364151,0.9997589,8.330118,0.9999925,11.795038
1203,0,1,0.99032646,4.6286407,0.7961103916168213,0.11160808,-2.0744195,0.99399394,5.108956
1211,0,1,0.99119425,4.7235055,1.0,0.0083917575,-4.772078,0.9961279,5.550071
1213,1,0,3.6170793e-05,-10.227222,0.7951222658157349,0.99926513,7.215073,2.204507e-06,-13.025004
1233,1,1,0.9941049,5.127725,0.754149317741394,0.99845684,6.472342,0.9999614,10.16155
1255,0,0,3.0277337e-05,-10.405081,0.5925126671791077,0.9621049,3.2343025,0.0007332088,-7.2173467
1287,0,0,4.192473e-06,-12.3822155,0.8819976449012756,0.01723801,-4.04325,0.048089948,-2.9853973
1332,0,0,1.5181394e-06,-13.398024,0.8841228485107422,0.011978151,-4.4126205,5.8505e-05,-9.74634
