index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,1.25789165e-05,-11.283476,0.6152806878089905,0.9644359946250916,1.25789165e-05,-11.283476,1.25789165e-05,-11.283476
15,1,0,1.2625102e-05,-11.279811,0.5796842575073242,0.9888916015625,1.2625102e-05,-11.279811,1.2625102e-05,-11.279811
29,1,0,2.8314375e-05,-10.472113,0.8341676592826843,0.9104478359222412,2.8314375e-05,-10.472113,2.8314375e-05,-10.472113
62,1,0,2.2703638e-05,-10.692963,0.7274150848388672,1.0000001192092896,2.2703638e-05,-10.692963,2.2703638e-05,-10.692963
66,0,1,0.99948263,7.566395,0.6873929500579834,1.0000001192092896,0.99948263,7.566395,0.99948263,7.566395
124,1,0,0.012268588,-4.3883686,0.7901278734207153,1.0,0.012268588,-4.3883686,0.012268588,-4.3883686
152,0,1,0.9930347,4.959821,0.7058558464050293,0.7816317081451416,0.9930347,4.959821,0.9930347,4.959821
161,0,1,0.9999585,10.089736,1.0,1.0,0.9999585,10.089736,0.9999585,10.089736
191,1,0,0.00020754164,-8.479971,0.7820465564727783,0.7855377197265625,0.00020754164,-8.479971,0.00020754164,-8.479971
222,0,0,0.03726999,-3.2515845,0.7048050165176392,1.000000238418579,0.03726999,-3.2515845,0.03726999,-3.2515845
261,0,1,0.9993399,7.3224854,0.7806702256202698,0.8183538317680359,0.9993399,7.3224854,0.9993399,7.3224854
292,0,1,0.999951,9.923199,1.0,1.0,0.999951,9.923199,0.999951,9.923199
308,1,0,0.0011712896,-6.748478,0.8747220039367676,0.9999998807907104,0.0011712896,-6.748478,0.0011712896,-6.748478
333,1,0,0.31521165,-0.7758655,0.718704342842102,1.0000001192092896,0.31521165,-0.7758655,0.31521165,-0.7758655
334,1,0,0.00019412725,-8.5468025,0.7635335326194763,0.9191176891326904,0.00019412725,-8.5468025,0.00019412725,-8.5468025
346,1,0,0.049087636,-2.9638147,0.7076095938682556,1.0,0.049087636,-2.9638147,0.049087636,-2.9638147
376,1,0,7.2061186e-05,-9.537923,0.6650406122207642,0.9602155685424804,7.2061186e-05,-9.537923,7.2061186e-05,-9.537923
389,1,0,0.004587011,-5.379929,0.82087242603302,0.9876207113265992,0.004587011,-5.379929,0.004587011,-5.379929
407,0,1,0.93256015,2.6266985,1.0,1.0,0.93256015,2.6266985,0.93256015,2.6266985
416,1,0,1.5504427e-05,-11.074369,0.9002693891525269,0.5484104156494141,1.5504427e-05,-11.074369,1.5504427e-05,-11.074369
430,1,1,0.99649835,5.65102,0.7875874638557434,1.0,0.99649835,5.65102,0.99649835,5.65102
451,0,1,0.9977731,6.104937,0.8331151008605957,1.0,0.9977731,6.104937,0.9977731,6.104937
483,0,1,0.9999262,9.513512,0.8622539639472961,0.8863272070884705,0.9999262,9.513512,0.9999262,9.513512
517,0,0,0.13924828,-1.8215476,0.639828622341156,1.0,0.13924828,-1.8215476,0.13924828,-1.8215476
520,0,0,0.017583216,-4.023071,0.8744310736656189,0.9999999403953552,0.017583216,-4.023071,0.017583216,-4.023071
535,1,0,0.02133314,-3.8259296,0.7692683339118958,0.8362166881561279,0.02133314,-3.8259296,0.02133314,-3.8259296
581,1,0,1.2782207e-05,-11.267444,0.8605839610099792,0.9256135821342468,1.2782207e-05,-11.267444,1.2782207e-05,-11.267444
583,0,1,0.99988294,9.052497,1.0,1.0,0.99988294,9.052497,0.99988294,9.052497
596,0,1,0.98647666,4.2897267,0.8488733172416687,0.9412783980369568,0.98647666,4.2897267,0.98647666,4.2897267
608,0,1,0.99962926,7.899843,1.0,1.0,0.99962926,7.899843,0.99962926,7.899843
610,1,0,3.7840324e-05,-10.182097,0.7300295233726501,0.849132239818573,3.7840324e-05,-10.182097,3.7840324e-05,-10.182097
612,0,1,0.9997484,8.287345,0.8988943099975586,0.931893229484558,0.9997484,8.287345,0.9997484,8.287345
630,0,1,0.99474347,5.243024,1.0,1.0,0.99474347,5.243024,0.99474347,5.243024
647,1,0,8.205222e-06,-11.7107315,0.8574707508087158,0.7867375612258911,8.205222e-06,-11.7107315,8.205222e-06,-11.7107315
672,0,1,0.9883159,4.4377728,0.8763160705566406,1.0000001192092896,0.9883159,4.4377728,0.9883159,4.4377728
686,1,0,1.2241902e-05,-11.310634,0.8146248459815979,0.6719121336936951,1.2241902e-05,-11.310634,1.2241902e-05,-11.310634
702,1,0,2.2365262e-05,-10.707979,0.6745336651802063,0.9837813377380372,2.2365262e-05,-10.707979,2.2365262e-05,-10.707979
725,0,1,0.97175026,3.538015,0.8585361838340759,1.0,0.97175026,3.538015,0.97175026,3.538015
746,0,1,0.6865398,0.78399223,0.7186267375946045,1.0,0.6865398,0.78399223,0.6865398,0.78399223
763,0,1,0.98025733,3.9050322,0.5583180785179138,0.9999999403953552,0.98025733,3.9050322,0.98025733,3.9050322
777,0,1,0.98971623,4.566848,0.8784403800964355,1.0000001192092896,0.98971623,4.566848,0.98971623,4.566848
828,1,0,0.1473838,-1.7552694,0.7799482941627502,0.5613585710525513,0.1473838,-1.7552694,0.1473838,-1.7552694
839,0,1,0.9975662,6.0158796,1.0,1.0,0.9975662,6.0158796,0.9975662,6.0158796
850,0,1,0.9989857,6.892619,0.7546051144599915,0.8753684759140015,0.9989857,6.892619,0.9989857,6.892619
878,0,1,0.95153564,2.977248,1.0,1.0,0.95153564,2.977248,0.95153564,2.977248
915,1,0,4.6471563e-05,-9.976624,0.8089008927345276,0.8611271381378174,4.6471563e-05,-9.976624,4.6471563e-05,-9.976624
948,0,1,0.9999198,9.430709,0.8883295059204102,0.9960854649543762,0.9999198,9.430709,0.9999198,9.430709
964,0,1,0.99996805,10.352213,1.0,1.0,0.99996805,10.352213,0.99996805,10.352213
970,1,1,0.9950435,5.302102,0.8289539813995361,0.9600263833999634,0.9950435,5.302102,0.9950435,5.302102
980,0,1,0.9999453,9.81283,0.8364239931106567,1.0,0.9999453,9.81283,0.9999453,9.81283
982,0,1,0.99997556,10.618433,1.0,1.0,0.99997556,10.618433,0.99997556,10.618433
986,1,0,1.2172681e-05,-11.316304,0.7079198956489563,0.9386224746704102,1.2172681e-05,-11.316304,1.2172681e-05,-11.316304
989,0,1,0.99932814,7.304694,1.0,1.0,0.99932814,7.304694,0.99932814,7.304694
1009,0,0,0.0066807675,-5.001819,0.9661680459976196,0.9739348888397216,0.0066807675,-5.001819,0.0066807675,-5.001819
1073,1,1,0.9959431,5.503273,0.7605247497558594,1.0000001192092896,0.9959431,5.503273,0.9959431,5.503273
1084,0,1,0.9641708,3.2925062,0.7868844270706177,1.0,0.9641708,3.2925062,0.9641708,3.2925062
1101,0,1,0.99990356,9.247166,1.0,1.0,0.99990356,9.247166,0.99990356,9.247166
1120,1,1,0.9990528,6.9611216,0.7036633491516113,0.9363244771957396,0.9990528,6.9611216,0.9990528,6.9611216
1143,0,1,0.99409604,5.1262107,0.7449796199798584,1.0,0.99409604,5.1262107,0.99409604,5.1262107
1194,1,0,0.46602425,-0.13611281,0.7462794184684753,0.8568169474601746,0.46602425,-0.13611281,0.46602425,-0.13611281
