index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.4356004,-0.2590372,1.0,1.0,0.059747294,-2.7560248,0.99998724,11.2668085
15,1,0,0.23376562,-1.1871692,0.5784984827041626,0.9281675815582277,0.29199007,-0.88573825,8.985801e-07,-13.922449
29,1,0,0.39396748,-0.43066522,0.8353878259658813,0.9459416270256042,0.95342296,3.018952,4.102434e-05,-10.101304
62,1,0,0.40139693,-0.39964795,0.7295099496841431,1.0000001192092896,0.98058206,3.9219513,4.49429e-06,-12.312698
66,0,0,0.4010654,-0.40102783,0.6849233508110046,1.0000001192092896,0.96409965,3.2904482,0.014639334,-4.2092957
124,1,0,0.40906537,-0.3678305,0.7899115085601807,1.0,0.999276,7.2300024,0.008748274,-4.730112
152,0,1,0.65095013,0.62321824,1.0,1.0,0.8496032,1.731492,0.98233414,4.018299
161,0,1,0.5924043,0.37391362,0.7034404873847961,0.8972934484481812,0.99719256,5.872642,0.6320976,0.541226
191,1,0,0.40827712,-0.3710922,1.0,1.0,0.9995788,7.7719755,0.0057257875,-5.157033
222,0,0,0.43262887,-0.2711334,0.708020031452179,1.000000238418579,0.08773988,-2.3415487,0.9630365,3.26016
261,0,1,0.6931916,0.8150829,0.7785359621047974,0.8713721632957458,0.99904066,6.94833,0.99989104,9.124793
292,0,0,0.40651587,-0.3783876,0.8165873885154724,0.9101278781890868,0.99871016,6.6519723,0.00044673143,-7.713106
308,1,0,0.40625829,-0.3794553,0.876671314239502,0.9999998807907104,0.99822253,6.330758,1.9564748e-05,-10.841762
333,1,0,0.4060297,-0.38040298,0.7166185975074768,1.0000001192092896,0.99741167,5.954124,2.4567428e-06,-12.916672
334,1,0,0.30676237,-0.81529945,0.7612603902816772,0.9194170236587524,0.6170348,0.47698128,0.000108291235,-9.130578
346,1,0,0.40637386,-0.3789762,0.7081677913665771,1.0,0.9986607,6.6142807,9.0660586e-07,-13.913557
376,1,0,0.21280141,-1.3081212,0.6692307591438293,0.9393441677093506,0.18622926,-1.4747002,3.203155e-06,-12.651371
389,1,0,0.44552252,-0.21877833,1.0,1.0,0.9917331,4.7871885,0.14083436,-1.8083771
407,0,1,0.6930271,0.81430954,0.8233073353767395,1.0,0.9984059,6.4398594,0.9998516,8.815567
416,1,0,0.40621948,-0.3796161,0.8993434309959412,0.6546841263771057,0.99810165,6.264833,6.183507e-07,-14.296209
430,1,0,0.40912387,-0.3675884,1.0,1.0,0.9987116,6.6530943,0.009491763,-4.647794
451,0,0,0.4206885,-0.31994766,0.8333189487457275,1.0,0.006492793,-5.0305486,0.99998283,10.971648
483,0,1,0.693104,0.8146713,0.8646124601364136,0.8944641351699829,0.999255,7.2013803,0.9993407,7.323659
517,0,0,0.21372142,-1.3026378,0.6412134766578674,1.0,0.008303307,-4.7827635,0.17505635,-1.5502071
520,0,0,0.39869523,-0.41090462,0.8761491775512695,0.9999999403953552,0.0029875052,-5.8103247,0.9271471,2.5436692
535,1,0,0.27051845,-0.9919938,0.7768145799636841,0.8135813474655151,0.46264762,-0.1496886,1.5133533e-06,-13.401181
581,1,0,0.36077508,-0.57200164,0.8612358570098877,0.974050521850586,0.8296824,1.5833786,0.00019269362,-8.554216
583,0,1,0.68867934,0.79395235,0.6033086180686951,0.9769065380096436,0.98772275,4.387652,0.99303305,4.9595947
596,0,1,0.6914738,0.80701846,0.8506466150283813,0.9483296275138856,0.9934615,5.0234847,0.99848074,6.487978
608,0,1,0.65767956,0.65297055,1.0,1.0,0.96173364,3.2241666,0.89983225,2.1953626
610,1,0,0.40662205,-0.3779474,0.7287492752075195,0.7983251810073853,0.99955755,7.72272,3.6581794e-06,-12.518541
612,0,1,0.69255716,0.8121016,0.8965796232223511,0.8988234400749207,0.9970739,5.831148,0.999278,7.232683
630,0,1,0.61997175,0.4894283,0.8330926299095154,0.9790971279144288,0.9614056,3.2152877,0.76314867,1.1700201
647,1,0,0.36238247,-0.5650384,0.8596336841583252,0.8332772850990295,0.8359634,1.6284956,8.300058e-06,-11.69924
672,0,0,0.37493593,-0.511099,0.8773560523986816,1.0000001192092896,0.863474,1.844449,0.018836655,-3.9529343
686,1,0,0.40432778,-0.38746467,0.8172335624694824,0.7799033522605896,0.99122787,4.727369,1.1412164e-05,-11.380819
702,1,0,0.3648188,-0.55450946,0.6744099259376526,0.9999999403953552,0.8451757,1.6972537,2.5687013e-06,-12.8721075
725,0,1,0.6022038,0.41465607,0.854684054851532,0.8782854080200195,0.65438354,0.638364,0.99465114,5.2255006
746,0,0,0.22370934,-1.2441794,0.7172539234161377,1.0,0.24213961,-1.1409848,2.3794043e-06,-12.948658
763,0,0,0.4065718,-0.37815565,0.5613157153129578,0.9999999403953552,0.9987739,6.70271,0.00057987554,-7.452117
777,0,0,0.49099463,-0.036025368,0.8768827319145203,1.0000001192092896,0.2560342,-1.066684,0.99875224,6.6851387
828,1,0,0.40377605,-0.38975596,0.77779221534729,0.6317198276519775,0.98922825,4.519994,7.4534955e-06,-11.80682
839,0,0,0.43476185,-0.26244873,0.8550411462783813,1.0000001192092896,0.056754332,-2.8105948,0.99999666,12.6198435
850,0,1,0.69246334,0.811661,0.7547420263290405,0.8837740421295166,0.9964412,5.634778,0.99951506,7.6309195
878,0,1,0.69198185,0.80940104,0.8008214831352234,0.98995041847229,0.99577844,5.463337,0.99825686,6.3503118
915,1,0,0.35189444,-0.6107224,0.8091168999671936,0.973751664161682,0.79602444,1.3616295,2.122012e-06,-13.063144
948,0,1,0.69108915,0.80521613,0.88779217004776,0.8895293474197388,0.9903448,4.63056,0.9999566,10.0443
964,0,1,0.68984365,0.7993885,1.0,1.0,0.985225,4.1999397,0.99998,10.818832
970,1,0,0.40661204,-0.37798887,0.8320019841194153,1.0,0.9995123,7.625449,1.2193617e-05,-11.314586
980,0,1,0.6919089,0.8090587,0.8400059938430786,1.0,0.993679,5.05754,0.99998164,10.903786
982,0,1,0.69292754,0.8138417,1.0,1.0,0.99815,6.2906713,0.9997048,8.127553
986,1,0,0.42612898,-0.29766256,1.0,1.0,0.025963424,-3.6247602,0.99999714,12.767109
