index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.050796162,-2.9278028,1.0,1.0,0.050796162,-2.9278028,0.99998605,11.182124
15,1,0,0.36862862,-0.5381046,0.77267986536026,0.9473866820335388,0.36862862,-0.53810453,0.9999974,12.838064
29,1,1,0.8303152,1.5878625,0.921345829963684,0.8432464599609375,0.8303152,1.5878625,0.9999771,10.683038
62,1,0,1.4935441e-06,-13.414357,0.7271245121955872,1.0000001192092896,0.9894856,4.544449,1.4935441e-06,-13.414357
66,0,1,0.94016385,2.7544441,0.6855714917182922,1.0000001192092896,0.94016385,2.7544446,0.9952068,5.335751
124,1,1,0.9992919,7.2522125,0.9012963771820068,1.0,0.9992919,7.252277,0.9999801,10.825422
152,0,1,0.7373914,1.0324543,1.0,1.0,0.7373914,1.0324543,0.97996885,3.890235
161,0,0,0.072481126,-2.549187,0.7055062651634216,0.8706443309783936,0.072481126,-2.549187,0.99987316,8.973061
191,1,0,0.0055337343,-5.1913433,1.0,1.0,0.99962354,7.884251,0.0055337343,-5.1913433
222,0,0,0.021238117,-3.8304908,0.7076423764228821,1.000000238418579,0.021238117,-3.8304908,0.93905073,2.734829
261,0,1,0.9371655,2.7023556,0.7846464514732361,0.8999567627906799,0.9371655,2.7023566,0.9999807,10.857389
292,0,1,0.9982828,6.365336,0.8187713623046875,0.9668896198272704,0.9982828,6.3653307,0.99997747,10.698046
308,1,1,0.9976539,6.052653,0.9468263387680054,0.9999998807907104,0.9976539,6.0526457,0.99994695,9.845142
333,1,0,4.7028066e-06,-12.267346,0.7175192832946777,0.9149757623672484,0.99746454,5.974821,4.7028066e-06,-12.267346
334,1,0,8.6073203e-07,-13.965482,0.7622014880180359,0.9730788469314576,0.9957765,5.462835,8.6073203e-07,-13.965482
346,1,0,3.0057968e-06,-12.714965,0.7061991095542908,1.0,0.99867886,6.627923,3.0057968e-06,-12.714965
376,1,0,7.93573e-06,-11.744127,0.6658970713615417,0.8410307765007019,0.9479017,2.9011183,7.93573e-06,-11.744127
389,1,0,0.14186122,-1.7999167,1.0,1.0,0.99396306,5.103799,0.14186122,-1.7999166
407,0,1,0.99837935,6.423306,0.8223918676376343,1.0,0.99837935,6.4232783,0.99997973,10.807246
416,1,0,2.212884e-06,-13.021212,0.9013827443122864,1.0,0.9991086,7.0218716,2.212884e-06,-13.021212
430,1,0,0.012826116,-4.343363,1.0,1.0,0.998777,6.7051997,0.012826116,-4.343363
451,0,0,0.0069592204,-4.9607043,0.9218668937683104,1.0,0.0069592204,-4.9607043,0.98639756,4.2838106
483,0,1,0.99932516,7.3003545,0.8662598133087158,0.8944641351699829,0.99932516,7.3003693,0.9998491,8.798384
517,0,0,0.0084669,-4.7630877,0.6411902904510498,1.0,0.0084669,-4.7630877,0.09292364,-2.2784486
520,0,0,0.00266657,-5.924292,0.8762623071670532,0.9999999403953552,0.00266657,-5.924292,0.99836606,6.4151106
535,1,0,1.7915425e-05,-10.929831,0.7754833102226257,0.8440244197845459,0.9992113,7.14445,1.7915425e-05,-10.929831
581,1,1,0.95366967,3.0245204,0.938003957271576,0.9092906713485718,0.95366967,3.0245214,0.9999807,10.851852
583,0,1,0.9929033,4.9410024,0.6032842397689819,0.9115571975708008,0.9929033,4.9410005,0.99969137,8.082809
596,0,0,0.39328766,-0.43351346,0.8511678576469421,0.9785943031311036,0.39328766,-0.4335135,0.9996081,7.8440075
608,0,1,0.8943937,2.1364279,1.0,1.0,0.9457991,2.859333,0.8943937,2.1364284
610,1,0,3.917521e-06,-12.4500475,0.732536256313324,1.0000001192092896,0.9995472,7.6997094,3.917521e-06,-12.4500475
612,0,1,0.8673593,1.8778092,0.9012026190757751,0.9366663694381714,0.8673593,1.8778093,0.99757713,6.0203676
630,0,1,0.93366903,2.6444652,0.8340551257133484,0.9881632328033448,0.93366903,2.6444652,0.9578383,3.1231668
647,1,0,0.24954528,-1.1010389,0.9367206692695618,0.7857604622840881,0.24954528,-1.1010389,0.9938909,5.0918436
672,0,1,0.7737955,1.229868,0.8796648979187012,0.9644989967346193,0.7737955,1.229868,0.99996483,10.254191
686,1,0,3.3455733e-06,-12.607869,0.8149596452713013,0.6340505480766296,0.92534286,2.5172591,3.3455733e-06,-12.607869
702,1,0,1.0889524e-06,-13.730293,0.6708133220672607,0.9531022310256958,0.48431316,-0.06276786,1.0889524e-06,-13.730293
725,0,0,0.073791765,-2.529852,0.8596702218055725,0.8645422458648682,0.073791765,-2.529852,0.49541065,-0.018357992
746,0,0,5.1790663e-05,-9.868249,0.7171517014503479,1.0,0.25737482,-1.0596579,5.1790663e-05,-9.868249
763,0,0,0.001091439,-6.819166,0.5588846206665039,0.9999999403953552,0.9988035,6.727189,0.001091439,-6.819166
777,0,0,0.25320312,-1.0816011,0.8780674934387207,1.0000001192092896,0.25320312,-1.0816013,0.99713767,5.853254
828,1,1,0.9941916,5.1426225,0.8949443697929382,0.8068549633026123,0.9941916,5.1426206,0.9997774,8.409738
