index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
10,1,1,0.99405885,5.119893,0.6178585886955261,0.8050979971885681,0.99960166,7.827631,0.9999658,10.284526
15,1,1,0.9940544,5.119137,0.5764830708503723,0.9481052160263062,0.9997056,8.130393,0.9999709,10.445893
29,1,1,0.99404883,5.1181993,0.8354078531265259,0.8358747959136963,0.99983,8.679444,0.9999964,12.530432
62,1,1,0.99406695,5.121267,0.7282505035400391,0.5799561142921448,0.99941957,7.4511223,0.9999558,10.026211
66,0,0,3.483502e-05,-10.264853,0.6812949776649475,0.7626422643661499,0.99304175,4.9608474,7.386907e-06,-11.815794
124,1,1,0.994066,5.121105,0.7874571084976196,1.0,0.9993876,7.397545,0.9999974,12.857998
152,0,1,0.99709165,5.837257,1.0,1.0,0.8730089,1.9278287,0.98313844,4.065715
161,0,0,3.589185e-05,-10.234964,0.7027830481529236,0.6693583130836487,0.9980336,6.229579,1.1655911e-06,-13.662281
191,1,0,4.464994e-05,-10.016613,1.0,1.0,0.9996076,7.842686,0.0054087336,-5.214317
222,0,1,0.9942334,5.1498947,0.705959677696228,1.000000238418579,0.029061222,-3.5088587,0.9997054,8.1297
261,0,1,0.9947455,5.2434006,0.7798507213592529,0.8572982549667358,0.9959441,5.5035157,0.99133366,4.7396054
292,0,0,0.02049,-3.8671155,0.8191282749176025,0.9889253973960876,0.9748438,3.6571722,0.13809165,-1.8312314
308,1,1,0.99412537,5.1312194,0.8754252791404724,0.9999998807907104,0.99799025,6.20774,0.9999244,9.490198
333,1,1,0.994152,5.1357923,0.7210201621055603,1.0000001192092896,0.9971903,5.8718705,0.99999833,13.318349
334,1,0,9.006013e-07,-13.920202,0.760090172290802,0.8079089522361755,0.24710739,-1.1140995,3.1541622e-05,-10.364171
346,1,1,0.99459416,5.2148542,0.7048336267471313,1.0,0.9988912,6.803308,0.992152,4.839614
376,1,0,9.36981e-07,-13.880602,0.6664212346076965,0.7673753499984741,0.29056135,-0.8926592,1.808323e-05,-10.920507
389,1,0,0.10023009,-2.1946707,1.0,1.0,0.9917561,4.790002,0.16674984,-1.6088393
407,0,0,3.6959977e-05,-10.205638,0.8228884339332581,1.0,0.9984963,6.498306,0.0006941404,-7.272142
416,1,0,3.1994916e-06,-12.652515,0.8998313546180725,0.7695620656013489,0.516642,0.066592366,1.547977e-06,-13.37856
430,1,0,5.305534e-05,-9.844122,1.0,1.0,0.99852633,6.5185795,0.009951855,-4.5999947
451,0,1,0.98687637,4.3201303,1.0,1.0,0.0070229494,-4.9515243,0.99219114,4.8446536
483,0,1,0.9940838,5.1241307,0.8655200004577637,0.8782227635383606,0.99893063,6.839588,0.99999607,12.448481
517,0,0,2.4620247e-06,-12.914524,0.6413663029670715,1.0,0.008676601,-4.738411,0.021759806,-3.8056908
520,0,1,0.99389666,5.0927978,0.8753489851951599,0.9999999403953552,0.0027818852,-5.8818407,0.9998896,9.112034
535,1,1,0.9940498,5.1183605,0.7756519913673401,0.8625436425209045,0.999824,8.644819,0.99996805,10.35038
581,1,0,3.6139554e-05,-10.228086,0.8617335557937622,0.8807592988014221,0.9991358,7.052759,1.7197964e-06,-13.273303
583,0,0,3.8360653e-05,-10.16844,0.6054363250732422,0.7489223480224609,0.99892646,6.8357744,0.001594971,-6.4393034
596,0,0,3.5177567e-05,-10.255067,0.8493973016738892,0.9229048490524292,0.9946996,5.234654,2.0561677e-06,-13.094665
608,0,1,0.9981652,6.298978,1.0,1.0,0.96003926,3.179077,0.91417325,2.3656888
610,1,0,3.6236943e-05,-10.225395,0.7305639982223511,1.0000001192092896,0.9995592,7.72653,6.240133e-06,-11.984503
612,0,0,3.6032085e-05,-10.231065,0.8975260257720947,0.8423863053321838,0.99860966,6.5768185,9.849904e-06,-11.528039
630,0,1,0.9955297,5.405822,0.8346514105796814,0.9635899066925048,0.95896,3.1513028,0.9967212,5.716978
647,1,0,3.6210346e-05,-10.22613,0.8620713353157043,0.9798744320869446,0.9994411,7.4888926,5.1506227e-06,-12.176388
672,0,0,2.035049e-05,-10.802385,0.8768985867500305,1.0000001192092896,0.8642977,1.8514539,1.1290641e-06,-13.69412
686,1,0,3.6269303e-05,-10.224503,0.8146471381187439,0.8817502856254578,0.9996915,8.083223,4.8652114e-06,-12.233396
702,1,0,3.3494616e-05,-10.304092,0.6737346053123474,0.9967923760414124,0.98631907,4.2779794,6.280366e-06,-11.978076
725,0,1,0.99315083,4.976755,0.8544571995735168,1.0,0.004433199,-5.414191,0.99871564,6.656225
746,0,0,9.0309373e-07,-13.9174385,0.7174739837646484,1.0,0.24233292,-1.1399316,4.7588082e-06,-12.255508
763,0,0,3.6201505e-05,-10.226374,0.5568707585334778,0.9999999403953552,0.9988663,6.781086,9.2155184e-05,-9.2919445
777,0,0,3.5582812e-05,-10.243612,0.8788869380950928,0.7350990772247314,0.9966305,5.689608,1.3448124e-06,-13.519255
828,1,1,0.9940613,5.120307,0.780138373374939,0.7137709856033325,0.99969935,8.108986,0.999882,9.044772
839,0,1,0.9946849,5.2318697,1.0,1.0,0.06769647,-2.6226244,0.9999291,9.553032
850,0,1,0.9956197,5.4262514,0.7546146512031555,0.9631486535072328,0.95768577,3.119396,0.99536175,5.368761
878,0,0,3.0296515e-05,-10.404448,0.7970188856124878,0.98995041847229,0.9677415,3.401184,1.1821447e-06,-13.648179
915,1,1,0.99404705,5.117897,0.8134416341781616,0.9599480032920836,0.9998646,8.906844,0.99999857,13.462704
948,0,0,3.539133e-05,-10.249008,0.8891348242759705,0.936202883720398,0.9938717,5.088692,0.0002911837,-8.141265
964,0,1,0.9947336,5.2411227,1.0,1.0,0.98103714,3.9461288,0.99997663,10.6665535
970,1,0,3.61937e-05,-10.226589,0.8329904675483704,0.9857575297355652,0.99937564,7.3780785,2.092158e-06,-13.077312
980,0,1,0.9943492,5.170288,0.8383758664131165,1.0,0.99281514,4.928564,0.9995222,7.645733
982,0,1,0.9941251,5.131179,1.0,1.0,0.99835384,6.407677,0.99973077,8.219559
986,1,0,9.838506e-07,-13.831791,0.710779070854187,0.8683187365531921,0.31451938,-0.77907455,1.2802757e-06,-13.568434
989,0,0,3.6181696e-05,-10.226921,0.7845723032951355,0.9415237903594972,0.9993248,7.2997656,4.2586207e-06,-12.366561
1009,0,0,1.5014544e-06,-13.409075,0.9660139679908752,1.000000238418579,0.01466659,-4.207408,5.0212243e-06,-12.201832
1073,1,1,0.9951426,5.322378,0.7629403471946716,1.0000001192092896,0.99649614,5.650391,0.98423266,4.133922
1084,0,0,1.4876915e-06,-13.418283,0.7851972579956055,1.0,0.017671121,-4.0179944,3.1394815e-05,-10.368836
1101,0,0,1.20815e-06,-13.626419,0.7831476926803589,0.8592596650123596,0.08653128,-2.356743,3.1237847e-05,-10.373849
1120,1,1,0.9946233,5.22029,0.7021752595901489,0.8369000554084778,0.9995778,7.76965,0.9912956,4.7351813
1143,0,0,2.5198637e-05,-10.588696,0.7431665658950806,1.0,0.92677814,2.5382195,1.973684e-06,-13.135607
1194,1,1,0.9940479,5.118038,0.7505760192871094,0.8778885006904602,0.9998363,8.717779,0.9999975,12.893583
1203,0,0,2.7693963e-05,-10.494268,0.7962550520896912,0.1919338852167129,0.94896364,2.9228315,1.3512941e-05,-11.211849
1211,0,1,0.99139297,4.7465315,1.0,1.0,0.007347708,-4.905992,0.9963697,5.6147933
1213,1,1,0.9940653,5.1209836,0.796100914478302,0.9447444081306458,0.99979717,8.502718,0.9997615,8.340899
1233,1,1,0.994055,5.1192374,0.7528445720672607,0.9066015481948853,0.9996793,8.044854,0.9999913,11.657265
1255,0,0,3.2774667e-05,-10.325822,0.5941579341888428,1.0,0.9787008,3.827556,0.0005520407,-7.5013366
1287,0,0,1.1046589e-05,-11.413378,0.8846312761306763,1.0,0.015700143,-4.138261,0.10077111,-2.188686
1332,0,0,3.842418e-05,-10.166785,0.8842204213142395,0.9032063484191896,0.9654966,3.331583,0.006515653,-5.027011
1333,0,0,1.406419e-06,-13.4744625,0.7141218781471252,1.0,0.035428844,-3.3041573,1.9695548e-05,-10.835098
1354,1,0,1.5392578e-06,-13.384209,1.0,1.0,0.008720654,-4.733302,0.0002725789,-8.20731
1359,1,0,3.39063e-05,-10.291876,0.8738011717796326,1.0,0.9884052,4.44554,1.24200205e-05,-11.296188
1386,0,1,0.99701834,5.8122883,1.0,1.0,0.6066341,0.43318546,0.9990074,6.9142075
1433,1,1,0.9940538,5.1190357,0.8483603000640869,0.9311018586158752,0.99976295,8.346822,0.9999502,9.905942
