index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
10,1,0,0.4294419,-0.2841285,1.0,0.037808623,-3.2366762,0.9999864,11.210382
15,1,0,0.43574134,-0.258464,0.91274231672287,0.060237136,-2.7473385,0.9999981,13.159091
29,1,1,0.5062,0.024801325,0.710361123085022,0.30792218,-0.8098513,0.9999957,12.363453
62,1,1,0.69018763,0.80099666,1.0000001192092896,0.98663217,4.301449,0.9999789,10.764411
66,0,0,0.3937589,-0.43153903,1.0000001192092896,0.95231646,2.9943104,0.00036903826,-7.904241
124,1,1,0.69328326,0.81551397,1.0,0.9993211,7.29434,0.9999833,11.003971
152,0,1,0.631742,0.5396973,1.0,0.7775224,1.251286,0.9814255,3.967216
161,0,0,0.4088195,-0.36884764,0.6071339249610901,0.99828845,6.3686633,0.008842221,-4.7193356
191,1,0,0.40828288,-0.37106845,1.0,0.99961853,7.8713036,0.0057076877,-5.1602173
222,0,0,0.18246473,-1.4997371,1.000000238418579,0.018681483,-3.9613643,4.977936e-06,-12.21049
261,0,0,0.40800273,-0.37222812,0.8138909935951233,0.9996742,8.028776,0.0046828846,-5.359147
292,0,0,0.43324342,-0.26863024,0.9801031351089478,0.9991435,7.0618668,0.09197441,-2.2897623
308,1,1,0.69288963,0.81366354,0.9999998807907104,0.9977093,6.0766115,0.9999776,10.705095
333,1,1,0.6609916,0.6677163,1.0000001192092896,0.99732095,5.9196224,0.8780906,1.974472
334,1,0,0.4938223,-0.024711955,0.9236345887184144,0.43313685,-0.26906437,0.8385583,1.6475402
346,1,1,0.69315076,0.8148909,1.0,0.9987608,6.6920557,0.99999833,13.273396
376,1,1,0.5724235,0.29174596,0.7667062878608704,0.57484525,0.30164784,0.9678908,3.4059763
389,1,0,0.45285636,-0.18913639,1.0,0.9933744,5.010165,0.16409284,-1.6280851
407,0,0,0.40638715,-0.3789211,1.0,0.9986749,6.6250014,3.3528522e-05,-10.303081
416,1,1,0.56486875,0.26094574,0.8729815483093262,0.9957365,5.4534025,0.53886,0.15575415
430,1,0,0.40948176,-0.36610815,1.0,0.9986064,6.574436,0.010832449,-4.5143175
451,0,0,0.42323726,-0.30949807,0.9545645713806152,0.024358612,-3.6902096,0.9916203,4.773531
483,0,0,0.40658772,-0.3780897,0.7885322570800781,0.9994267,7.4635334,9.742571e-06,-11.538996
517,0,0,0.18071273,-1.5115262,1.0,0.008376341,-4.7739325,2.0897728e-06,-13.078453
520,0,0,0.17982675,-1.5175217,0.9999999403953552,0.0027859015,-5.880394,0.00033548666,-7.999593
535,1,1,0.6931947,0.8150976,0.8345979452133179,0.99894756,6.8556185,0.9999926,11.814161
581,1,1,0.6166255,0.47524953,0.8839892148971558,0.7017894,0.85583335,0.9999931,11.884829
583,0,0,0.42491293,-0.30263722,0.6675961017608643,0.9995617,7.7321415,0.06308636,-2.6980865
596,0,0,0.40481457,-0.3854438,0.9289359450340272,0.99272823,4.916454,0.00026651192,-8.229825
608,0,1,0.6598185,0.66248536,1.0,0.9597786,3.1723032,0.9096759,2.309684
610,1,1,0.6912736,0.8060804,0.7921322584152222,0.9981963,6.3161263,0.99315864,4.977894
612,0,0,0.4064459,-0.37867758,0.718127965927124,0.9988943,6.8061204,2.731938e-05,-10.507887
630,0,0,0.43620506,-0.25657824,0.9500663876533508,0.99956757,7.745567,0.10166419,-2.1788688
647,1,1,0.5124131,0.04966258,0.7934024930000305,0.3296671,-0.70969117,0.9999893,11.444017
672,0,0,0.36832088,-0.53942704,1.0000001192092896,0.8583303,1.8014908,3.4324516e-05,-10.279616
686,1,1,0.69120294,0.8057492,0.93383127450943,0.99140733,4.748226,0.99938524,7.393712
702,1,0,0.44151428,-0.23501869,0.7745033502578735,0.10967812,-2.0940332,0.97227174,3.5571837
725,0,0,0.18007296,-1.5158532,1.0,0.0045903632,-5.379195,4.4500753e-06,-12.322585
746,0,0,0.22756335,-1.2221212,1.0,0.26098248,-1.0408684,0.00042830475,-7.755247
763,0,0,0.4064151,-0.37880522,0.9999999403953552,0.99880815,6.7310753,3.0127505e-06,-12.712654
777,0,0,0.2324263,-1.1946613,1.0000001192092896,0.2854287,-0.9176905,1.0699243e-05,-11.445327
828,1,1,0.6916041,0.8076292,0.8279569745063782,0.992431,4.876086,0.9999795,10.79257
839,0,1,0.69024724,0.8012754,0.8414977788925171,0.98691887,4.3234124,0.9999379,9.687307
850,0,0,0.41597274,-0.339328,0.7734805941581726,0.9995192,7.6395264,0.03239151,-3.3969312
878,0,1,0.62276256,0.50129056,0.9433883428573608,0.93340886,2.6402717,0.7999074,1.3857157
915,1,1,0.6750969,0.7313294,0.9839293956756592,0.9257029,2.5224814,0.9999918,11.711382
948,0,0,0.4028664,-0.39353597,0.9229661822319032,0.98581207,4.2410755,0.00011382222,-9.080759
964,0,1,0.689053,0.7956957,1.0,0.98199844,3.999132,0.9999777,10.70992
970,1,1,0.6861272,0.78207517,0.9547198414802552,0.9990466,6.954509,0.97223514,3.5558274
980,0,0,0.40519837,-0.38385126,1.0,0.994395,5.1784716,4.1180624e-06,-12.400124
982,0,1,0.69295454,0.81396854,1.0,0.998262,6.35324,0.99970347,8.12332
986,1,0,0.4274735,-0.29216674,1.0,0.030768858,-3.45,0.99999714,12.7606945
989,0,0,0.45878142,-0.16524936,0.9944641590118408,0.9996934,8.089613,0.17804909,-1.5296215
1009,0,0,0.21569136,-1.2909541,0.9163768887519836,0.20124121,-1.3785548,1.8928455e-06,-13.177427
1073,1,1,0.69267905,0.81267416,1.0000001192092896,0.9969265,5.7818604,0.9998989,9.199063
1084,0,0,0.18231991,-1.5007083,1.0,0.017836113,-4.008533,1.3128246e-06,-13.543328
1101,0,0,0.40645647,-0.37863374,0.6763781905174255,0.9988255,6.745715,0.00013014048,-8.946766
1120,1,1,0.6931709,0.8149857,0.9936540126800536,0.99884844,6.7654877,0.9999939,12.012597
1143,0,0,0.3896405,-0.44882354,1.0,0.9375732,2.7092993,1.4383917e-05,-11.149385
1194,1,1,0.69334424,0.81580085,0.6449595093727112,0.9995567,7.720781,0.999998,13.101417
1203,0,0,0.1967906,-1.4064752,1.0,0.10023116,-2.1946588,2.1195021e-06,-13.064327
1211,0,0,0.41993532,-0.32303894,0.9999998807907104,0.007881709,-4.8352976,0.9960627,5.5333176
1213,1,1,0.69304854,0.8144104,0.8073837161064148,0.9985203,6.514441,0.9998265,8.658863
1233,1,1,0.68937165,0.79718333,0.7302542924880981,0.98332614,4.0771027,0.99995184,9.940865
1255,0,0,0.40054616,-0.40318993,1.0,0.9758995,3.7011268,0.0015233699,-6.485306
1287,0,0,0.1823384,-1.5005842,1.0,0.017933395,-4.0029945,1.2087598e-05,-11.3233185
1332,0,0,0.40657964,-0.3781232,0.8682127594947815,0.9993718,7.3720884,3.427705e-05,-10.281
1333,0,0,0.18540567,-1.480144,1.0,0.035792474,-3.2935688,2.5027877e-05,-10.595495
1354,1,0,0.18093173,-1.5100476,1.0,0.009393495,-4.6583,0.0002662011,-8.230992
1359,1,0,0.45354384,-0.18636213,0.7355626821517944,0.12357423,-1.95901,0.9997179,8.173
1386,0,1,0.55751956,0.2311013,1.0,0.4894132,-0.04235348,0.9989365,6.8450704
1433,1,0,0.47703832,-0.09191133,0.9715948104858398,0.20586915,-1.3500075,0.9999969,12.69672
1475,1,0,0.49275258,-0.028991768,0.8395726680755615,0.26151186,-1.0381253,0.99939656,7.4123707
1477,0,0,0.19176927,-1.4385546,0.9749675393104552,0.07217825,-2.553701,5.2844293e-06,-12.150741
1505,1,0,0.40661266,-0.37798637,1.0,0.99949837,7.597232,2.7785598e-05,-10.490965
1532,0,0,0.40614176,-0.37993833,0.693173348903656,0.9971035,5.8413434,0.0006866938,-7.282935
1609,1,1,0.64258844,0.5866165,0.9894219040870668,0.79917145,1.3811241,0.9999888,11.400243
