index,label,pred,score,logit
10,1,0,0.037808005,-3.2366931
15,1,0,0.24104394,-1.1469646
29,1,1,0.8200416,1.5166291
62,1,1,0.98663217,4.3014426
66,0,1,0.94944817,2.9328825
124,1,1,0.9993211,7.2943344
152,0,1,0.7775215,1.251281
161,0,1,0.964327,3.297037
191,1,0,0.41630206,-0.33797243
222,0,0,0.018681364,-3.9613707
261,0,1,0.9912412,4.7289104
292,0,1,0.99603003,5.5250154
308,1,1,0.9977093,6.076608
333,1,1,0.99732095,5.919619
334,1,1,0.9879105,4.4032574
346,1,1,0.9987608,6.6920614
376,1,1,0.72970396,0.99312115
389,1,1,0.9933744,5.010168
407,0,1,0.9986749,6.6250033
416,1,1,0.998998,6.9047003
430,1,1,0.9986064,6.5744333
451,0,0,0.006861672,-4.974919
483,0,1,0.99833727,6.3976197
517,0,0,0.008376333,-4.7739334
520,0,0,0.002785895,-5.8803964
535,1,1,0.99925,7.1947374
581,1,1,0.75407517,1.1204662
583,0,1,0.9970285,5.815731
596,0,1,0.73517156,1.0210216
608,0,1,0.9597786,3.1723037
610,1,1,0.99923074,7.1693826
612,0,1,0.9808231,3.9346833
630,0,1,0.9977361,6.0883794
647,1,1,0.5485912,0.19498011
672,0,1,0.85833013,1.8014897
686,1,1,0.9867142,4.307681
702,1,1,0.7587632,1.1459107
725,0,0,0.0045903283,-5.379203
746,0,0,0.26098183,-1.0408719
763,0,1,0.99880815,6.7310753
777,0,0,0.2854252,-0.9177077
828,1,1,0.98437726,4.143283
839,0,0,0.065496944,-2.6580114
850,0,1,0.79233795,1.339076
878,0,1,0.84967506,1.7320545
915,1,0,0.40181634,-0.39790273
948,0,1,0.79386187,1.3483627
964,0,1,0.98199856,3.9991412
970,1,1,0.67884123,0.7484516
980,0,1,0.994395,5.1784773
982,0,1,0.998262,6.353242
986,1,0,0.030768884,-3.449999
989,0,1,0.99298394,4.9525123
1009,0,0,0.010785031,-4.5187526
1073,1,1,0.6983859,0.8396235
1084,0,0,0.017836213,-4.0085273
1101,0,1,0.6671947,0.69552445
1120,1,1,0.99884844,6.7654853
1143,0,1,0.93757373,2.709309
1194,1,1,0.99742657,5.9599676
1203,0,0,0.10023194,-2.1946502
1211,0,0,0.007881747,-4.835293
1213,1,1,0.9735641,3.6062388
1233,1,1,0.9986915,6.6375575
1255,0,1,0.9758992,3.7011123
1287,0,1,0.8667375,1.872415
1332,0,1,0.6151144,0.46886212
1333,0,0,0.035792615,-3.2935648
1354,1,0,0.009393455,-4.658304
1359,1,1,0.7340726,1.0153846
1386,0,0,0.48941705,-0.042338222
1433,1,0,0.3101312,-0.79950595
1475,1,1,0.99967396,8.028101
1477,0,0,0.17327347,-1.5626029
1505,1,1,0.6195134,0.48748335
1532,0,1,0.81847376,1.5060414
1609,1,0,0.32820395,-0.7163196
1632,1,1,0.538663,0.15496156
1633,1,1,0.9992229,7.159117
1664,0,1,0.6440981,0.5931958
1671,1,0,0.0038305183,-5.5609174
1682,0,1,0.99494994,5.2832966
1707,1,1,0.9991767,7.1013308
1708,1,0,0.31600547,-0.77219033
1710,1,0,0.088231236,-2.3354254
1740,1,1,0.5696102,0.2802608
1750,1,0,0.0058737467,-5.1313715
1757,0,1,0.92554486,2.520185
1771,0,1,0.99754214,6.0059805
1790,1,1,0.99530363,5.356251
1838,0,0,0.106059425,-2.1316397
1858,1,1,0.8185916,1.506834
1942,1,1,0.9987815,6.7089295
1948,0,1,0.97754663,3.7736053
1960,0,1,0.8115822,1.4603238
2002,0,1,0.99709046,5.8368573
2012,0,0,0.032463085,-3.39465
2026,0,1,0.98014647,3.8993185
2027,1,1,0.89447105,2.1372468
2089,0,1,0.9916924,4.782248
2100,1,0,0.30580536,-0.8198036
2178,1,1,0.99952257,7.6465335
2198,0,1,0.9958262,5.4747515
2207,0,1,0.99896944,6.8766212
2233,0,1,0.75560856,1.1287522
2244,1,0,0.03667039,-3.268426
2292,1,0,0.4527325,-0.18963635
2294,0,0,0.0217367,-3.8067768
2310,1,1,0.62919605,0.5287694
2319,1,1,0.99901474,6.921608
2321,1,1,0.9150781,2.3772779
2326,0,1,0.7948459,1.3543867
2356,1,0,0.34776163,-0.6288928
2357,1,1,0.998684,6.6318116
2390,1,1,0.92526174,2.5160847
2396,0,0,0.004521681,-5.3943396
2404,1,0,0.36647838,-0.54735464
2417,1,0,0.4361445,-0.2568243
2420,0,1,0.83662486,1.6333265
2434,0,1,0.96904075,3.4436364
2492,0,0,0.38886622,-0.45208046
2528,1,1,0.9970034,5.8072577
2536,1,1,0.9978235,6.1278462
2540,0,0,0.022008609,-3.7940671
2542,1,1,0.9877081,4.3864512
2566,0,1,0.5332794,0.1333149
2582,1,1,0.9765337,3.7284431
2598,1,0,0.09555594,-2.2476087
2631,1,0,0.35610098,-0.59232765
2641,0,1,0.99413896,5.133537
2648,0,1,0.70448107,0.8687285
2649,1,1,0.9995975,7.817299
2690,0,1,0.98823744,4.430996
2721,0,0,0.19964854,-1.3884925
2772,0,0,0.012477009,-4.371312
2792,0,0,0.023877347,-3.710658
2798,0,1,0.9262131,2.5299222
2804,0,1,0.9975319,6.001848
2826,1,1,0.9897215,4.5673676
2852,0,0,0.0019104523,-6.258503
2891,1,1,0.9989741,6.8811684
2899,1,1,0.99809223,6.259927
2911,1,0,0.12874155,-1.9121317
2918,1,0,0.4607216,-0.157438
2948,1,0,0.23515491,-1.1794287
2984,0,1,0.6880109,0.7908363
2997,1,1,0.9590317,3.1531267
3008,0,0,0.16165772,-1.6459452
3056,0,1,0.988898,4.489461
3057,1,1,0.633767,0.5484118
3062,1,1,0.9984831,6.4895825
3075,1,0,0.18399587,-1.4895061
3084,0,0,0.06959097,-2.5929894
3108,0,1,0.9624115,3.2427459
3137,0,0,0.006717145,-4.996352
3154,1,0,0.3830134,-0.47677723
3180,0,1,0.9985544,6.5378084
3241,0,0,0.018369706,-3.9785118
3242,0,0,0.007568984,-4.8760986
3247,0,1,0.98783046,4.3965726
3259,0,1,0.9992086,7.140874
3269,1,1,0.9691952,3.448795
3303,1,1,0.980789,3.9328752
3305,1,0,0.20579298,-1.3504735
3341,0,1,0.9982987,6.3746305
3350,0,1,0.96692675,3.375397
3364,0,0,0.18799405,-1.4630973
3368,1,1,0.99757093,6.017842
3378,1,0,0.44287974,-0.22948292
3404,1,1,0.9907382,4.672557
3435,0,1,0.99873704,6.6730247
3440,1,0,0.006673905,-5.002854
3472,1,0,0.10839618,-2.107229
3493,0,1,0.52265453,0.09068006
3515,1,0,0.4294985,-0.28389764
3526,1,1,0.995197,5.333699
3595,0,0,0.010809268,-4.5164833
3660,1,1,0.99955994,7.7282486
3691,1,0,0.31318694,-0.78526187
3704,0,0,0.4245429,-0.30415154
