index,label,blank_logit_both,blank_logit_img_only,blank_logit_txt_only,drop_logit_both,drop_logit_img_only,drop_logit_txt_only,blank_score_both,blank_score_img_only,blank_score_txt_only,drop_score_both,drop_score_img_only,drop_score_txt_only
0,1,2.4233103,-0.42512655,0.17497492,2.4233103,0.00015553832,-0.8191404,0.9185877,0.39529064,0.5436325,0.9185877,0.5000389,0.30594617
1,1,5.370487,2.7890708,-0.41710988,5.370487,5.382512,-0.7225679,0.9953696,0.9420824,0.39720857,0.9953696,0.9954248,0.32682776
2,0,-5.4267035,-5.1421933,-0.41612658,-5.4267035,-4.9578104,-0.85395145,0.0043783146,0.0058108917,0.397444,0.0043783146,0.0069792485,0.2986046
3,1,1.3630776,-0.41352174,-0.27475435,1.3630776,0.052897513,-0.91476375,0.79625946,0.398068,0.43174025,0.79625946,0.51322126,0.28602603
4,0,2.5162125,-0.09653263,-0.47548944,2.5162125,0.98502344,-0.7879956,0.9252706,0.47588557,0.3833178,0.9252706,0.7281038,0.31259924
5,0,-5.1106305,-5.468159,-0.5475061,-5.1106305,-4.8039536,-0.8751701,0.005996108,0.0042012664,0.3664432,0.005996108,0.008130625,0.29417965
6,0,4.8750963,0.5782717,-0.19482991,4.8750963,1.7455184,-0.85893047,0.9924234,0.64066964,0.451446,0.9924234,0.85138667,0.29756284
7,1,-0.15359549,0.029465944,-0.4833612,-0.15359549,0.6030688,-0.80722725,0.46167648,0.50736594,0.38145873,0.46167648,0.6463581,0.30848166
8,1,5.4623384,1.1612356,-0.07650645,5.4623384,3.2999701,-0.8524791,0.9957743,0.7615571,0.48088267,0.9957743,0.96442777,0.29891306
9,0,-7.829564,-7.4424243,-0.60682666,-7.829564,-5.8461185,-0.72172356,0.0003976407,0.0005855202,0.3527834,0.0003976407,0.002882765,0.32701355
10,1,5.7063346,1.5895617,-0.35597622,5.7063346,3.8867188,-0.87007844,0.99668616,0.8305544,0.41193396,0.99668616,0.9798997,0.295238
