index,label,blank_logit_both,blank_logit_img_only,blank_logit_txt_only,drop_logit_both,drop_logit_img_only,drop_logit_txt_only,blank_score_both,blank_score_img_only,blank_score_txt_only,drop_score_both,drop_score_img_only,drop_score_txt_only
0,1,9.751755,6.6418676,-0.10687284,9.751755,4.831303,-0.32398126,0.9999418,0.9986971,0.4733072,0.9999418,0.99208695,0.4197058
1,0,-8.73176,3.8737383,0.5330447,-8.73176,1.8659551,-0.134115,0.00016135213,0.97964245,0.63019294,0.00016135213,0.86598957,0.46652144
2,0,-4.522356,5.159231,0.10320589,-4.522356,3.3071656,-0.32748553,0.010746653,0.9942867,0.5257786,0.010746653,0.9646739,0.41885254
3,0,-9.269657,0.18011275,0.15820691,-9.269657,-1.2507684,0.09354833,9.423194e-05,0.54490685,0.5394694,9.423194e-05,0.22256716,0.52337
4,1,0.79329306,3.0415385,-0.09002069,0.79329306,0.475716,-0.44044754,0.68853796,0.95441586,0.47751004,0.68853796,0.61673576,0.39163432
5,1,9.318605,5.322669,-0.40529615,9.318605,3.5554998,-0.4353395,0.99991024,0.995144,0.40004057,0.99991024,0.9722263,0.39285204
6,1,5.8046255,2.721078,0.2203914,5.8046255,0.34764427,0.07963234,0.99699545,0.938259,0.55487585,0.99699545,0.5860462,0.5198976
7,0,-3.430779,1.391982,-0.26955664,-3.430779,-0.87375224,-0.37963134,0.03134727,0.80090845,0.43301594,0.03134727,0.29447412,0.40621585
8,1,5.942051,2.145846,-0.48037505,5.942051,0.874584,-0.44091552,0.9973802,0.8952799,0.38216355,0.9973802,0.70569867,0.39152282
9,1,9.370567,5.730637,-0.08899194,9.370567,3.191946,0.38818496,0.99991477,0.9967655,0.47776666,0.99991477,0.9605301,0.5958457
10,1,8.961315,6.322959,0.04976189,8.961315,4.482737,-0.4452246,0.99987173,0.99820864,0.51243794,0.99987173,0.98882383,0.3904968
11,1,9.617878,6.4982023,-0.4148046,9.617878,5.480895,-0.42720217,0.9999335,0.9984962,0.39776063,0.9999335,0.99585164,0.3947946
12,1,8.579215,6.3812237,-0.2970026,8.579215,4.726934,-0.3124861,0.99981207,0.99830985,0.42629036,0.99981207,0.99122417,0.42250803
13,1,9.467688,6.2421274,-0.6425967,9.467688,4.589438,-0.6064719,0.99992263,0.998058,0.34465978,0.99992263,0.9899436,0.35286444
14,1,8.918016,6.146556,0.009413533,8.918016,4.295833,-0.1928643,0.999866,0.9978637,0.50235337,0.999866,0.9865579,0.45193282
15,1,4.4360924,0.4779173,0.22260305,4.4360924,-1.2936418,0.058386356,0.98829645,0.6172559,0.5554221,0.98829645,0.21523704,0.5145924
16,1,9.665279,6.3937917,0.12408747,9.665279,5.3020687,-0.008645728,0.9999366,0.9983309,0.53098214,0.9999366,0.9950434,0.4978386
17,1,8.330664,5.573059,-0.47459948,8.330664,2.841123,-0.3596685,0.999759,0.9962155,0.38352817,0.999759,0.944858,0.4110398
18,1,8.092463,6.279662,0.14289424,8.092463,4.0391,0.12253612,0.9996942,0.9981294,0.5356629,0.9996942,0.9826916,0.5305958
19,1,7.7916517,6.362892,-0.19572571,7.7916517,4.7040706,-0.5238086,0.999587,0.9982786,0.4512242,0.999587,0.99102294,0.3719621
20,0,-7.610588,3.9594269,-0.81159425,-7.610588,2.5982146,-0.5047539,0.0004949355,0.98128295,0.30755088,0.0004949355,0.9307466,0.37642413
21,0,-9.8123665,-0.10823363,0.11975403,-9.8123665,-1.562214,-0.12109874,5.4767082e-05,0.472968,0.52990276,5.4767082e-05,0.17332917,0.46976224
22,1,1.0850192,4.525943,-0.35375267,1.0850192,2.2138762,-0.29869464,0.74744266,0.98929137,0.41247272,0.74744266,0.90148866,0.42587665
