method,condition,AUC,F1,Acc,dAUC,dF1,dAcc
min,both,1.0,1.0,1.0,,,
min,image_only,0.5,0.0,0.5,-0.5,-1.0,-0.5
min,text_only,1.0,1.0,1.0,0.0,0.0,0.0
mean,both,1.0,1.0,1.0,,,
mean,image_only,0.0,0.0,0.5,-1.0,-1.0,-0.5
mean,text_only,1.0,1.0,1.0,0.0,0.0,0.0
max,both,1.0,0.0,0.5,,,
max,image_only,0.0,0.0,0.5,-1.0,0.0,0.0
max,text_only,1.0,0.0,0.5,0.0,0.0,0.0
svm-rbf,both,1.0,1.0,1.0,,,
svm-rbf,image_only,0.0,0.0,0.5,-1.0,-1.0,-0.5
svm-rbf,text_only,1.0,1.0,1.0,0.0,0.0,0.0
linear,both,1.0,0.0,0.5,,,
linear,image_only,0.0,0.0,0.5,-1.0,0.0,0.0
linear,text_only,1.0,1.0,1.0,0.0,1.0,0.5
