index,label,pred,score,logit
0,1,1,0.9999418,9.751755
1,0,0,0.00016135213,-8.73176
2,0,0,0.010746653,-4.522356
3,0,0,9.423194e-05,-9.269657
4,1,1,0.68853796,0.79329306
5,1,1,0.99991024,9.318605
6,1,1,0.99699545,5.8046255
7,0,0,0.03134727,-3.430779
8,1,1,0.9973802,5.942051
9,1,1,0.99991477,9.370567
10,1,1,0.99987173,8.961315
11,1,1,0.9999335,9.617878
12,1,1,0.99981207,8.579215
13,1,1,0.99992263,9.467688
14,1,1,0.999866,8.918016
15,1,1,0.98829645,4.4360924
16,1,1,0.9999366,9.665279
17,1,1,0.999759,8.330664
18,1,1,0.9996942,8.092463
19,1,1,0.999587,7.7916517
20,0,0,0.0004949355,-7.610588
21,0,0,5.4767082e-05,-9.8123665
22,1,1,0.74744266,1.0850192
23,1,1,0.999819,8.616258
24,1,0,0.22865297,-1.2159328
25,1,1,0.90724915,2.2805007
26,0,0,5.14123e-05,-9.875582
27,1,0,0.27833858,-0.9527178
28,1,1,0.9996007,7.825281
29,1,1,0.9985324,6.522711
30,1,1,0.9998456,8.776136
31,1,1,0.99989915,9.201994
32,0,0,9.394806e-05,-9.272675
33,1,1,0.9968405,5.754167
34,1,1,0.99837816,6.422597
35,1,1,0.9994867,7.574134
36,1,0,0.0975876,-2.2243211
37,1,0,0.45211434,-0.1921316
38,1,1,0.97704744,3.751104
39,1,1,0.9999244,9.489728
40,1,1,0.9998275,8.665365
41,1,1,0.9989588,6.8663607
42,1,1,0.7688079,1.2015921
43,1,1,0.985371,4.2100115
44,1,1,0.9993327,7.3117285
45,1,1,0.9999434,9.778164
46,1,1,0.9997181,8.173746
47,1,1,0.9976751,6.0617695
48,0,0,0.00012960573,-8.950884
49,1,1,0.999479,7.5591736
50,0,0,0.00014227901,-8.857578
51,1,1,0.9998555,8.84263
52,1,1,0.9999404,9.727151
53,1,1,0.9983381,6.3981323
54,1,1,0.9541796,3.0361228
55,1,1,0.99649894,5.651189
56,1,1,0.99416614,5.1382194
57,1,0,0.16731313,-1.6047906
58,1,1,0.99950564,7.611814
59,1,1,0.9998636,8.900335
60,1,1,0.9999063,9.275233
61,1,1,0.99963987,7.928672
