index,label,pred,score,logit
0,1,1,0.9990976,7.009567
1,0,1,0.9993451,7.330355
2,0,1,0.99966407,7.9983487
3,0,1,0.99839276,6.431675
4,1,1,0.9995926,7.805416
5,1,1,0.9997923,8.479017
6,1,1,0.9983948,6.432908
7,0,1,0.99661344,5.6845474
8,1,0,0.39164045,-0.44042176
9,1,1,0.96670693,3.3685474
10,1,1,0.9994511,7.50706
11,1,1,0.99977213,8.3865595
12,1,1,0.99968994,8.078186
13,1,1,0.99953914,7.681772
14,1,1,0.9775289,3.7728
15,1,1,0.99933225,7.310974
16,1,1,0.9995944,7.809602
17,1,1,0.9975465,6.0077634
18,1,1,0.99915135,7.070956
19,1,1,0.9997731,8.390559
20,0,1,0.99350184,5.029718
21,0,1,0.9984158,6.4461374
22,1,1,0.99940443,7.4253345
23,1,1,0.9997085,8.140377
24,1,1,0.99711823,5.8464656
25,1,1,0.99795294,6.189311
26,0,0,0.0003796018,-7.876008
27,1,1,0.99542844,5.383328
28,1,1,0.9922126,4.84743
29,1,1,0.99923503,7.174884
30,1,1,0.99975985,8.334076
31,1,1,0.9975223,5.997942
32,0,1,0.7437731,1.0656729
33,1,1,0.9990741,6.9838934
34,1,1,0.9817893,3.9873664
35,1,1,0.8666173,1.8713756
36,1,1,0.9956246,5.427368
37,1,1,0.9886141,4.4639254
38,1,1,0.9996051,7.8365984
39,1,1,0.9995189,7.6387806
40,1,1,0.9992422,7.184313
41,1,1,0.99944276,7.491933
42,1,1,0.99953544,7.673866
43,1,1,0.9741945,3.631027
44,1,1,0.99922264,7.1587753
45,1,1,0.82197,1.5297518
46,1,1,0.9983576,6.4099817
47,1,1,0.99831665,6.3852816
48,0,1,0.99774665,6.09309
49,1,1,0.99905795,6.966467
50,0,1,0.9207843,2.453051
51,1,1,0.99915004,7.069483
52,1,1,0.99953437,7.671534
53,1,1,0.9968988,5.7728553
54,1,1,0.99101603,4.7032948
55,1,1,0.9991229,7.0380034
56,1,1,0.9986307,6.592098
57,1,1,0.9992949,7.2564697
58,1,1,0.9996455,7.944382
59,1,1,0.9995264,7.6545386
60,1,1,0.9997749,8.398645
61,1,1,0.99864644,6.6036773
62,0,0,0.00067306444,-7.302996
63,1,1,0.9964043,5.6244183
64,1,1,0.9731852,3.5916204
65,1,1,0.9986767,6.626297
66,0,1,0.999688,8.0723295
67,0,1,0.74660444,1.0805837
68,1,1,0.9993268,7.3028507
69,1,1,0.9987424,6.6772738
70,1,1,0.9993674,7.365036
71,1,1,0.9997329,8.227903
72,1,1,0.9985751,6.5521884
73,1,1,0.9887121,4.4726677
74,1,1,0.99973625,8.240309
75,1,1,0.9993917,7.4041166
76,1,0,0.030410219,-3.4620943
77,1,1,0.99921656,7.1510696
78,1,1,0.98263586,4.0358305
79,1,1,0.9984028,6.4378653
80,0,1,0.9981725,6.3030205
81,1,1,0.99986553,8.914335
82,1,1,0.99557614,5.416299
83,1,1,0.9995945,7.81007
84,1,1,0.9988649,6.779855
85,1,1,0.99914813,7.067196
86,1,1,0.99596053,5.5076027
87,1,1,0.99961805,7.8698087
88,1,1,0.99957687,7.7673054
89,0,0,0.17957193,-1.5192504
90,1,1,0.99804866,6.2372937
91,1,1,0.9990864,6.997197
92,1,1,0.96613455,3.3509068
93,1,1,0.9985072,6.5056205
94,0,1,0.9768098,3.7405612
95,1,1,0.96580315,3.3408284
96,1,1,0.99581486,5.472011
97,1,1,0.9982559,6.3497624
98,1,1,0.99942833,7.4663353
99,1,1,0.9996859,8.065224
100,1,0,0.13903764,-1.8233061
101,1,1,0.99936825,7.3663874
102,1,1,0.99784553,6.138049
103,1,1,0.997042,5.820285
104,1,1,0.9998468,8.784107
105,1,1,0.99917054,7.0938377
106,1,1,0.9973477,5.9296627
107,1,1,0.9992329,7.172144
108,1,1,0.9980259,6.225628
109,1,1,0.926797,2.538498
110,1,1,0.9995536,7.713949
111,1,1,0.9996092,7.846856
112,1,1,0.99792176,6.174118
113,0,1,0.94253314,2.7973626
114,1,1,0.9502844,2.9504418
115,1,1,0.9993819,7.3882647
116,0,1,0.99978,8.421425
117,1,1,0.99889636,6.808063
118,1,1,0.999694,8.0913315
119,1,1,0.99126196,4.7312956
120,1,1,0.99956757,7.7456503
121,1,1,0.9995789,7.772166
122,1,1,0.9993356,7.3159647
123,0,1,0.9608475,3.2003512
124,1,1,0.99967647,8.036001
125,1,1,0.9972345,5.887784
126,1,1,0.99888104,6.794219
127,1,1,0.9964747,5.64425
128,1,1,0.99782455,6.1283426
129,1,1,0.99773526,6.0880165
130,1,1,0.99923766,7.178378
131,1,1,0.99760973,6.0339746
132,1,1,0.99711823,5.8464656
133,1,1,0.99979967,8.51527
134,1,1,0.9997838,8.439098
135,1,1,0.9965162,5.6561584
136,1,1,0.99933285,7.3119345
137,1,1,0.99964154,7.9332767
138,0,1,0.9921468,4.8389473
139,1,1,0.99908245,6.9929037
140,1,1,0.9951558,5.3251085
141,1,1,0.999759,8.330623
142,1,1,0.99951303,7.6268053
143,1,1,0.996819,5.7473936
144,0,0,0.0019730907,-6.226179
145,0,0,0.00055576273,-7.494613
146,1,1,0.9994394,7.486074
147,1,1,0.9934778,5.0260024
148,1,1,0.9972428,5.8907757
149,1,1,0.9995572,7.721982
150,1,1,0.99916553,7.0878067
151,1,1,0.99826294,6.353782
152,1,1,0.9974565,5.971644
153,1,1,0.99783164,6.1316113
154,1,1,0.9991679,7.0906644
155,1,1,0.62633836,0.51654005
156,0,1,0.99914956,7.068956
157,1,1,0.9983077,6.3799953
158,1,1,0.99913895,7.0565777
159,1,1,0.9982291,6.334486
160,1,1,0.9987626,6.6934834
161,1,1,0.9996038,7.833248
162,1,1,0.9996425,7.9360304
163,1,1,0.99612087,5.548252
164,1,1,0.9982815,6.3645315
165,1,1,0.99895215,6.859991
166,1,1,0.99928916,7.248385
167,0,0,0.014964985,-4.186964
168,1,1,0.9677175,3.4004164
169,1,1,0.9981744,6.304037
170,1,1,0.99837315,6.4195347
171,0,1,0.9952253,5.339653
172,1,1,0.99898916,6.8959894
173,1,1,0.9981932,6.3144007
174,1,1,0.9982425,6.342088
175,0,1,0.9991399,7.0576506
176,1,1,0.9989215,6.8310947
177,1,1,0.9891187,4.5097704
178,1,1,0.99949586,7.592202
179,1,1,0.9938956,5.0926304
180,1,1,0.9994629,7.528857
181,1,1,0.99981123,8.57445
182,1,1,0.98703176,4.3321924
183,1,1,0.9982418,6.3417187
184,1,1,0.9992095,7.1420517
185,1,1,0.99944204,7.4907513
186,1,1,0.99808574,6.256509
187,1,1,0.99887365,6.7876253
188,1,1,0.9992329,7.172167
189,1,1,0.99943465,7.4774485
190,1,1,0.9997079,8.138304
191,1,1,0.9987196,6.6592636
192,1,1,0.99924135,7.183172
193,1,1,0.99962103,7.877734
194,1,1,0.9968129,5.745455
195,0,1,0.99940383,7.4244447
196,1,1,0.99965966,7.985286
197,1,1,0.9990472,6.9551916
198,1,1,0.9997515,8.300073
199,1,1,0.99809176,6.2596607
200,1,1,0.9993766,7.3797374
201,1,1,0.9960031,5.51824
202,0,1,0.77674496,1.2467974
203,1,1,0.9961747,5.5622964
204,1,1,0.9952055,5.3354783
205,0,0,0.0015836784,-6.44642
206,1,1,0.9991992,7.129151
207,1,1,0.99867934,6.628318
208,1,1,0.9955388,5.4078674
209,1,1,0.9988386,6.7570024
210,1,1,0.9998611,8.882141
211,1,1,0.9983954,6.4332495
212,1,1,0.996407,5.6251507
213,1,1,0.977437,3.7686243
214,1,1,0.9994666,7.5357103
215,1,1,0.99649787,5.6508694
216,1,1,0.9957858,5.4650745
217,1,1,0.99887794,6.791523
218,1,1,0.99877006,6.6995473
219,1,1,0.99975735,8.3234005
220,1,1,0.9989255,6.8348293
221,1,1,0.99650997,5.6543417
222,1,1,0.9992601,7.208293
223,1,1,0.9989631,6.870464
224,0,1,0.99737597,5.9404116
225,1,1,0.9961235,5.5489464
226,1,1,0.98848224,4.452277
227,1,1,0.9993988,7.4160824
228,1,1,0.9996371,7.9212084
229,1,1,0.998831,6.750448
230,1,1,0.9392665,2.7386043
231,1,1,0.9991698,7.092987
232,1,1,0.99944097,7.488847
233,1,1,0.8759437,1.9545666
234,0,1,0.79320765,1.3443699
235,0,1,0.9984236,6.451041
236,1,1,0.9994392,7.4856796
237,1,1,0.9995152,7.6311736
238,1,1,0.9988611,6.776543
239,1,1,0.9899637,4.5914574
240,1,1,0.98567975,4.231659
241,1,1,0.9995933,7.8069315
242,1,1,0.9987488,6.6823835
243,0,0,9.323195e-05,-9.280327
244,0,1,0.99898225,6.8892226
245,1,1,0.9772151,3.7586112
246,1,1,0.9978708,6.149912
247,0,1,0.9885467,4.457965
248,1,1,0.99933904,7.3211107
249,1,1,0.9996586,7.981915
250,0,1,0.99922335,7.159749
251,0,1,0.99389136,5.0919147
252,1,1,0.9956945,5.4435515
253,0,0,0.0006615679,-7.320236
254,1,1,0.9994618,7.5267744
255,1,1,0.9989255,6.8348293
256,1,1,0.99955434,7.7154837
257,1,1,0.9993716,7.3716445
258,1,1,0.9964276,5.6309443
259,1,1,0.99941313,7.4400682
260,1,1,0.85410815,1.767192
261,1,1,0.9482585,2.9083679
262,1,0,0.09564627,-2.246564
263,0,1,0.98580766,4.24076
264,1,1,0.9984232,6.4507995
265,1,1,0.9559104,3.0764399
266,0,0,0.0007234876,-7.2307034
267,1,0,0.010256601,-4.5695243
268,1,1,0.99946266,7.5282803
269,1,1,0.99905187,6.9601316
270,1,1,0.996021,5.52274
271,1,1,0.9996325,7.908271
272,1,1,0.99815685,6.2944546
273,1,1,0.99894255,6.8508825
274,1,1,0.9957457,5.4555774
275,1,1,0.99961287,7.8562107
276,1,1,0.9996043,7.8343754
277,1,1,0.99954814,7.7017407
278,1,0,0.0116705205,-4.43895
279,1,1,0.9996445,7.941667
280,1,1,0.9996742,8.028862
281,1,1,0.99878687,6.713297
282,1,1,0.9989255,6.834825
