index,label,logit_both,logit_img_only,logit_txt_only
0,1,-2.508131,-8.016228,-0.29806834
1,0,-0.4011864,6.742303,-0.129352
2,0,5.293991,6.835103,-0.34539998
3,0,1.6233528,6.9786186,0.17165126
4,1,-6.623079,-7.087273,-0.41738504
5,1,-2.2383823,-8.179475,-0.42424947
6,1,-4.3758197,-7.772027,0.08100021
7,0,7.1056466,6.270653,-0.3835737
8,1,-2.2450876,-6.764189,-0.43999618
9,1,-2.6154406,-8.228781,0.17837036
10,1,-4.3319364,-8.212882,-0.4592939
11,1,-5.8356285,-8.145578,-0.39704025
12,1,-6.916578,-7.5879946,-0.3040676
13,1,-3.4951074,-8.335627,-0.5767981
14,1,-4.669461,-8.208918,-0.18375625
15,1,-2.7708762,-8.025438,0.08196912
16,1,-5.4852066,-8.263571,-0.03449884
17,1,3.8953128,-2.4899354,-0.42682728
18,1,-6.3449,-8.5083885,0.12934941
19,1,-7.1047015,-6.882778,-0.5281751
20,0,-3.0133724,6.6644607,-0.4834204
21,0,-5.349744,6.0829253,-0.15764369
22,1,-7.026923,-6.9405875,-0.26923138
23,1,-3.2845287,-7.9019356,0.16716349
24,1,-7.595846,-8.366318,-0.06127292
25,1,-3.438543,-7.644652,-0.27826282
26,0,-2.597382,6.6735954,-0.06209086
27,1,-5.0777125,-7.7991214,-0.24025963
28,1,-4.1910806,-6.932935,-0.22776309
29,1,-1.8531375,-8.241581,0.07704741
30,1,-6.217526,-8.066382,-0.10924399
31,1,-4.801998,-8.624254,-0.15270446
32,0,-1.5834081,6.478672,0.35511234
33,1,-2.4248762,-7.583358,-0.06123686
34,1,-2.9162786,-8.048828,-0.050832227
35,1,-3.2443511,-7.5857096,-0.114516504
36,1,-6.6577477,-7.7454743,-0.042277522
37,1,-2.8244834,-8.032984,0.17594478
38,1,-3.4508672,-8.089024,-0.17498054
39,1,-4.416953,-7.104245,-0.024124347
40,1,-4.282858,-7.327379,0.06614226
41,1,-4.085853,-7.855536,0.15337515
42,1,-6.881396,-7.84665,0.23470451
43,1,-4.8203034,-8.08855,0.033171766
44,1,-2.5940893,-8.153775,-0.4513942
45,1,-1.3381318,-7.350011,-0.2782504
46,1,-2.5475984,-8.030502,-0.28435972
47,1,-5.676521,-7.134309,-0.11676665
48,0,-4.903771,6.344844,0.20561774
49,1,-1.9174185,-6.9657793,0.19743007
50,0,-2.8979912,6.3413796,-0.46251303
51,1,-4.2080913,-7.434746,-0.09544077
52,1,-2.1614113,-7.1793356,-0.10832244
53,1,-1.3008701,-7.888212,0.5533158
54,1,-6.033872,-7.354224,-0.35248923
55,1,-4.891774,-6.9812965,-0.2122077
56,1,-2.7795231,-7.5615673,-0.012285575
57,1,-6.3649936,-7.534233,0.16581628
58,1,-5.4269876,-7.9634476,-0.34306246
59,1,-2.4141207,-8.013084,0.14735815
60,1,-4.2494874,-7.546317,-0.36933708
61,1,-4.332913,-7.703027,-0.08867465
62,0,4.0555196,6.6755843,-0.23729113
63,1,-4.3627625,-8.260738,-0.043836325
