index,label,logit_both,logit_img_only,logit_txt_only
0,1,-3.7388108,-8.240343,-0.3466996
1,0,4.414031,6.8100214,-0.14682375
2,0,7.6884737,6.8262687,-0.3184389
3,0,7.15872,7.7071667,0.09688601
4,1,-6.7865944,-8.165138,-0.46495962
5,1,-1.1227496,-7.0162997,-0.4477769
6,1,-5.076928,-8.344843,0.092421144
7,0,8.37423,6.6402345,-0.37734482
8,1,-3.4392214,-7.847285,-0.4313739
9,1,-5.0223455,-8.638996,0.41465935
10,1,-6.855841,-8.898235,-0.43891126
11,1,-5.168266,-8.502422,-0.41640335
12,1,-6.507964,-8.747418,-0.315378
13,1,-4.6234093,-8.817488,-0.6214491
14,1,-5.136789,-8.211493,-0.1602895
15,1,-3.292115,-8.156679,0.085356556
16,1,-4.6128254,-8.355745,-0.008500844
17,1,-2.653932,-7.4563375,-0.30940133
18,1,-6.2018785,-8.750338,0.12637848
19,1,-6.0205865,-7.530543,-0.51943266
20,0,-1.1893283,7.1902676,-0.49958676
21,0,-3.3801036,6.983884,-0.113784045
22,1,-7.155722,-7.768221,-0.31355205
23,1,-3.893375,-8.446899,0.17156672
24,1,-5.7587733,-8.61472,-0.04069525
25,1,-3.2868292,-7.852129,-0.09911269
26,0,-0.61320955,6.8590417,-0.062000483
27,1,-4.7753677,-8.032905,-0.35562226
28,1,-3.245255,-7.753381,-0.20507132
29,1,-5.710193,-9.234304,0.053088702
30,1,-5.3722568,-8.361502,-0.11849732
31,1,-5.2095976,-8.781358,-0.10237852
32,0,-4.0337167,5.6161923,0.3490563
33,1,-3.1957638,-8.136629,-0.060915947
34,1,-3.2854152,-8.106822,-0.09909098
35,1,-4.2923336,-8.441258,-0.11055225
36,1,-6.1845875,-8.180578,0.02222035
37,1,-3.71131,-8.392633,0.081341185
38,1,-4.2628136,-8.581534,-0.07954122
39,1,-2.7262788,-7.2214546,-0.023978293
40,1,-4.185463,-7.923852,-0.025314964
41,1,-3.9913497,-7.7896543,0.16921023
42,1,-6.815476,-7.601897,0.2288472
43,1,-5.2844,-8.278908,0.03412541
44,1,-4.07479,-8.819159,-0.44793794
45,1,-2.2266068,-7.8266935,-0.30151385
46,1,-2.6989808,-8.273615,-0.33933115
47,1,-5.702244,-7.519867,-0.05067268
48,0,-3.3011715,6.705427,0.072165474
49,1,-2.6145544,-7.8639154,0.19937208
50,0,2.546102,7.05375,-0.43162
51,1,-5.2793026,-7.655093,-0.11305407
52,1,-2.8732839,-8.092958,-0.060911022
53,1,-2.2077546,-7.6408653,0.5531344
54,1,-6.0494785,-7.447043,-0.3061856
55,1,-5.5343385,-7.1403503,-0.22447807
56,1,-3.4067867,-8.224697,0.013875902
57,1,-6.918171,-7.421153,0.21188492
58,1,-4.936352,-7.3652716,-0.3601105
59,1,-3.1472147,-8.725393,0.20566066
60,1,-3.653164,-7.4322557,-0.41131112
61,1,-3.2053185,-7.9725523,-0.16409674
62,0,6.8300314,7.1091986,-0.41668916
63,1,-5.278588,-8.696644,-9.791553e-05
64,1,-3.2488291,-7.8837852,-0.06690988
65,1,-1.6424425,-7.218492,-0.4013616
66,0,10.745398,6.128338,0.15077358
67,0,2.7439437,6.708874,-0.20172141
68,1,-8.442795,-8.645492,0.08689101
69,1,-2.9190707,-8.034819,-0.14984599
70,1,-7.1536326,-6.6733055,0.00082969666
71,1,-3.912042,-8.73564,-0.20271853
72,1,-2.527405,-7.167026,-0.076197654
73,1,-4.456404,-8.123125,-0.29169694
74,1,-5.075406,-8.448197,-0.31466153
75,1,-5.596035,-8.393116,-0.36094666
76,1,-4.814042,-8.286565,-0.26266447
77,1,-3.1143112,-8.197378,0.07403762
78,1,-3.2365475,-7.7152843,-0.25342596
79,1,-3.840578,-8.843585,-0.21543536
80,0,4.1780696,6.874098,-0.3876858
81,1,-4.7536726,-8.85965,-0.4862954
82,1,-2.1696076,-7.364077,-0.26928723
83,1,-4.2255983,-8.412462,-0.12258491
84,1,-3.4492211,-8.291371,-0.60128933
85,1,-1.6785059,-7.3323565,-0.17081998
86,1,-8.6847515,-8.142433,-0.2513043
87,1,-4.3792152,-8.7817745,-0.09466286
