index,label,pred,score,logit
0,1,0,0.023229908,-3.7388108
1,0,1,0.9880385,4.414031
2,0,1,0.9995421,7.6884737
3,0,1,0.9992225,7.15872
4,1,0,0.0011275336,-6.7865944
5,1,0,0.24550162,-1.1227496
6,1,0,0.006200361,-5.076928
7,0,1,0.9997693,8.37423
8,1,0,0.03109193,-3.4392214
9,1,0,0.0065459223,-5.0223455
10,1,0,0.001052177,-6.855841
11,1,0,0.005662193,-5.168266
12,1,0,0.0014892918,-6.507964
13,1,0,0.009723782,-4.6234093
14,1,0,0.0058421977,-5.136789
15,1,0,0.035842683,-3.292115
16,1,0,0.009826227,-4.6128254
17,1,0,0.06574707,-2.653932
18,1,0,0.002021527,-6.2018785
19,1,0,0.0024223628,-6.0205865
20,0,0,0.2333791,-1.1893283
21,0,0,0.032923095,-3.3801036
22,1,0,0.00077977724,-7.155722
23,1,0,0.01996955,-3.893375
24,1,0,0.0031450568,-5.7587733
25,1,0,0.036025796,-3.2868292
26,0,0,0.35132742,-0.61320955
27,1,0,0.008364428,-4.7753677
28,1,0,0.037497766,-3.245255
29,1,0,0.0033010994,-5.710193
30,1,0,0.004622176,-5.3722568
31,1,0,0.00543418,-5.2095976
32,0,0,0.017400261,-4.0337167
33,1,0,0.039325446,-3.1957638
34,1,0,0.036074936,-3.2854152
35,1,0,0.0134885525,-4.2923336
36,1,0,0.0020567128,-6.1845875
37,1,0,0.023862159,-3.71131
38,1,0,0.013887058,-4.2628136
39,1,0,0.061440397,-2.7262788
40,1,0,0.01498713,-4.185463
41,1,0,0.018139636,-3.9913497
42,1,0,0.0010954697,-6.815476
43,1,0,0.005044497,-5.2844
44,1,0,0.016711755,-4.07479
45,1,0,0.097386494,-2.2266068
46,1,0,0.06303352,-2.6989808
47,1,0,0.0033273578,-5.702244
48,0,0,0.03553102,-3.3011715
49,1,0,0.06820758,-2.6145544
50,0,1,0.9273112,2.546102
51,1,0,0.005070146,-5.2793026
52,1,0,0.053490147,-2.8732839
53,1,0,0.09905628,-2.2077546
54,1,0,0.0023535397,-6.0494785
55,1,0,0.003933288,-5.5343385
56,1,0,0.032084037,-3.4067867
57,1,0,0.00098866,-6.918171
58,1,0,0.0071295514,-4.936352
59,1,0,0.041201167,-3.1472147
60,1,0,0.0252547,-3.653164
61,1,0,0.03896607,-3.2053185
62,0,1,0.9989203,6.8300314
63,1,0,0.0050737527,-5.278588
64,1,0,0.037368983,-3.2488291
65,1,0,0.16213298,-1.6424425
66,0,1,0.9999784,10.745398
67,0,1,0.9395704,2.7439437
68,1,0,0.00021540078,-8.442795
69,1,0,0.05121884,-2.9190707
70,1,0,0.0007814071,-7.1536326
71,1,0,0.01960748,-3.912042
72,1,0,0.07395918,-2.527405
73,1,0,0.0114709055,-4.456404
74,1,0,0.0062097465,-5.075406
75,1,0,0.0036988228,-5.596035
76,1,0,0.008049669,-4.814042
77,1,0,0.042520776,-3.1143112
78,1,0,0.037813302,-3.2365475
79,1,0,0.021029443,-3.840578
80,0,1,0.98490334,4.1780696
81,1,0,0.00854631,-4.7536726
82,1,0,0.10251313,-2.1696076
83,1,0,0.014406019,-4.2255983
84,1,0,0.030792095,-3.4492211
85,1,0,0.15729341,-1.6785059
86,1,0,0.00016911686,-8.6847515
87,1,0,0.012380006,-4.3792152
88,1,0,0.06965321,-2.5920286
89,0,1,0.9902022,4.615753
90,1,0,0.009279553,-4.670619
91,1,0,0.088123,-2.3367715
92,1,0,0.018838964,-3.9528093
93,1,0,0.0077922703,-4.8468003
94,0,0,0.0233068,-3.7354274
95,1,0,0.013223307,-4.312463
96,1,0,0.03356153,-3.3602371
97,1,0,0.003247173,-5.726718
98,1,0,0.0033971206,-5.681424
99,1,0,0.0029609713,-5.8192725
100,1,0,0.017849907,-4.0077457
