index,label,pred,score,logit
0,1,1,0.9999397,9.71593
1,0,0,0.0039725057,-5.524378
2,0,0,0.08236329,-2.4106617
3,0,0,0.00036762655,-7.9080753
4,1,0,0.34908956,-0.62304354
5,1,1,0.9998294,8.676102
6,1,1,0.9544793,3.042997
7,0,0,0.03134727,-3.430779
8,1,1,0.9570425,3.1036382
9,1,1,0.99991345,9.355054
10,1,1,0.9997613,8.340176
11,1,1,0.9992557,7.2023244
12,1,1,0.9923562,4.8661766
13,1,1,0.9998857,9.0763035
14,1,1,0.99970824,8.139269
15,1,1,0.9871925,4.3448334
16,1,1,0.9989968,6.903487
17,1,1,0.99975795,8.325895
18,1,1,0.71580213,0.9237329
19,1,1,0.99812096,6.275153
20,0,1,0.5278318,0.11144236
21,0,0,7.6837234e-05,-9.473744
22,1,1,0.52758163,0.110438764
23,1,1,0.99936336,7.3586226
24,1,0,0.008549611,-4.753283
25,1,1,0.89347434,2.1267319
26,0,0,0.0003437539,-7.9752407
27,1,0,0.034594767,-3.3288455
28,1,1,0.842419,1.6763382
29,1,1,0.9985085,6.5065217
30,1,1,0.9995285,7.659156
31,1,1,0.9998317,8.689663
32,0,0,0.00090004306,-7.0121675
33,1,1,0.9966987,5.7101307
34,1,1,0.99798787,6.2065706
35,1,1,0.99862266,6.5862026
36,1,0,0.023554107,-3.7246192
37,1,0,0.35153782,-0.6122864
38,1,1,0.9125115,2.3446941
39,1,1,0.9984394,6.461105
40,1,1,0.9986066,6.574638
41,1,0,0.12650919,-1.9321827
42,1,0,0.29456046,-0.8733367
43,1,1,0.9624782,3.2445898
44,1,1,0.9992817,7.2379413
45,1,1,0.99994254,9.76394
46,1,1,0.9997166,8.168472
47,1,0,0.1424759,-1.7948763
48,0,0,0.0002699101,-8.217152
49,1,1,0.9994337,7.4757557
50,0,0,0.004113106,-5.489455
51,1,1,0.9993216,7.2950344
52,1,1,0.999936,9.655883
53,1,1,0.99830806,6.380169
54,1,1,0.811237,1.4580677
55,1,1,0.6113934,0.45317283
56,1,1,0.98446876,4.149246
57,1,0,0.16731313,-1.6047906
58,1,1,0.9935278,5.0337625
59,1,1,0.99985254,8.821973
60,1,1,0.99888116,6.794372
61,1,1,0.99957603,7.7654543
62,0,0,0.00079885055,-7.1315374
63,1,1,0.9946754,5.2300806
64,1,1,0.8509367,1.741967
65,1,1,0.9998265,8.658718
66,0,1,0.9360018,2.6827629
67,0,0,9.733309e-05,-9.237274
68,1,0,0.072332025,-2.5514069
69,1,1,0.9997073,8.136098
70,1,0,0.19624501,-1.4099305
71,1,1,0.9999399,9.719303
72,1,1,0.99983084,8.6849575
73,1,1,0.9998343,8.705118
74,1,1,0.99976593,8.359854
75,1,1,0.9992861,7.24408
76,1,1,0.97529477,3.6757262
77,1,1,0.97503793,3.6651201
78,1,0,0.081457704,-2.422704
79,1,1,0.99989593,9.169996
80,0,0,0.010913074,-4.5068207
81,1,1,0.9993351,7.315198
82,1,1,0.99800664,6.215925
83,1,1,0.9999491,9.885904
84,1,1,0.99923885,7.179826
85,1,1,0.9999231,9.472691
86,1,0,0.07307473,-2.5403903
87,1,1,0.9999504,9.910535
88,1,0,0.4039974,-0.38883677
89,0,0,1.7295599e-05,-10.965041
90,1,1,0.9886412,4.4663444
91,1,1,0.99983525,8.711397
92,1,0,0.48718518,-0.051270306
93,1,1,0.92047095,2.4487636
94,0,0,2.5108777e-05,-10.592268
95,1,1,0.51026744,0.041075617
96,1,1,0.99985456,8.836058
97,1,1,0.8217697,1.528384
98,1,1,0.9591545,3.1562564
99,1,1,0.99635005,5.6093807
100,1,1,0.80974925,1.4483819
101,1,1,0.99432325,5.1656775
102,1,1,0.83535504,1.6240654
103,1,1,0.99989164,9.129903
104,1,1,0.9883464,4.4404244
105,1,1,0.9998135,8.58675
106,1,1,0.999949,9.883167
107,1,1,0.9452483,2.8486385
108,1,1,0.99833727,6.39764
109,1,1,0.96785486,3.4048204
110,1,1,0.9980331,6.22932
111,1,1,0.9873037,4.3536706
112,1,1,0.9993761,7.3788633
113,0,0,3.49215e-05,-10.262373
114,1,1,0.6444428,0.59469986
115,1,1,0.9998535,8.82851
116,0,0,0.0009769668,-6.9300804
117,1,1,0.7718256,1.2186482
118,1,1,0.99989295,9.142668
119,1,0,0.27477315,-0.9705386
120,1,1,0.9993293,7.306448
121,1,1,0.9956728,5.438492
122,1,1,0.55631286,0.22621122
123,0,1,0.9579384,3.1256475
124,1,1,0.9999201,9.435499
125,1,1,0.97808707,3.798525
126,1,1,0.99976534,8.357067
127,1,1,0.99976116,8.339586
128,1,1,0.9996444,7.9413223
129,1,1,0.9995789,7.772069
130,1,1,0.9999449,9.807245
131,1,1,0.99581236,5.4714203
132,1,0,0.42995846,-0.28202072
133,1,1,0.99979883,8.511158
134,1,1,0.99993336,9.615623
135,1,1,0.99982774,8.666462
136,1,1,0.9911176,4.714759
137,1,1,0.9700496,3.4778075
138,0,0,9.906994e-05,-9.219585
139,1,1,0.9991603,7.08162
140,1,1,0.9802694,3.9056554
141,1,1,0.99973685,8.242383
142,1,1,0.99990237,9.234268
143,1,1,0.9819163,3.994491
144,0,0,3.5748384e-05,-10.23897
145,0,0,0.00014539433,-8.835916
146,1,1,0.998946,6.854068
147,1,0,0.0041569187,-5.4788156
148,1,0,0.03370423,-3.3558466
149,1,1,0.999895,9.161478
150,1,0,0.00055924215,-7.4883685
151,1,1,0.99988854,9.101456
152,1,1,0.93514544,2.6685553
153,1,1,0.70908374,0.890938
154,1,1,0.99992156,9.453939
155,1,1,0.9999031,9.241224
156,0,0,0.0002641066,-8.2388935
157,1,0,0.13920791,-1.8218844
158,1,1,0.99990714,9.284817
159,1,1,0.9998379,8.727246
160,1,1,0.99993765,9.682035
161,1,1,0.95660794,3.0931163
162,1,1,0.9724938,3.5654526
163,1,1,0.8658749,1.8649676
164,1,1,0.99854964,6.534521
165,1,1,0.99926263,7.211714
166,1,1,0.99694127,5.7867193
167,0,0,3.3416512e-05,-10.306427
168,1,0,0.21545151,-1.2923726
169,1,1,0.96689165,3.3743024
170,1,1,0.9982304,6.3352222
171,0,0,8.566842e-05,-9.364941
172,1,1,0.9998765,8.999056
173,1,1,0.9429896,2.8058214
174,1,1,0.99984753,8.788913
175,0,0,4.950052e-05,-9.913478
176,1,1,0.99947006,7.542076
177,1,0,0.020571759,-3.8630497
178,1,1,0.9997671,8.36451
179,1,1,0.817753,1.5011978
180,1,1,0.99992025,9.437002
181,1,1,0.7539601,1.1198457
182,1,1,0.9767606,3.7383966
183,1,1,0.92979276,2.5835104
184,1,1,0.8495889,1.7313802
185,1,1,0.99980766,8.555879
186,1,1,0.80896777,1.4433169
187,1,1,0.9981755,6.3046403
188,1,1,0.89713675,2.165808
189,1,0,0.025784828,-3.631846
190,1,1,0.9990645,6.973487
191,1,1,0.99963164,7.90607
192,1,1,0.9997137,8.15845
193,1,1,0.99986565,8.915241
194,1,1,0.99844414,6.464162
195,0,0,0.000118888376,-9.037207
196,1,1,0.72373915,0.96308565
197,1,0,0.004290713,-5.4470024
198,1,1,0.9998883,9.100147
199,1,0,0.019821934,-3.9009452
200,1,1,0.9903092,4.6268363
201,1,1,0.99961984,7.8745284
202,0,0,3.666184e-05,-10.2137375
203,1,1,0.9955012,5.399445
204,1,1,0.99985623,8.847233
205,0,0,7.989867e-05,-9.434671
206,1,1,0.9984433,6.4636197
207,1,0,0.38745126,-0.4580385
208,1,0,0.3044688,-0.82610714
209,1,1,0.99238765,4.8703327
210,1,1,0.9597708,3.1721027
211,1,1,0.9997838,8.439304
212,1,1,0.9997714,8.383289
213,1,1,0.9083334,2.2934537
214,1,1,0.99979633,8.498886
215,1,1,0.96995395,3.4745183
216,1,1,0.95652235,3.0910556
217,1,1,0.9998996,9.206442
218,1,0,0.36320916,-0.5614624
219,1,1,0.99993765,9.683113
220,1,1,0.8347318,1.6195409
221,1,1,0.9958126,5.4714847
222,1,1,0.9999341,9.627147
223,1,1,0.9997608,8.338177
224,0,0,0.0017195549,-6.363969
225,1,1,0.99957234,7.7568817
226,1,1,0.9998062,8.54826
227,1,1,0.99992716,9.527369
228,1,1,0.9998313,8.687208
229,1,1,0.7855911,1.2985517
230,1,1,0.9997936,8.48531
231,1,1,0.64009804,0.5757898
232,1,1,0.77396643,1.230845
233,1,1,0.9209458,2.455268
234,0,0,0.00020586562,-8.488081
235,0,0,4.1368756e-05,-10.092943
236,1,1,0.9988367,6.7552633
237,1,1,0.99979657,8.499992
238,1,1,0.6351567,0.5544039
239,1,1,0.64766574,0.6087942
240,1,1,0.99973744,8.244745
241,1,1,0.999853,8.82531
242,1,1,0.99748355,5.982354
243,0,0,0.054620475,-2.8511777
244,0,1,0.85332423,1.7609148
245,1,1,0.91304326,2.3513727
246,1,1,0.96017784,3.1826952
247,0,0,0.0006450327,-7.3455644
248,1,1,0.99812955,6.279669
249,1,1,0.9916734,4.7799463
250,0,0,0.00027748596,-8.189463
251,0,0,0.0041059693,-5.491199
252,1,1,0.99264586,4.905107
253,0,0,4.0769468e-05,-10.107536
254,1,1,0.9982481,6.3453026
255,1,1,0.9998996,9.207109
256,1,1,0.99629873,5.5953703
257,1,1,0.9991862,7.1130476
258,1,1,0.99980456,8.539797
259,1,0,0.14860149,-1.7456121
260,1,1,0.9844897,4.1506147
261,1,1,0.99872607,6.664356
262,1,0,0.00031508677,-8.062347
263,0,0,0.0007159847,-7.2411356
264,1,0,0.10899927,-2.1010041
265,1,0,0.25847393,-1.0539154
266,0,0,0.00018878502,-8.574713
267,1,1,0.993472,5.025091
268,1,1,0.9993261,7.3017635
269,1,1,0.9738192,3.616198
270,1,1,0.7788427,1.2589352
271,1,1,0.97496325,3.6620522
272,1,1,0.99958056,7.776036
273,1,0,0.08222268,-2.4125237
274,1,1,0.73767394,1.0339135
275,1,1,0.9984654,6.4779344
276,1,1,0.9955649,5.413755
277,1,1,0.99979395,8.486879
278,1,1,0.67030805,0.7095785
279,1,1,0.9999589,10.098606
280,1,1,0.9998778,9.0100975
281,1,1,0.9171583,2.4043484
282,1,1,0.99991333,9.353838
