index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit,hotflip_flips
0,1,1,0.9890309,4.501643,1.0000001192092896,0.99998784,11.314313,0.99910384,7.0165076,0
1,0,1,0.6534325,0.6341616,1.0,0.00030140154,-8.106766,0.9993451,7.3303547,0
2,0,1,0.6534805,0.6343738,1.0,6.996064e-05,-9.567508,0.99966407,7.9983473,0
3,0,1,0.8837146,2.028087,1.0,0.36138758,-0.5693468,0.99839276,6.431672,0
4,1,1,0.9890455,4.5029902,1.0000001192092896,0.9999924,11.784372,0.99948597,7.572794,0
5,1,1,0.9890575,4.5040965,1.0,0.99999166,11.689812,0.9998084,8.559671,0
6,1,1,0.98902637,4.5012255,1.0000001192092896,0.99955624,7.7198577,0.99946433,7.5315456,0
7,0,1,0.6515251,0.62574965,1.0,0.00058021833,-7.4515257,0.99661344,5.684553,0
8,1,1,0.7440587,1.0671719,0.9999999403953552,0.99998236,10.942433,0.010587343,-4.537452,0
9,1,1,0.98837656,4.44304,1.0,0.9999815,10.896214,0.9822437,4.0131,0
10,1,1,0.98903745,4.502248,1.0000001192092896,0.99967825,8.041411,0.9996232,7.883509,0
11,1,1,0.98904943,4.503353,1.0000001192092896,0.9999722,10.492346,0.99961424,7.8601136,0
12,1,1,0.98903275,4.5018134,1.0000001192092896,0.9995616,7.7318926,0.9996295,7.900488,0
13,1,1,0.98901457,4.5001388,1.0,0.99910885,7.0221806,0.99965274,7.965033,0
14,1,1,0.9888939,4.4890947,1.000000238418579,0.99997604,10.637885,0.99550724,5.400784,0
15,1,1,0.9890297,4.5015335,1.0000001192092896,0.9999558,10.0248785,0.99910825,7.0214586,0
16,1,1,0.9890504,4.5034413,1.000000238418579,0.9999945,12.118919,0.9996152,7.862467,0
17,1,1,0.9890231,4.5009236,1.0,0.99984086,8.745662,0.9990619,6.970622,0
18,1,1,0.9890085,4.4995794,1.0,0.99994683,9.841739,0.9985563,6.539144,0
19,1,1,0.98905665,4.5040193,0.9999998807907104,0.99999,11.510277,0.9997867,8.452179,0
20,0,1,0.9835359,4.089971,1.0,0.8986311,2.1821067,0.99350184,5.0297174,0
21,0,1,0.6526551,0.6307307,1.0,0.00024916173,-8.297159,0.9984158,6.4461355,0
22,1,1,0.9889684,4.495896,1.0,0.9999944,12.082846,0.9974431,5.966373,0
23,1,1,0.989045,4.502946,1.0,0.99999523,12.25165,0.99947125,7.54443,0
24,1,1,0.98894113,4.4934025,1.0,0.99993396,9.6253605,0.9967914,5.73873,0
25,1,1,0.98595756,4.251529,0.9999998211860657,0.99999106,11.620619,0.9271133,2.5431688,0
26,0,0,0.055328395,-2.837551,1.0,8.3064806e-05,-9.395806,0.00034561197,-7.969848,0
27,1,1,0.988796,4.480217,1.0,0.99998546,11.139532,0.99294055,4.9463005,0
28,1,1,0.9888947,4.4891653,1.0,0.99995613,10.033478,0.99554837,5.410035,0
29,1,1,0.98904467,4.502913,1.0000001192092896,0.9999863,11.201134,0.999471,7.54389,0
30,1,1,0.9890525,4.503634,1.0000001192092896,0.9999846,11.079694,0.999681,8.049812,0
31,1,1,0.9884545,4.4498487,1.0,0.98740166,4.3615127,0.9982153,6.3267,0
32,0,1,0.9736485,3.6095247,1.0,0.998694,6.639456,0.7437736,1.0656753,0
33,1,1,0.9890421,4.5026765,1.0,0.9999758,10.628438,0.9994143,7.4422207,0
34,1,1,0.9757667,3.6954966,1.0,0.99999225,11.771835,0.7670718,1.1918501,0
35,1,1,0.9830784,4.062099,1.0000001192092896,0.99968195,8.053027,0.8729334,1.9271476,0
36,1,1,0.9890069,4.4994316,1.0,0.9999492,9.887496,0.9985128,6.509391,0
37,1,1,0.9890087,4.4996014,1.0000001192092896,0.9999912,11.64504,0.99851435,6.510387,0
38,1,1,0.9890491,4.50332,1.0,0.9999926,11.812449,0.9995826,7.7810044,0
39,1,1,0.98904747,4.5031714,1.0000001192092896,0.99992716,9.52751,0.9996123,7.8546042,0
40,1,1,0.989031,4.501654,1.0000001192092896,0.99998486,11.098154,0.99911314,7.02698,0
41,1,1,0.84137636,1.6685047,0.9999998807907104,0.267588,-1.0068947,0.9993654,7.3617544,0
42,1,1,0.9890515,4.5035458,1.0000001192092896,0.999933,9.611216,0.99971384,8.1586075,0
43,1,1,0.98879737,4.4803405,1.0000001192092896,0.9998995,9.204877,0.99307257,4.9653068,0
44,1,1,0.98902994,4.5015554,1.0,0.99997306,10.519861,0.99909675,7.0086317,0
45,1,1,0.9656019,3.334751,1.0,0.9999852,11.122445,0.6632481,0.6778028,0
46,1,1,0.98896104,4.495224,1.0,0.9999815,10.898897,0.9972663,5.8993454,0
47,1,1,0.98885906,4.4859247,1.0,0.99748373,5.982457,0.9973687,5.9376297,0
48,0,1,0.7048694,0.8705945,1.0,0.062837854,-2.7022986,0.99774665,6.09309,0
49,1,1,0.9890175,4.5004077,0.9999999403953552,0.9999751,10.598863,0.9987644,6.694966,0
