index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
0,1,0,0.009787536,-4.61681,0.5981979966163635,0.009787536,-4.61681,0.009787536,-4.61681
1,0,1,0.99026954,4.622712,0.6660912036895752,0.99026954,4.622712,0.99026954,4.622712
2,0,1,0.99898666,6.8935595,0.7064461708068848,0.99898666,6.8935595,0.99898666,6.8935595
3,0,1,0.74289733,1.0610825,0.6406440138816833,0.74289733,1.0610825,0.74289733,1.0610825
4,1,0,0.0005660896,-7.476192,0.638043224811554,0.0005660896,-7.476192,0.0005660896,-7.476192
5,1,0,0.3073115,-0.8127186,0.8143658638000488,0.3073115,-0.8127186,0.3073115,-0.8127186
6,1,0,0.012952975,-4.333392,0.8557611703872681,0.012952975,-4.333392,0.012952975,-4.333392
7,0,1,0.9997924,8.479601,0.8421635031700134,0.9997924,8.479601,0.9997924,8.479601
8,1,0,0.09232575,-2.2855625,0.6895731687545776,0.09232575,-2.2855625,0.09232575,-2.2855625
9,1,0,0.010733633,-4.5235815,0.66753751039505,0.010733633,-4.5235815,0.010733633,-4.5235815
10,1,0,0.0012532293,-6.6807775,0.6343779563903809,0.0012532293,-6.6807775,0.0012532293,-6.6807775
11,1,0,0.0031864236,-5.7456646,0.6926587820053101,0.0031864236,-5.7456646,0.0031864236,-5.7456646
12,1,0,0.002075007,-6.1757135,0.6323856711387634,0.002075007,-6.1757135,0.002075007,-6.1757135
13,1,0,0.01222003,-4.3923836,0.630242645740509,0.01222003,-4.3923836,0.01222003,-4.3923836
14,1,0,0.0040923744,-5.4945292,0.6959613561630249,0.0040923744,-5.4945292,0.0040923744,-5.4945292
15,1,0,0.050138675,-2.9415233,0.7989326119422913,0.050138675,-2.9415233,0.050138675,-2.9415233
16,1,0,0.007279278,-4.9154177,0.7515946626663208,0.007279278,-4.9154177,0.007279278,-4.9154177
17,1,0,0.066447295,-2.6425884,0.7245547771453857,0.066447295,-2.6425884,0.066447295,-2.6425884
18,1,0,0.0022901588,-6.0768414,0.7665161490440369,0.0022901588,-6.0768414,0.0022901588,-6.0768414
19,1,0,0.002424016,-6.0199027,0.6279969811439514,0.002424016,-6.0199027,0.002424016,-6.0199027
20,0,0,0.06757296,-2.624583,0.641089916229248,0.06757296,-2.624583,0.06757296,-2.624583
21,0,0,0.008353712,-4.7766604,0.6791820526123047,0.008353712,-4.7766604,0.008353712,-4.7766604
22,1,0,0.00082120975,-7.1039104,0.8420071005821228,0.00082120975,-7.1039104,0.00082120975,-7.1039104
23,1,0,0.027437443,-3.5680258,0.711483359336853,0.027437443,-3.5680258,0.027437443,-3.5680258
24,1,0,0.23257963,-1.193802,1.0,0.23257963,-1.193802,0.23257963,-1.193802
25,1,0,0.011477861,-4.455791,0.7041690349578857,0.011477861,-4.455791,0.011477861,-4.455791
26,0,0,0.28900754,-0.900209,0.8161599040031433,0.28900754,-0.900209,0.28900754,-0.900209
27,1,0,0.30023327,-0.84618723,1.0,0.30023327,-0.84618723,0.30023327,-0.84618723
28,1,0,0.032604977,-3.390142,0.7352989315986633,0.032604977,-3.390142,0.032604977,-3.390142
29,1,0,0.0034095226,-5.6777678,0.4774138629436493,0.0034095226,-5.6777678,0.0034095226,-5.6777678
30,1,0,0.0041042753,-5.4916134,0.7318806648254395,0.0041042753,-5.4916134,0.0041042753,-5.4916134
31,1,0,0.005090705,-5.275235,0.6173281073570251,0.005090705,-5.275235,0.005090705,-5.275235
32,0,0,0.03695188,-3.2604868,0.6639243960380554,0.03695188,-3.2604868,0.03695188,-3.2604868
33,1,0,0.032039586,-3.4082189,0.8389323353767395,0.032039586,-3.4082189,0.032039586,-3.4082189
34,1,0,0.017268572,-4.0414476,0.741970956325531,0.017268572,-4.0414476,0.017268572,-4.0414476
35,1,0,0.011006913,-4.4981637,0.6974661350250244,0.011006913,-4.4981637,0.011006913,-4.4981637
36,1,0,0.08610852,-2.3621035,1.0,0.08610852,-2.3621035,0.08610852,-2.3621035
37,1,0,0.45772985,-0.16948517,1.0,0.45772985,-0.16948517,0.45772985,-0.16948517
38,1,0,0.022400679,-3.7760086,0.7762396931648254,0.022400679,-3.7760086,0.022400679,-3.7760086
39,1,0,0.055399418,-2.836193,0.7798532843589783,0.055399418,-2.836193,0.055399418,-2.836193
40,1,0,0.009855667,-4.609804,0.6093487739562988,0.009855667,-4.609804,0.009855667,-4.609804
41,1,0,0.025772847,-3.632323,0.6552609801292419,0.025772847,-3.632323,0.025772847,-3.632323
42,1,0,0.0009801376,-6.926837,0.6182705760002136,0.0009801376,-6.926837,0.0009801376,-6.926837
43,1,0,0.007926999,-4.829522,0.619312047958374,0.007926999,-4.829522,0.007926999,-4.829522
44,1,0,0.013026687,-4.327643,0.6672987937927246,0.013026687,-4.327643,0.013026687,-4.327643
45,1,0,0.08959305,-2.318614,0.6768530011177063,0.08959305,-2.318614,0.08959305,-2.318614
46,1,0,0.020761864,-3.853657,0.6483252644538879,0.020761864,-3.853657,0.020761864,-3.853657
47,1,0,0.0029036258,-5.838887,0.7490450143814087,0.0029036258,-5.838887,0.0029036258,-5.838887
48,0,0,0.03895966,-3.2054896,0.7514214515686035,0.03895966,-3.2054896,0.03895966,-3.2054896
49,1,0,0.1222319,-1.9714624,0.7135642766952515,0.1222319,-1.9714624,0.1222319,-1.9714624
50,0,1,0.9910773,4.7101884,0.3672187030315399,0.9910773,4.7101884,0.9910773,4.7101884
51,1,0,0.005341766,-5.226843,0.6564716100692749,0.005341766,-5.226843,0.005341766,-5.226843
52,1,0,0.045399126,-3.0458004,0.7059351205825806,0.045399126,-3.0458004,0.045399126,-3.0458004
53,1,0,0.27273986,-0.9807658,0.7722583413124084,0.27273986,-0.9807658,0.27273986,-0.9807658
54,1,0,0.001471151,-6.520238,0.67521733045578,0.001471151,-6.520238,0.001471151,-6.520238
55,1,0,0.0037129638,-5.592205,0.8840078711509705,0.0037129638,-5.592205,0.0037129638,-5.592205
56,1,0,0.02262096,-3.7659976,0.8202090859413147,0.02262096,-3.7659976,0.02262096,-3.7659976
57,1,0,0.1748884,-1.5513706,1.0,0.1748884,-1.5513706,0.1748884,-1.5513706
58,1,0,0.0051595597,-5.261731,0.6844817996025085,0.0051595597,-5.261731,0.0051595597,-5.261731
59,1,0,0.10527766,-2.1399121,0.7384825348854065,0.10527766,-2.1399121,0.10527766,-2.1399121
60,1,0,0.017857317,-4.0073233,0.8358607292175293,0.017857317,-4.0073233,0.017857317,-4.0073233
61,1,0,0.06941285,-2.5957437,0.729455828666687,0.06941285,-2.5957437,0.06941285,-2.5957437
62,0,1,0.99815434,6.2930984,0.5105735063552856,0.99815434,6.2930984,0.99815434,6.2930984
63,1,0,0.0056524426,-5.169999,0.55095374584198,0.0056524426,-5.169999,0.0056524426,-5.169999
64,1,0,0.011239255,-4.47704,0.685368537902832,0.011239255,-4.47704,0.011239255,-4.47704
65,1,0,0.14889169,-1.7433202,0.7313008904457092,0.14889169,-1.7433202,0.14889169,-1.7433202
66,0,1,0.93445206,2.6571786,1.0,0.93445206,2.6571786,0.93445206,2.6571786
67,0,0,0.008247128,-4.789609,0.4539448618888855,0.008247128,-4.789609,0.008247128,-4.789609
68,1,0,0.00019918769,-8.521064,0.7034765481948853,0.00019918769,-8.521064,0.00019918769,-8.521064
69,1,0,0.08451946,-2.3824673,0.8088382482528687,0.08451946,-2.3824673,0.08451946,-2.3824673
70,1,0,0.00048992014,-7.620778,0.6915778517723083,0.00048992014,-7.620778,0.00048992014,-7.620778
71,1,0,0.017509328,-4.027357,0.6877613663673401,0.017509328,-4.027357,0.017509328,-4.027357
72,1,0,0.06656833,-2.6406388,0.6187163591384888,0.06656833,-2.6406388,0.06656833,-2.6406388
73,1,0,0.020298477,-3.876702,0.7960329651832581,0.020298477,-3.876702,0.020298477,-3.876702
74,1,0,0.012252466,-4.3897,0.6383258700370789,0.012252466,-4.3897,0.012252466,-4.3897
75,1,0,0.002199614,-6.1172714,0.6551508903503418,0.002199614,-6.1172714,0.002199614,-6.1172714
76,1,0,0.006886963,-4.9712143,0.6205164194107056,0.006886963,-4.9712143,0.006886963,-4.9712143
77,1,0,0.0051305247,-5.2674036,0.7134472727775574,0.0051305247,-5.2674036,0.0051305247,-5.2674036
78,1,0,0.02366078,-3.7199912,0.7809858322143555,0.02366078,-3.7199912,0.02366078,-3.7199912
79,1,0,0.012854632,-4.341113,0.5952110886573792,0.012854632,-4.341113,0.012854632,-4.341113
80,0,1,0.99827695,6.3619566,0.5276265144348145,0.99827695,6.3619566,0.99827695,6.3619566
81,1,0,0.008765111,-4.7281723,0.5942322015762329,0.008765111,-4.7281723,0.008765111,-4.7281723
82,1,0,0.15216549,-1.7177168,0.8268867135047913,0.15216549,-1.7177168,0.15216549,-1.7177168
83,1,0,0.012682187,-4.3547935,0.7336131930351257,0.012682187,-4.3547935,0.012682187,-4.3547935
84,1,0,0.020862034,-3.8487415,0.6242719888687134,0.020862034,-3.8487415,0.020862034,-3.8487415
85,1,0,0.19922647,-1.3911359,0.709472119808197,0.19922647,-1.3911359,0.19922647,-1.3911359
