index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
0,1,0,0.16205731,-1.6429996,0.595608651638031,0.9919840097427368,0.16205731,-1.6429996,0.16205731,-1.6429996
1,0,1,0.51587224,0.06351042,0.6637194752693176,0.9823884963989258,0.51587224,0.06351042,0.51587224,0.06351042
2,0,1,0.99703264,5.8171196,0.7062519192695618,0.9968215227127075,0.99703264,5.8171196,0.99703264,5.8171196
3,0,0,0.015918773,-4.1242094,0.6399507522583008,0.9945395588874817,0.015918773,-4.1242094,0.015918773,-4.1242094
4,1,0,0.00224901,-6.0950136,0.6372612118721008,0.9984762668609619,0.00224901,-6.0950136,0.00224901,-6.0950136
5,1,0,0.37281188,-0.5201726,0.8111351132392883,0.9970394968986511,0.37281188,-0.5201726,0.37281188,-0.5201726
6,1,0,0.0153056355,-4.16411,0.8554041981697083,0.9969432950019836,0.0153056355,-4.16411,0.0153056355,-4.16411
7,0,1,0.9997956,8.495117,0.8417910933494568,0.994002103805542,0.9997956,8.495117,0.9997956,8.495117
8,1,0,0.14209391,-1.7980064,0.6894038915634155,0.9957340359687805,0.14209391,-1.7980064,0.14209391,-1.7980064
9,1,0,0.088093564,-2.337138,0.6660848259925842,0.9926935434341431,0.088093564,-2.337138,0.088093564,-2.337138
10,1,0,0.0192898,-3.9287004,0.6325492262840271,0.9963833689689636,0.0192898,-3.9287004,0.0192898,-3.9287004
11,1,0,0.0074465964,-4.892524,0.6976242661476135,0.9969399571418762,0.0074465964,-4.892524,0.0074465964,-4.892524
12,1,0,0.0009907736,-6.9160333,0.6308883428573608,0.9971848130226135,0.0009907736,-6.9160333,0.0009907736,-6.9160333
13,1,0,0.030753622,-3.450511,0.6292212009429932,0.9978026747703552,0.030753622,-3.450511,0.030753622,-3.450511
14,1,0,0.005295717,-5.235547,0.6972265839576721,0.9770331382751465,0.005295717,-5.235547,0.005295717,-5.235547
15,1,0,0.11281175,-2.0623367,0.797217845916748,0.9946489930152893,0.11281175,-2.0623367,0.11281175,-2.0623367
16,1,0,0.002575182,-5.9592566,0.752320408821106,0.992414653301239,0.002575182,-5.9592566,0.002575182,-5.9592566
17,1,0,0.10332661,-2.1607966,0.7247181534767151,0.9979889988899231,0.10332661,-2.1607966,0.10332661,-2.1607966
18,1,0,0.0025159386,-5.98259,0.7666953802108765,0.9953217506408691,0.0025159386,-5.98259,0.0025159386,-5.98259
19,1,0,0.0023151988,-6.065942,0.6238330602645874,0.9996818900108337,0.0023151988,-6.065942,0.0023151988,-6.065942
20,0,1,0.67886835,0.7485763,0.6383855938911438,0.9835101366043091,0.67886835,0.7485763,0.67886835,0.7485763
21,0,0,0.009920173,-4.603215,0.6792516112327576,0.9968706965446472,0.009920173,-4.603215,0.009920173,-4.603215
22,1,0,0.0008398899,-7.0813994,0.8406690955162048,0.9946646094322205,0.0008398899,-7.0813994,0.0008398899,-7.0813994
23,1,0,0.048413098,-2.9783607,0.7084335684776306,0.9868730902671814,0.048413098,-2.9783607,0.048413098,-2.9783607
24,1,0,0.21932308,-1.2696154,1.0,1.0,0.21932308,-1.2696154,0.21932308,-1.2696154
25,1,0,0.054818068,-2.8473575,0.7035055756568909,0.9943951368331909,0.054818068,-2.8473575,0.054818068,-2.8473575
26,0,0,0.22814254,-1.2188294,0.8190537095069885,0.9966679811477661,0.22814254,-1.2188294,0.22814254,-1.2188294
27,1,0,0.25546205,-1.0696899,1.0,1.0,0.25546205,-1.0696899,0.25546205,-1.0696899
28,1,0,0.008808819,-4.723154,0.7344797253608704,0.9953425526618958,0.008808819,-4.723154,0.008808819,-4.723154
29,1,0,0.26253885,-1.0328143,0.47374096512794495,0.9972882866859436,0.26253885,-1.0328143,0.26253885,-1.0328143
30,1,0,0.0045015025,-5.3988323,0.7341102957725525,0.9946922659873962,0.0045015025,-5.3988323,0.0045015025,-5.3988323
31,1,0,0.030406686,-3.4622142,0.6200364232063293,0.9930766224861145,0.030406686,-3.4622142,0.030406686,-3.4622142
32,0,0,0.07649731,-2.4909182,0.6669573187828064,0.9963738322257996,0.07649731,-2.4909182,0.07649731,-2.4909182
33,1,0,0.10136267,-2.1821747,0.8384890556335449,0.9983062148094177,0.10136267,-2.1821747,0.10136267,-2.1821747
34,1,0,0.058528315,-2.7779336,0.7416370511054993,0.9979110956192017,0.058528315,-2.7779336,0.058528315,-2.7779336
35,1,0,0.03523378,-3.3098805,0.6967465281486511,0.9965939521789551,0.03523378,-3.3098805,0.03523378,-3.3098805
36,1,0,0.106256336,-2.1295645,1.0,1.0,0.106256336,-2.1295645,0.106256336,-2.1295645
37,1,0,0.45328015,-0.18742625,1.0,1.0,0.45328015,-0.18742625,0.45328015,-0.18742625
38,1,0,0.019829681,-3.9005466,0.7767032384872437,0.9920156002044678,0.019829681,-3.9005466,0.019829681,-3.9005466
39,1,0,0.017760888,-4.012836,0.7794705033302307,0.9995675683021545,0.017760888,-4.012836,0.017760888,-4.012836
40,1,0,0.013636342,-4.2812867,0.6097344756126404,0.9887846112251282,0.013636342,-4.2812867,0.013636342,-4.2812867
41,1,0,0.019868,-3.898577,0.6534999012947083,0.9942784309387207,0.019868,-3.898577,0.019868,-3.898577
42,1,0,0.0015574894,-6.4631214,0.6146215200424194,0.9982627034187317,0.0015574894,-6.4631214,0.0015574894,-6.4631214
43,1,0,0.009865331,-4.6088142,0.6151148080825806,0.9984661340713501,0.009865331,-4.6088142,0.009865331,-4.6088142
44,1,0,0.040046826,-3.176835,0.6675449013710022,0.9891417622566223,0.040046826,-3.176835,0.040046826,-3.176835
45,1,0,0.15167794,-1.7215009,0.6756694316864014,0.998864471912384,0.15167794,-1.7215009,0.15167794,-1.7215009
46,1,0,0.1567926,-1.682289,0.6497980952262878,0.9998911023139954,0.1567926,-1.682289,0.1567926,-1.682289
47,1,0,0.0013453324,-6.609768,0.748906672000885,0.982973575592041,0.0013453324,-6.609768,0.0013453324,-6.609768
48,0,0,0.007123273,-4.937239,0.7542482018470764,0.9963625073432922,0.007123273,-4.937239,0.007123273,-4.937239
49,1,0,0.12828545,-1.9162041,0.7089082598686218,0.9950558543205261,0.12828545,-1.9162041,0.12828545,-1.9162041
50,0,0,0.17604858,-1.5433517,0.3538818657398224,0.9679650068283081,0.17604858,-1.5433517,0.17604858,-1.5433517
51,1,0,0.008264227,-4.7875204,0.6531834602355957,0.9985336661338806,0.008264227,-4.7875204,0.008264227,-4.7875204
52,1,0,0.0628214,-2.702578,0.6995701789855957,0.9949319958686829,0.0628214,-2.702578,0.0628214,-2.702578
53,1,0,0.18444099,-1.4865441,0.7675837874412537,0.9954871535301208,0.18444099,-1.4865441,0.18444099,-1.4865441
54,1,0,0.003249004,-5.7261524,0.6764358282089233,0.9991908669471741,0.003249004,-5.7261524,0.003249004,-5.7261524
55,1,0,0.0030832815,-5.7786727,0.8854233026504517,0.9998380541801453,0.0030832815,-5.7786727,0.0030832815,-5.7786727
56,1,0,0.057609297,-2.794736,0.8207470178604126,0.9980469346046448,0.057609297,-2.794736,0.057609297,-2.794736
57,1,0,0.20277554,-1.3690367,1.0,1.0,0.20277554,-1.3690367,0.20277554,-1.3690367
58,1,0,0.006500081,-5.0294194,0.682585597038269,0.9699538350105286,0.006500081,-5.0294194,0.006500081,-5.0294194
59,1,0,0.119179346,-2.0002246,0.7332469820976257,0.9976674318313599,0.119179346,-2.0002246,0.119179346,-2.0002246
60,1,0,0.045177054,-3.0509367,0.8335291743278503,0.9953230023384094,0.045177054,-3.0509367,0.045177054,-3.0509367
61,1,0,0.07015547,-2.5843036,0.7266837358474731,0.9958013296127319,0.07015547,-2.5843036,0.07015547,-2.5843036
