index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.99993825,9.693326,0.9833046793937683,0.99993825,9.693326,0.99993825,9.693326
1,0,0,0.00021366905,-8.450869,0.9888439178466797,0.00021366905,-8.450869,0.00021366905,-8.450869
2,0,0,0.08236329,-2.4106617,0.9968215227127075,0.08236329,-2.4106617,0.08236329,-2.4106617
3,0,0,0.0005802526,-7.4514666,0.9989930987358093,0.0005802526,-7.4514666,0.0005802526,-7.4514666
4,1,1,0.53644156,0.14602515,0.9864811897277832,0.53644156,0.14602515,0.53644156,0.14602515
5,1,1,0.99990785,9.29175,0.994608461856842,0.99990785,9.29175,0.99990785,9.29175
6,1,1,0.9580562,3.1285756,0.9977774620056152,0.9580562,3.1285756,0.9580562,3.1285756
7,0,1,0.7956826,1.3595256,0.9914321899414062,0.7956826,1.3595256,0.7956826,1.3595256
8,1,1,0.9902755,4.6233363,0.9937423467636108,0.9902755,4.6233363,0.9902755,4.6233363
9,1,1,0.9999131,9.350841,0.993106484413147,0.9999131,9.350841,0.9999131,9.350841
10,1,1,0.99983156,8.689191,0.996880054473877,0.99983156,8.689191,0.99983156,8.689191
11,1,1,0.9992557,7.2023244,0.9969399571418762,0.9992557,7.2023244,0.9992557,7.2023244
12,1,1,0.93838716,2.7232928,0.9771624803543091,0.93838716,2.7232928,0.93838716,2.7232928
13,1,1,0.9998785,9.015337,0.9993239045143127,0.9998785,9.015337,0.9998785,9.015337
14,1,1,0.99521965,5.3384414,0.95701664686203,0.99521965,5.3384414,0.99521965,5.3384414
15,1,1,0.98638296,4.2827253,0.9874722361564636,0.98638296,4.2827253,0.98638296,4.2827253
16,1,1,0.9991627,7.08442,0.992414653301239,0.9991627,7.08442,0.9991627,7.08442
17,1,1,0.99975795,8.325985,0.9997201561927795,0.99975795,8.325985,0.99975795,8.325985
18,1,1,0.9821961,4.010374,0.9811388850212097,0.9821961,4.010374,0.9821961,4.010374
19,1,1,0.9757495,3.6947699,0.99555504322052,0.9757495,3.6947699,0.9757495,3.6947699
20,0,0,0.012740035,-4.350184,0.9867262244224548,0.012740035,-4.350184,0.012740035,-4.350184
21,0,0,0.00015764807,-8.754988,0.990706741809845,0.00015764807,-8.754988,0.00015764807,-8.754988
22,1,0,0.17906487,-1.522696,0.9975917935371399,0.17906487,-1.522696,0.17906487,-1.522696
23,1,1,0.9996538,7.9682984,0.9961277842521667,0.9996538,7.9682984,0.9996538,7.9682984
24,1,0,0.22865297,-1.2159328,1.0,0.22865297,-1.2159328,0.22865297,-1.2159328
25,1,1,0.8593897,1.8102307,0.9959501028060913,0.8593897,1.8102307,0.8593897,1.8102307
26,0,0,0.00019760418,-8.529047,0.9923998117446899,0.00019760418,-8.529047,0.00019760418,-8.529047
27,1,0,0.27833858,-0.9527178,1.0,0.27833858,-0.9527178,0.27833858,-0.9527178
28,1,1,0.9775213,3.7724507,0.9760317802429199,0.9775213,3.7724507,0.9775213,3.7724507
29,1,1,0.99849546,6.4977746,0.9926764369010925,0.99849546,6.4977746,0.99849546,6.4977746
30,1,1,0.99019474,4.614984,0.9962290525436401,0.99019474,4.614984,0.99019474,4.614984
31,1,1,0.99983025,8.681023,0.9921634197235107,0.99983025,8.681023,0.99983025,8.681023
32,0,0,0.0010315606,-6.8756504,0.9836110472679138,0.0010315606,-6.8756504,0.0010315606,-6.8756504
33,1,1,0.99666226,5.699114,0.9966643452644348,0.99666226,5.699114,0.99666226,5.699114
34,1,1,0.9981559,6.293895,0.9969948530197144,0.9981559,6.293895,0.9981559,6.293895
35,1,1,0.99873203,6.669078,0.9946410059928894,0.99873203,6.669078,0.99873203,6.669078
36,1,0,0.0975876,-2.2243211,1.0,0.0975876,-2.2243211,0.0975876,-2.2243211
