index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.96266854,3.2498727,0.9876333475112915,0.99998343,11.009693,0.9990976,7.009567
1,0,1,0.5238508,0.09547567,1.0,0.00030140096,-8.106768,0.9993451,7.330355
2,0,1,0.5151139,0.06047393,1.0,6.9960704e-05,-9.567507,0.99966407,7.9983487
3,0,1,0.7487533,1.0919743,1.0,0.36138728,-0.569348,0.99839276,6.431675
4,1,1,0.9722568,3.5566285,0.949205219745636,0.99998784,11.314491,0.9995926,7.805416
5,1,1,0.97816867,3.8023357,0.9969471096992493,0.99998975,11.490747,0.9997923,8.479017
6,1,1,0.8974259,2.168945,0.9730900526046753,0.996825,5.7492366,0.9983948,6.432908
7,0,1,0.54342616,0.17414337,0.9730908274650574,0.010433815,-4.5522146,0.99661344,5.6845474
8,1,1,0.69194454,0.8092259,0.9773993492126465,0.9999771,10.6853695,0.39164045,-0.44042176
9,1,1,0.8776393,1.9702624,0.9638006687164307,0.9999677,10.341755,0.96670693,3.3685474
10,1,1,0.9442794,2.8300717,0.9917491674423218,0.99950516,7.6109123,0.9994511,7.50706
11,1,1,0.9696148,3.4629433,0.9930139780044556,0.99993706,9.67255,0.99977213,8.3865595
12,1,1,0.9347969,2.6628227,0.991944432258606,0.99615085,5.556038,0.99968994,8.078186
13,1,1,0.93538153,2.672454,0.9985254406929016,0.9982693,6.3575068,0.99953914,7.681772
14,1,1,0.87059313,1.9062133,0.9872748851776123,0.9998996,9.206162,0.9775289,3.7728
15,1,1,0.95732397,3.1105044,0.9992377758026123,0.99993396,9.625313,0.99933225,7.310974
16,1,1,0.97464603,3.6491392,0.992414653301239,0.99999285,11.849596,0.9995944,7.809602
17,1,1,0.9193925,2.4341218,0.995066225528717,0.9996979,8.10454,0.9975465,6.0077634
18,1,1,0.94680744,2.8791773,0.9926892518997192,0.99983644,8.718663,0.99915135,7.070956
19,1,1,0.9723971,3.561843,0.9842344522476196,0.9999645,10.245503,0.9997731,8.390559
20,0,1,0.7524809,1.111888,1.0,0.8986325,2.1821218,0.99350184,5.029718
21,0,0,0.46675414,-0.13317996,0.9987450838088989,0.00041486687,-7.787138,0.9984158,6.4461374
22,1,1,0.97108614,3.5140944,0.9909278154373169,0.9999924,11.779112,0.99940443,7.4253345
23,1,1,0.97809154,3.7987304,0.9704808592796326,0.9999945,12.105963,0.9997085,8.140377
24,1,1,0.91205496,2.338988,0.9893826842308044,0.9996101,7.8493004,0.99711823,5.8464656
25,1,1,0.9544483,3.0422852,0.9954087138175964,0.9999881,11.332771,0.99795294,6.189311
26,0,0,0.007548159,-4.878875,0.9911002516746521,0.00016231598,-8.725803,0.0003796018,-7.876008
27,1,1,0.9356663,2.6771758,0.9958934187889099,0.9999776,10.704517,0.99542844,5.383328
28,1,1,0.8783734,1.977116,0.9594953656196594,0.9995012,7.602828,0.9922126,4.84743
29,1,1,0.96389395,3.2845209,0.9834350347518921,0.99998164,10.902376,0.99923503,7.174884
30,1,1,0.9736751,3.6105614,0.9855431318283081,0.99997604,10.637587,0.99975985,8.334076
31,1,1,0.8268409,1.5634013,0.9985786080360413,0.95314044,3.0126073,0.9975223,5.997942
32,0,1,0.6461381,0.60210645,1.0,0.998694,6.6394644,0.7437731,1.0656729
33,1,1,0.95449847,3.04344,0.9829172492027283,0.9999471,9.846355,0.9990741,6.9838934
34,1,1,0.91420233,2.36606,0.9954783320426941,0.99998987,11.50185,0.9817893,3.9873664
35,1,1,0.7344605,1.0173725,0.9971463680267334,0.9994808,7.562626,0.8666173,1.8713756
36,1,1,0.9181,2.4168074,0.9954586029052734,0.9998876,9.093613,0.9956246,5.427368
37,1,1,0.9193694,2.4338098,0.9960536360740662,0.9999833,11.003929,0.9886141,4.4639254
38,1,1,0.96183693,3.2269769,0.9958404302597046,0.9999105,9.321133,0.9996051,7.8365984
39,1,1,0.9587832,3.1468194,0.9927286505699158,0.9999012,9.222425,0.9995189,7.6387806
