index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.87401515,1.936936,0.9844128489494324,0.99999166,11.689508,0.9990976,7.009567
1,0,1,0.6140072,0.46418783,1.0,0.00030140096,-8.106768,0.9993451,7.330355
2,0,1,0.5414947,0.16636154,1.0,6.9960704e-05,-9.567507,0.99966407,7.9983487
3,0,1,0.893366,2.1255937,1.0,0.36138728,-0.569348,0.99839276,6.431675
4,1,1,0.8718371,1.9173003,0.9939619302749634,0.9999945,12.104317,0.9995926,7.805416
5,1,1,0.8727405,1.92541,0.9614478349685669,0.99999523,12.250673,0.9997923,8.479017
6,1,1,0.9086319,2.2970438,0.9961627125740051,0.9998838,9.060294,0.9983948,6.432908
7,0,1,0.5244875,0.09802838,1.0,0.00058021804,-7.451526,0.99661344,5.6845474
8,1,1,0.6027289,0.4168486,0.9619616270065308,0.99998903,11.419855,0.39164045,-0.44042176
9,1,1,0.80325043,1.406735,0.9884799718856812,0.99998975,11.483556,0.96670693,3.3685474
10,1,1,0.9244174,2.5039372,0.9873840808868408,0.99982435,8.646931,0.9994511,7.50706
11,1,1,0.9052766,2.2572794,0.9960734248161316,0.9999776,10.705877,0.99977213,8.3865595
12,1,1,0.93285424,2.6313832,0.9981240630149841,0.9997274,8.207287,0.99968994,8.078186
13,1,1,0.9293804,2.5772107,0.9474179744720459,0.9997372,8.2441025,0.99953914,7.681772
14,1,1,0.8175827,1.5000553,0.9643934965133667,0.9999889,11.40885,0.9775289,3.7728
15,1,1,0.89822227,2.1776261,0.9892555475234985,0.9999752,10.6025915,0.99933225,7.310974
16,1,1,0.86588115,1.8650212,0.9892640709877014,0.9999956,12.333313,0.9995944,7.809602
17,1,1,0.9008889,2.2071407,0.9997542500495911,0.999902,9.230738,0.9975465,6.0077634
18,1,1,0.8956807,2.150128,0.9910777807235718,0.9999752,10.605411,0.99915135,7.070956
19,1,1,0.87832904,1.9767009,0.991449773311615,0.9999939,12.01294,0.9997731,8.390559
20,0,1,0.88824964,2.0729854,1.0,0.8986325,2.1821218,0.99350184,5.029718
21,0,1,0.52124226,0.08502018,1.0,0.0002491622,-8.297157,0.9984158,6.4461374
22,1,1,0.85952413,1.8113432,0.989516019821167,0.99999607,12.441913,0.99940443,7.4253345
23,1,1,0.86412185,1.8499553,0.9861053228378296,0.9999962,12.487589,0.9997085,8.140377
