index,label,pred,score,logit
0,1,1,0.9999864,11.2104645
1,0,0,0.00048820674,-7.6242833
2,0,0,8.549476e-05,-9.36697
3,0,1,0.561036,0.24536774
4,1,1,0.9999883,11.360384
5,1,1,0.9999902,11.539594
6,1,1,0.99874675,6.6807756
7,0,0,0.0065581016,-5.0204744
8,1,1,0.9999789,10.766089
9,1,1,0.9999788,10.759499
10,1,1,0.99949074,7.5819893
11,1,1,0.99992144,9.452414
12,1,1,0.99357855,5.041673
13,1,1,0.9978649,6.147094
14,1,1,0.9999589,10.100085
15,1,1,0.99994504,9.8094225
16,1,1,0.9999931,11.878174
17,1,1,0.99971944,8.178339
18,1,1,0.99981767,8.609681
19,1,1,0.9999734,10.535124
20,0,1,0.8986325,2.1821218
21,0,0,0.00046003875,-7.6837397
22,1,1,0.9999901,11.521152
23,1,1,0.9999937,11.979524
24,1,1,0.99985147,8.814484
25,1,1,0.9999881,11.333967
26,0,0,0.0001058351,-9.1535225
27,1,1,0.9999776,10.704517
28,1,1,0.9995427,7.6895866
29,1,1,0.99998236,10.945474
30,1,1,0.99997544,10.613525
31,1,1,0.97675794,3.738274
32,0,1,0.998694,6.6394644
33,1,1,0.9997981,8.507507
34,1,1,0.9999895,11.466286
35,1,1,0.9993407,7.3237906
36,1,1,0.99987006,8.948599
37,1,1,0.99997723,10.687558
38,1,1,0.99997854,10.749069
39,1,1,0.99985826,8.86147
40,1,1,0.99997854,10.749821
41,1,0,0.2675881,-1.0068942
42,1,1,0.99951935,7.6399927
43,1,1,0.9993223,7.2960787
44,1,1,0.9998679,8.931728
45,1,1,0.99996924,10.390194
46,1,1,0.99996424,10.2393055
47,1,1,0.9758212,3.6978054
48,0,1,0.9999547,10.0026245
49,1,1,0.9998436,8.762796
50,0,0,0.18672846,-1.4714096
51,1,0,0.109876394,-2.0920043
52,1,1,0.99998343,11.008736
53,1,1,0.9999912,11.635593
54,1,1,0.9999826,10.9603615
55,1,1,0.9921503,4.8394012
56,1,1,0.9999877,11.305189
57,1,1,0.999969,10.380657
58,1,1,0.99998546,11.140366
59,1,1,0.999967,10.3175535
60,1,1,0.9998692,8.941876
61,1,1,0.99999344,11.9425535
62,0,0,0.021283656,-3.8283024
63,1,1,0.9999825,10.953747
64,1,1,0.9999274,9.530295
65,1,1,0.99980456,8.539936
66,0,1,0.9999745,10.57757
67,0,0,0.0014008759,-6.569256
68,1,1,0.99971944,8.178646
69,1,1,0.9999521,9.945208
70,1,1,0.99993646,9.664402
71,1,1,0.99973994,8.254257
72,1,1,0.9997626,8.345501
73,1,1,0.9999919,11.722688
74,1,1,0.99993443,9.63156
75,1,1,0.9999746,10.582054
76,1,0,0.015125365,-4.1761413
77,1,1,0.9999554,10.017365
78,1,1,0.9999907,11.589791
79,1,1,0.9999634,10.215551
80,0,1,0.7604837,1.1553332
81,1,1,0.99999046,11.5593195
82,1,1,0.9999807,10.853806
83,1,1,0.9998265,8.65926
84,1,1,0.99995065,9.915995
85,1,1,0.9999721,10.485933
86,1,1,0.99997663,10.662952
87,1,1,0.99978703,8.453922
88,1,1,0.99998045,10.840561
89,0,0,0.028599763,-3.52534
90,1,1,0.9999658,10.282953
91,1,1,0.9999287,9.548624
92,1,1,0.99994624,9.831941
93,1,1,0.9999918,11.702695
94,0,0,9.417903e-05,-9.270219
95,1,1,0.99961984,7.874597
96,1,1,0.99994516,9.812151
97,1,1,0.99997556,10.620522
98,1,1,0.99997604,10.641442
99,1,1,0.9923969,4.871562
100,1,1,0.99998045,10.844349
101,1,1,0.9999771,10.686901
102,1,1,0.99999297,11.861105
103,1,1,0.9999547,10.002634
104,1,1,0.9999374,9.678607
