index,label,pred,score,logit
0,1,1,0.9846257,4.159564
1,0,1,0.9909514,4.6960554
2,0,1,0.9938864,5.0911093
3,0,1,0.83885634,1.6497436
4,1,1,0.9942268,5.148753
5,1,1,0.99317306,4.9800262
6,1,1,0.9932463,4.9908905
7,0,1,0.9833293,4.077287
8,1,1,0.9928012,4.9266167
9,1,1,0.57820344,0.31540278
10,1,1,0.99016935,4.6123734
11,1,1,0.9940971,5.1263857
12,1,1,0.9862742,4.2746577
13,1,1,0.9894155,4.5377207
14,1,1,0.94856596,2.9146519
15,1,1,0.91631186,2.3932602
16,1,1,0.9918276,4.798788
17,1,1,0.9920047,4.8208756
18,1,1,0.9784953,3.8177462
19,1,1,0.9946839,5.231683
20,0,1,0.8750516,1.9463823
21,0,1,0.96084005,3.2001514
22,1,1,0.9913072,4.7365227
23,1,1,0.992255,4.8529243
24,1,1,0.990386,4.6348715
25,1,1,0.97841907,3.8141303
26,0,0,0.028628007,-3.524324
27,1,1,0.8801011,1.9933884
28,1,1,0.9518535,2.9841638
29,1,1,0.988112,4.4202604
30,1,1,0.99410605,5.1279216
31,1,1,0.9672463,3.385439
32,0,1,0.9369873,2.6993332
33,1,1,0.99228,4.856192
34,1,1,0.9815419,3.9736164
35,1,1,0.90369505,2.2389724
36,1,1,0.99283445,4.931271
37,1,0,0.49066448,-0.037346512
38,1,1,0.9920596,4.8278236
39,1,1,0.991011,4.7027235
40,1,1,0.9895493,4.550582
41,1,1,0.9390006,2.7339523
42,1,1,0.97979796,3.8815627
43,1,1,0.8646207,1.8542105
44,1,1,0.9924604,4.880027
45,1,1,0.69666034,0.83144486
46,1,1,0.9907418,4.6729403
47,1,1,0.98236024,4.0198007
48,0,1,0.9481657,2.9064784
49,1,1,0.97086334,3.5061908
50,0,1,0.96717215,3.3831
51,1,1,0.99295676,4.9486256
52,1,1,0.99039906,4.6362467
53,1,1,0.993507,5.030517
54,1,1,0.9890082,4.499549
55,1,1,0.9756605,3.691014
56,1,1,0.9753667,3.678716
57,1,1,0.98724025,4.3486166
58,1,1,0.9939621,5.1036406
59,1,1,0.99360955,5.046533
60,1,1,0.99181974,4.7978153
61,1,1,0.94586563,2.860631
62,0,0,0.06716073,-2.631144
63,1,1,0.99065804,4.6638536
64,1,1,0.5577049,0.23185262
65,1,1,0.97495085,3.6615505
66,0,1,0.99238294,4.8697186
67,0,1,0.80415726,1.4124826
68,1,1,0.9790466,3.844275
69,1,1,0.9912115,4.7254767
70,1,1,0.9928531,4.933913
71,1,1,0.99163026,4.774726
72,1,1,0.90488434,2.2527132
73,1,1,0.99091375,4.691865
74,1,1,0.9953987,5.376796
75,1,1,0.9935408,5.0357714
76,1,1,0.83673674,1.6341455
77,1,1,0.9914579,4.754164
78,1,1,0.9901163,4.6069393
79,1,1,0.9843017,4.138382
80,0,1,0.87766016,1.9704568
81,1,1,0.9945458,5.205908
82,1,1,0.99248636,4.8834944
83,1,1,0.9910348,4.7053986
84,1,1,0.9915215,4.7617083
85,1,1,0.99110806,4.713687
86,1,1,0.9933078,5.000104
87,1,1,0.9916515,4.777288
88,1,1,0.9931994,4.983917
89,0,0,0.26481834,-1.0210736
90,1,1,0.9922283,4.8494678
91,1,1,0.99241817,4.874391
92,1,1,0.50546134,0.021846265
93,1,1,0.9634189,3.2709577
94,0,1,0.98807937,4.417492
95,1,1,0.7184179,0.9366273
96,1,1,0.96520084,3.3227437
97,1,1,0.9832131,4.0702267
98,1,1,0.9832696,4.0736527
99,1,1,0.99043953,4.640515
100,1,1,0.9609637,3.2034454
101,1,1,0.9886646,4.468433
102,1,1,0.98072547,3.9295063
103,1,1,0.99078256,4.6773906
104,1,1,0.99501836,5.2970123
105,1,1,0.99011165,4.606463
106,1,1,0.9920264,4.823612
107,1,1,0.9226794,2.4793208
108,1,1,0.9882537,4.432404
109,1,1,0.7113455,0.90192795
110,1,1,0.9905757,4.654992
111,1,1,0.9916986,4.782996
112,1,1,0.98946756,4.542702
113,0,1,0.85275865,1.7564034
114,1,1,0.65070146,0.62212396
115,1,1,0.9708066,3.504184
116,0,1,0.97733235,3.763887
117,1,1,0.9467536,2.8781083
118,1,1,0.994456,5.189471
119,1,1,0.99195355,4.8144407
120,1,1,0.9907768,4.676767
121,1,1,0.9917012,4.7833138
122,1,1,0.9888995,4.4896073
123,0,1,0.82198954,1.5298855
124,1,1,0.993473,5.0252666
125,1,1,0.9822174,4.011595
126,1,1,0.983721,4.1014633
127,1,1,0.99225086,4.8523893
128,1,1,0.9875392,4.3726225
129,1,1,0.9932595,4.992864
130,1,1,0.9896541,4.560762
131,1,1,0.94952273,2.9344358
132,1,1,0.99108034,4.710535
133,1,1,0.99333453,5.0041347
134,1,1,0.9937556,5.0698
135,1,1,0.99354506,5.036421
136,1,1,0.9929638,4.9496303
137,1,1,0.9918413,4.800486
138,0,1,0.99098235,4.699509
139,1,1,0.9928433,4.9325123
140,1,1,0.98711294,4.3385615
141,1,1,0.986565,4.2963653
142,1,1,0.9895551,4.551137
143,1,1,0.926937,2.5405624
144,0,0,0.024740823,-3.6742487
145,0,0,0.013169973,-4.3165584
146,1,1,0.99486417,5.2663608
147,1,1,0.8487967,1.7251947
148,1,1,0.98385924,4.1101356
149,1,1,0.990126,4.6079245
150,1,1,0.9915495,4.765046
151,1,1,0.9887629,4.4772363
152,1,1,0.9663213,3.3566308
153,1,1,0.89876425,2.1835692
154,1,1,0.9885755,4.4605055
155,1,1,0.9445837,2.835871
156,0,1,0.969131,3.4466467
157,1,1,0.99035233,4.631342
158,1,1,0.98738086,4.359843
159,1,1,0.9706715,3.4994283
160,1,1,0.9947196,5.2384624
161,1,1,0.9902726,4.6230297
162,1,1,0.9907808,4.677198
163,1,1,0.81780237,1.5015291
164,1,1,0.9920216,4.8230047
165,1,1,0.98599607,4.2543178
166,1,1,0.9907414,4.672894
167,0,1,0.75782377,1.1407852
168,1,1,0.7697677,1.2069997
169,1,1,0.8537368,1.7642152
170,1,1,0.9906501,4.6629896
171,0,1,0.99033177,4.629195
172,1,1,0.9838329,4.1084814
173,1,1,0.9859285,4.2494326
174,1,1,0.99189705,4.807391
175,0,1,0.99255615,4.8929
176,1,1,0.988588,4.461606
177,1,1,0.97271156,3.5736246
178,1,1,0.9925368,4.89028
179,1,1,0.91919243,2.4314246
180,1,1,0.9908983,4.6901507
181,1,1,0.9901528,4.6106706
182,1,1,0.9926583,4.9068136
183,1,1,0.9451729,2.847183
184,1,1,0.987512,4.3704143
185,1,1,0.98550165,4.219119
186,1,1,0.963644,3.2773633
187,1,1,0.99130225,4.7359633
188,1,1,0.90673685,2.2744277
189,1,1,0.96906507,3.4444442
190,1,1,0.98772067,4.387481
191,1,1,0.9619158,3.2291276
192,1,1,0.98625827,4.273486
193,1,1,0.98792785,4.4047093
194,1,1,0.9856154,4.227104
195,0,1,0.8948671,2.1414502
196,1,1,0.99325055,4.9915257
197,1,1,0.8824158,2.0155087
198,1,1,0.9938983,5.0930595
199,1,1,0.9898317,4.5782557
200,1,1,0.9883758,4.4429708
201,1,1,0.98455447,4.154874
202,0,1,0.98949945,4.5457687
203,1,1,0.9711375,3.5159256
204,1,1,0.9470318,2.883641
205,0,0,0.014816766,-4.197068
206,1,1,0.98620725,4.269723
207,1,1,0.98701185,4.3306484
208,1,1,0.9576154,3.11766
209,1,1,0.9892259,4.5197773
210,1,1,0.9920406,4.8254123
211,1,1,0.9898115,4.57625
212,1,1,0.9794083,3.862061
213,1,0,0.07844715,-2.463635
214,1,1,0.98735607,4.357855
215,1,1,0.93600374,2.682795
216,1,1,0.9131099,2.3522122
217,1,1,0.99044704,4.6413035
218,1,1,0.9908394,4.683643
219,1,1,0.96578515,3.3402817
220,1,1,0.9920012,4.8204303
221,1,1,0.940441,2.7593818
222,1,1,0.9932987,4.998726
