index,label,blank_logit_both,blank_logit_img_only,blank_logit_txt_only,drop_logit_both,drop_logit_img_only,drop_logit_txt_only,blank_score_both,blank_score_img_only,blank_score_txt_only,drop_score_both,drop_score_img_only,drop_score_txt_only
0,1,4.159564,3.7283468,0.15863332,4.159564,4.5960703,0.41841072,0.9846257,0.97653145,0.5395754,0.9846257,0.99000937,0.60310286
1,0,4.6960554,4.2934875,-0.16095862,4.6960554,4.5481205,0.2285474,0.9909514,0.9865268,0.459847,0.9909514,0.9895238,0.5568894
2,0,5.0911093,4.5628777,-0.19038428,5.0911093,5.0268064,-0.20797618,0.9938864,0.9896757,0.45254716,0.9938864,0.993483,0.44819254
3,0,1.6497436,1.1824229,-0.22243133,1.6497436,2.9464536,0.41702363,0.83885634,0.7653832,0.44462028,0.83885634,0.9500956,0.6027708
4,1,5.148753,4.5436354,0.29102847,5.148753,4.9247165,0.40692365,0.9942268,0.9894772,0.57224786,0.9942268,0.99278766,0.60035
5,1,4.9800262,4.414941,-0.219239,4.9800262,5.101894,0.0025346577,0.99317306,0.9880493,0.4454088,0.99317306,0.9939516,0.50063366
6,1,4.9908905,3.968447,0.103355736,4.9908905,5.0517554,0.3029424,0.9932463,0.98144794,0.52581596,0.9932463,0.99364257,0.57516164
7,0,4.077287,3.5044565,0.42419398,4.077287,4.7090096,0.2882737,0.9833293,0.9708143,0.6044864,0.9833293,0.9910669,0.57157344
8,1,4.9266167,4.1858196,0.41627112,4.9266167,5.0129,0.5230473,0.9928012,0.9850182,0.6025906,0.9928012,0.9933923,0.62786007
9,1,0.31540278,-0.16497228,0.26618132,0.31540278,0.8742553,0.40000495,0.57820344,0.45885023,0.5661552,0.57820344,0.70563036,0.59868884
10,1,4.6123734,4.035944,0.19480298,4.6123734,4.766406,0.3203205,0.99016935,0.9826378,0.5485473,0.99016935,0.9915609,0.5794023
11,1,5.1263857,4.513783,0.04585497,5.1263857,5.1565323,0.21618347,0.9940971,0.98916185,0.51146173,0.9940971,0.9942714,0.55383635
12,1,4.2746577,3.801112,0.06642808,4.2746577,4.4752026,0.40291458,0.9862742,0.9781425,0.5166009,0.9862742,0.98874027,0.5993877
13,1,4.5377207,3.7100625,0.23024693,4.5377207,4.8968906,0.13438278,0.9894155,0.97610873,0.55730873,0.9894155,0.9925856,0.5335452
14,1,2.9146519,2.6508327,0.06500372,2.9146519,3.7485788,0.21407028,0.94856596,0.9340623,0.51624525,0.94856596,0.9769907,0.5533141
15,1,2.3932602,2.2165153,-0.13737196,2.3932602,4.096827,-0.2013028,0.91631186,0.9017228,0.46571088,0.91631186,0.9836466,0.44984356
16,1,4.798788,4.20224,-0.101311475,4.798788,5.1955223,0.33833325,0.9918276,0.98525846,0.47469378,0.9918276,0.9944892,0.5837856
17,1,4.8208756,4.145732,0.21832374,4.8208756,4.8774586,0.42699468,0.9920047,0.98441494,0.55436516,0.9920047,0.9924412,0.6051558
18,1,3.8177462,3.5743437,-0.037013292,3.8177462,3.6977658,-0.33013058,0.9784953,0.97273064,0.49074772,0.9784953,0.9758203,0.41820887
19,1,5.231683,4.4530935,0.19693801,5.231683,5.1233788,0.036413684,0.9946839,0.98849154,0.54907596,0.9946839,0.9940795,0.5091024
20,0,1.9463823,1.7690356,0.17325646,1.9463823,4.372132,-0.2530164,0.8750516,0.85433775,0.5432061,0.8750516,0.9875331,0.4370812
21,0,3.2001514,3.1392975,0.06393458,3.2001514,4.738283,0.41773182,0.96084005,0.9584849,0.5159782,0.96084005,0.9913223,0.6029404
22,1,4.7365227,4.1739264,0.518353,4.7365227,4.657583,0.6577497,0.9913072,0.9848416,0.6267625,0.9913072,0.9905998,0.65875477
23,1,4.8529243,4.280855,-0.20644633,4.8529243,5.2059207,-0.1262056,0.992255,0.9863579,0.4485709,0.992255,0.99454594,0.46849045
24,1,4.6348715,3.8684568,-0.010066707,4.6348715,4.355544,0.20621204,0.990386,0.9795369,0.49748334,0.990386,0.98732716,0.5513711
25,1,3.8141303,3.0338178,0.19372728,3.8141303,4.1317983,0.6366974,0.97841907,0.9540787,0.5482809,0.97841907,0.98419964,0.65400654
26,0,-3.524324,-3.424666,0.084837444,-3.524324,-1.212268,-0.095864475,0.028628007,0.03153342,0.52119666,0.028628007,0.2293,0.47605225
27,1,1.9933884,1.9003873,0.074669704,1.9933884,1.3522943,0.121542215,0.8801011,0.86993533,0.51865876,0.8801011,0.79450446,0.53034824
28,1,2.9841638,2.981193,0.33730268,2.9841638,4.782088,0.5458394,0.9518535,0.95171726,0.58353513,0.9518535,0.9916911,0.6331698
29,1,4.4202604,3.4447494,0.14563134,4.4202604,4.692113,0.35492325,0.988112,0.96907413,0.5363436,0.988112,0.99091595,0.587811
30,1,5.1279216,4.344661,0.30164826,5.1279216,5.043809,0.34484804,0.99410605,0.9871903,0.5748454,0.99410605,0.9935922,0.5853677
31,1,3.385439,3.5201864,0.381283,3.385439,4.922501,0.62861794,0.9672463,0.9712567,0.5941825,0.9672463,0.9927717,0.6521761
32,0,2.6993332,2.1759639,-0.024623632,2.6993332,3.8214622,0.27664697,0.9369873,0.8980702,0.49384442,0.9369873,0.9785734,0.568724
33,1,4.856192,4.064539,-0.048840567,4.856192,5.1255455,0.25049925,0.99228,0.98311895,0.48779228,0.99228,0.99409217,0.5622994
34,1,3.9736164,3.5027294,-0.322107,3.9736164,4.8137856,-0.001317054,0.9815419,0.9707653,0.42016232,0.9815419,0.99194825,0.4996707
35,1,2.2389724,1.8197525,-0.0035837889,2.2389724,3.5988364,0.11401135,0.90369505,0.8605364,0.49910408,0.90369505,0.9733729,0.528472
36,1,4.931271,4.2049694,0.026592623,4.931271,5.127927,0.15339293,0.99283445,0.98529816,0.50664777,0.99283445,0.99410605,0.5382732
37,1,-0.037346512,-0.16212484,0.28196982,-0.037346512,0.61110115,-0.039418206,0.49066448,0.45955732,0.5700291,0.49066448,0.6481919,0.4901467
38,1,4.8278236,4.235812,0.18588386,4.8278236,5.089327,0.53909,0.9920596,0.9857383,0.54633766,0.9920596,0.99387556,0.63160074
39,1,4.7027235,4.168883,-0.13332829,4.7027235,4.9420834,-0.09703946,0.991011,0.9847661,0.4667172,0.991011,0.9929109,0.47575915
40,1,4.550582,3.7379463,-0.04834421,4.550582,4.7330694,0.041207224,0.9895493,0.97675043,0.4879163,0.9895493,0.99127734,0.51030034
41,1,2.7339523,2.9285111,0.17566194,2.7339523,4.7470026,0.56919795,0.9390006,0.949238,0.5438029,0.9390006,0.99139696,0.63857806
42,1,3.8815627,2.6104326,-0.10721036,3.8815627,4.2350492,-0.14654735,0.97979796,0.93152994,0.4732231,0.97979796,0.9857276,0.4634286
43,1,1.8542105,1.5602751,0.071652934,1.8542105,3.5257688,0.23636462,0.8646207,0.8263928,0.5179056,0.8646207,0.9714121,0.55881757
44,1,4.880027,4.028173,-0.020897828,4.880027,5.015113,0.3394552,0.9924604,0.98250467,0.49477574,0.9924604,0.9934069,0.58405817
45,1,0.83144486,0.67013127,0.013720289,0.83144486,1.4237095,0.56541866,0.69666034,0.6615325,0.50343,0.69666034,0.80591935,0.6377054
46,1,4.6729403,3.9139235,0.50618535,4.6729403,5.0159345,0.36536083,0.9907418,0.98042864,0.6239118,0.9907418,0.9934123,0.5903375
47,1,4.0198007,3.4007769,-0.18233949,4.0198007,4.831972,0.07305609,0.98236024,0.9677288,0.454541,0.98236024,0.9920922,0.5182559
48,0,2.9064784,2.6238527,-0.010734893,2.9064784,4.476985,0.2003466,0.9481657,0.93238103,0.4973163,0.9481657,0.9887601,0.5499198
49,1,3.5061908,3.3074114,0.0924785,3.5061908,4.7825804,0.51624906,0.97086334,0.96468216,0.5231032,0.97086334,0.9916952,0.62627023
50,0,3.3831,2.5219893,0.022382557,3.3831,2.5720942,0.13115641,0.96717215,0.925669,0.5055954,0.96717215,0.9290438,0.5327422
51,1,4.9486256,4.252876,0.5920454,4.9486256,5.1624,0.42890984,0.99295676,0.9859762,0.6438343,0.99295676,0.9943047,0.6056133
52,1,4.6362467,3.9542983,0.2172739,4.6362467,5.0160794,-0.019452766,0.99039906,0.9811886,0.55410576,0.99039906,0.99341327,0.49513695
53,1,5.030517,4.400568,0.13840596,5.030517,5.1904607,0.24555373,0.993507,0.9878784,0.5345463,0.993507,0.9944614,0.5610818
54,1,4.499549,3.809074,0.39833987,4.499549,4.8646317,0.7032343,0.9890082,0.978312,0.5982887,0.9890082,0.99234444,0.6689045
55,1,3.691014,3.0032907,0.2709148,3.691014,4.04296,0.7766739,0.9756605,0.9527226,0.5673175,0.9756605,0.9827571,0.6849628
56,1,3.678716,3.3990989,-0.1982771,3.678716,4.1918516,0.29401165,0.9753667,0.96767634,0.4505925,0.9753667,0.98510695,0.57297796
57,1,4.3486166,3.6216638,-0.1207674,4.3486166,4.970615,-0.029859275,0.98724025,0.97395813,0.4698448,0.98724025,0.99310887,0.4925357
58,1,5.1036406,4.52542,0.12703174,5.1036406,5.1241894,0.25312757,0.9939621,0.9892859,0.5317153,0.9939621,0.9940842,0.56294614
59,1,5.046533,4.1282625,0.08149913,5.046533,5.033143,0.15629047,0.99360955,0.98414457,0.5203635,0.99360955,0.99352396,0.5389933
60,1,4.7978153,4.195997,0.34695426,4.7978153,5.139556,-0.13054061,0.99181974,0.98516756,0.5858788,0.99181974,0.9941738,0.46741107
61,1,2.860631,2.7061758,0.053809553,2.860631,4.5707674,0.30627275,0.94586563,0.93739,0.51344913,0.94586563,0.98975605,0.57597524
62,0,-2.631144,-2.430073,0.18627357,-2.631144,-0.2757858,0.43516183,0.06716073,0.08090804,0.5464342,0.06716073,0.43148726,0.6071056
63,1,4.6638536,3.778023,0.24997419,4.6638536,4.81942,0.09953433,0.99065804,0.97764343,0.56217015,0.99065804,0.9919932,0.52486306
64,1,0.23185262,0.31154707,0.1729849,0.23185262,1.0271888,0.47068888,0.5577049,0.5772628,0.54313874,0.5577049,0.73637056,0.6155468
65,1,3.6615505,3.0415955,0.026933104,3.6615505,3.910199,-0.06514436,0.97495085,0.95441836,0.5067329,0.97495085,0.9803571,0.48371965
66,0,4.8697186,4.0490465,-0.06606671,4.8697186,5.179702,0.18908474,0.99238294,0.9828599,0.48348936,0.99238294,0.9944019,0.5471308
67,0,1.4124826,1.1249503,0.13851756,1.4124826,1.7870133,0.4242147,0.80415726,0.75490576,0.53457415,0.80415726,0.8565607,0.60449135
68,1,3.844275,3.4099834,0.18598497,3.844275,4.9200993,0.48390275,0.9790466,0.96801513,0.5463627,0.9790466,0.9927545,0.61866903
69,1,4.7254767,3.8937705,0.4748849,4.7254767,5.0131946,0.3600962,0.9912115,0.9800381,0.6165393,0.9912115,0.9933943,0.5890637
70,1,4.933913,3.7993135,0.08095776,4.933913,4.9632506,0.23089647,0.9928531,0.9781041,0.5202284,0.9928531,0.9930583,0.557469
71,1,4.774726,4.0037746,0.39572418,4.774726,4.9619503,0.3030225,0.99163026,0.98208034,0.5976599,0.99163026,0.9930494,0.57518125
72,1,2.2527132,2.1028936,0.15928566,2.2527132,2.6499596,0.41016552,0.90488434,0.8911841,0.53973746,0.90488434,0.93400854,0.60112756
73,1,4.691865,3.9141276,0.35393146,4.691865,5.188875,0.32863724,0.99091375,0.9804326,0.5875706,0.99091375,0.99445266,0.58142775
74,1,5.376796,4.594266,0.33240467,5.376796,5.207412,0.41099057,0.9953987,0.98999155,0.58234435,0.9953987,0.9945539,0.6013254
75,1,5.0357714,4.2354918,-0.04686889,5.0357714,5.1740074,0.15129635,0.9935408,0.98573375,0.48828492,0.9935408,0.99437004,0.5377521
