index,label,pred,score,logit
0,1,1,0.9916413,4.7760572
1,0,1,0.9595138,3.1654649
2,0,1,0.96483386,3.3118725
3,0,1,0.96006376,3.1797144
4,1,1,0.99193406,4.812006
5,1,1,0.996626,5.688278
6,1,1,0.99803203,6.2287745
7,0,1,0.98953176,4.548889
8,1,1,0.9589783,3.1517673
9,1,1,0.67298603,0.72172177
10,1,1,0.99753284,6.0022073
11,1,1,0.9988306,6.750101
12,1,1,0.99337596,5.0104094
13,1,1,0.99530846,5.357293
14,1,1,0.98378354,4.10538
15,1,1,0.9891509,4.5127645
16,1,1,0.99826896,6.3573284
17,1,1,0.9883853,4.4437995
18,1,1,0.9960984,5.5424767
19,1,1,0.99748117,5.98144
20,0,1,0.94338155,2.813136
21,0,1,0.98967373,4.562687
22,1,1,0.99548775,5.3964386
23,1,1,0.9970673,5.828866
24,1,1,0.67319006,0.72264886
25,1,1,0.9850455,4.187676
26,0,0,0.0052855136,-5.237486
27,1,1,0.80326754,1.4068431
28,1,1,0.9413523,2.7757695
29,1,1,0.9932789,4.995756
30,1,1,0.9981462,6.2886457
31,1,1,0.9906448,4.662427
32,0,1,0.94338703,2.8132386
33,1,1,0.9930588,4.9633083
34,1,1,0.9860021,4.2547536
35,1,1,0.90185046,2.2179563
36,1,1,0.9980313,6.2284184
37,1,0,0.31075877,-0.7965744
38,1,1,0.99643517,5.6330633
39,1,1,0.99405,5.1184025
40,1,1,0.99620324,5.569815
41,1,1,0.98853207,4.456663
42,1,1,0.9782581,3.8065314
43,1,1,0.846017,1.7036972
44,1,1,0.9389739,2.7334862
45,1,1,0.9189753,2.4285052
46,1,1,0.99650204,5.652082
47,1,1,0.9848268,4.172938
48,0,1,0.994538,5.2044754
49,1,1,0.98301184,4.0581026
50,0,1,0.7152225,0.92088556
51,1,1,0.99098176,4.699451
52,1,1,0.9985459,6.531897
53,1,1,0.99817,6.3016315
54,1,1,0.9932748,4.9951386
55,1,1,0.99549145,5.397241
56,1,1,0.9756107,3.6889203
57,1,1,0.99389464,5.092458
58,1,1,0.99558973,5.419401
59,1,1,0.9945018,5.1978264
60,1,1,0.9977055,6.074962
61,1,1,0.9659105,3.3440814
62,0,0,0.18012497,-1.515501
63,1,1,0.9776254,3.7772012
64,1,1,0.9665832,3.3647063
