method,condition,AUC,F1,Acc,dAUC,dF1,dAcc
min,both,0.899,0.706,0.929,,,
min,image_only,0.621,0.385,0.887,-0.278,-0.321,-0.042
min,text_only,0.772,0.687,0.929,-0.127,-0.018,0.0
mean,both,0.905,0.545,0.912,,,
mean,image_only,0.781,0.385,0.887,-0.124,-0.161,-0.025
mean,text_only,0.918,0.687,0.929,0.012,0.142,0.018
max,both,0.885,0.333,0.887,,,
max,image_only,0.78,0.0,0.859,-0.104,-0.333,-0.028
max,text_only,0.916,0.0,0.859,0.032,-0.333,-0.028
svm-rbf,both,0.888,0.222,0.876,,,
svm-rbf,image_only,0.782,0.14,0.869,-0.106,-0.083,-0.007
svm-rbf,text_only,0.917,0.333,0.887,0.029,0.111,0.011
linear,both,0.909,0.727,0.936,,,
linear,image_only,0.781,0.455,0.873,-0.128,-0.273,-0.064
linear,text_only,0.918,0.722,0.929,0.009,-0.005,-0.007
