index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
0,1,1,0.99074286,4.67306,0.6102288961410522,0.99074286,4.673067,0.91072196,2.322482
1,0,1,0.9597077,3.1704679,1.0,0.083732866,-2.3926764,0.9597077,3.1704683
2,0,1,0.9649075,3.3140457,1.0,0.06886228,-2.6042986,0.9649075,3.3140476
3,0,1,0.9600747,3.1800015,1.0,0.6808308,0.75759244,0.9600747,3.1800008
4,1,1,0.9973826,5.942946,0.6484785676002502,0.9973826,5.942953,0.9815061,3.971646
5,1,1,0.99739265,5.9468117,0.8202610611915588,0.99739265,5.946809,0.9950832,5.310176
6,1,1,0.9686184,3.4296486,0.8635133504867554,0.9686184,3.4296494,0.9261963,2.5296774
7,0,1,0.9895404,4.5497203,1.0,0.048674583,-2.9726992,0.9895404,4.54972
8,1,1,0.99538165,5.3730893,0.7010548710823059,0.99538165,5.373086,0.73605305,1.0255542
9,1,1,0.99548066,5.394859,0.6791407465934753,0.99548066,5.394866,0.68671674,0.7848141
10,1,1,0.98955697,4.5513225,0.6445000171661377,0.98955697,4.551322,0.7675888,1.1947461
11,1,1,0.98685515,4.3184934,0.7045734524726868,0.98685515,4.318494,0.26245415,-1.0332519
12,1,1,0.80812013,1.4378412,0.6434722542762756,0.80812013,1.4378414,0.730359,0.996445
13,1,1,0.9893762,4.5339766,0.6442786455154419,0.9893762,4.5339746,0.85033995,1.73727
14,1,1,0.99066377,4.6644726,0.7104411125183105,0.99066377,4.664469,0.98263216,4.0356183
15,1,1,0.9943136,5.163975,0.8025006055831909,0.9943136,5.163962,0.97096014,3.509616
16,1,1,0.99388593,5.0910306,0.7537804841995239,0.99388593,5.0910363,0.94862366,2.915834
17,1,1,0.92589945,2.5253427,0.7412031292915344,0.92589945,2.5253417,0.58476937,0.34238356
18,1,1,0.96677434,3.3706427,0.7834739089012146,0.96677434,3.3706412,0.15273212,-1.7133315
19,1,1,0.9958255,5.4745846,0.6409744620323181,0.9958255,5.4745855,0.99496526,5.286354
20,0,1,0.94349337,2.8152313,1.0,0.262477,-1.0331337,0.94349337,2.8152316
21,0,1,0.9896923,4.5645,1.0,0.114387944,-2.0466833,0.9896923,4.564497
22,1,1,0.9957826,5.4643135,0.8505648374557495,0.9957826,5.464321,0.9867078,4.307197
23,1,1,0.9980385,6.2320676,0.7299894690513611,0.9980385,6.2320747,0.997607,6.032819
24,1,1,0.99314016,4.975188,0.7091553807258606,0.99314016,4.97518,0.84142566,1.6688739
25,1,1,0.9957808,5.4638877,0.7169566750526428,0.9957808,5.463873,0.97566223,3.6910872
26,0,0,0.042471718,-3.115517,0.8424949049949646,0.042471718,-3.115517,0.004276216,-5.4504013
27,1,1,0.9894258,4.538706,0.8533909916877747,0.9894258,4.5387096,0.83650255,1.632432
28,1,1,0.9919159,4.8097367,0.7454944849014282,0.9919159,4.8097343,0.9458682,2.860681
29,1,1,0.9969982,5.805534,0.4823671579360962,0.9969982,5.8055267,0.9948685,5.2672234
30,1,1,0.9939615,5.103545,0.7462255954742432,0.9939615,5.1035485,0.9862242,4.2709713
31,1,1,0.9330761,2.6349304,0.6297687888145447,0.9330761,2.634931,0.9022378,2.2223396
32,0,1,0.9435932,2.8171055,1.0,0.7557587,1.1295655,0.9435932,2.8171053
33,1,1,0.9684182,3.4230824,0.8494426608085632,0.9684182,3.4230828,0.8280267,1.5717062
34,1,1,0.9917926,4.7944803,0.7562860250473022,0.9917926,4.794477,0.9843529,4.1416993
35,1,1,0.95042104,2.9533384,0.710500180721283,0.95042104,2.9533372,0.052773103,-2.887537
36,1,1,0.99272513,4.9160285,0.8012158870697021,0.99272513,4.916031,0.9397536,2.747175
37,1,1,0.9928758,4.9371104,0.5607386827468872,0.9928758,4.9371037,0.8429895,1.6806421
38,1,1,0.9941776,5.1401997,0.7882872819900513,0.9941776,5.1402063,0.9876304,4.3800673
39,1,1,0.9884673,4.450967,0.7886260747909546,0.9884673,4.4509687,0.7199332,0.9441304
40,1,1,0.99384284,5.0839634,0.6193493008613586,0.99384284,5.083971,0.95729274,3.1097395
41,1,1,0.5093044,0.037221923,0.6669715642929077,0.5093044,0.03722197,0.44784525,-0.20938066
42,1,1,0.9907821,4.6773453,0.6453500986099243,0.9907821,4.677342,0.37637666,-0.5049561
43,1,1,0.9756713,3.6914687,0.6304142475128174,0.9756713,3.691468,0.8160573,1.4898602
44,1,1,0.99422,5.147558,0.6806278824806213,0.99422,5.147565,0.8714384,1.913737
45,1,1,0.98827153,4.4339385,0.6871359944343567,0.98827153,4.433939,0.7068026,0.87990534
46,1,1,0.98425967,4.135663,0.661188006401062,0.98425967,4.135663,0.7490851,1.0937388
47,1,1,0.83396906,1.6140221,0.7597441673278809,0.83396906,1.6140225,0.8264665,1.5607891
48,0,1,0.9945205,5.2012444,1.0,0.97259676,3.5693097,0.9945205,5.201237
49,1,1,0.9908983,4.690152,0.7289704084396362,0.9908983,4.6901517,0.980396,3.912222
50,0,1,0.7157236,0.9233469,1.0,0.054556746,-2.8524125,0.7157236,0.9233471
51,1,0,0.29675332,-0.86280656,0.6730527281761169,0.29675332,-0.8628065,0.007225786,-4.9228473
52,1,1,0.9964462,5.6361756,0.7171057462692261,0.9964462,5.6361837,0.0672625,-2.629521
53,1,1,0.9970432,5.820684,0.7811181545257568,0.9970432,5.820682,0.98653203,4.2938786
54,1,1,0.9875683,4.3749976,0.6884993314743042,0.9875683,4.374999,0.9850327,4.1868024
55,1,1,0.9203847,2.4475856,0.8935042023658752,0.9203847,2.447585,0.19547074,-1.4148467
56,1,1,0.9101363,2.3153,0.827649712562561,0.9101363,2.3153005,0.2343699,-1.1837986
57,1,1,0.98350185,4.0878716,0.8500747084617615,0.98350185,4.087874,0.5673698,0.27112824
58,1,1,0.9760784,3.7087607,0.6966730356216431,0.9760784,3.7087622,0.5918098,0.371452
59,1,1,0.99802387,6.2246356,0.7515397667884827,0.99802387,6.2246056,0.9929304,4.9448566
60,1,1,0.9889565,4.494809,0.8467127084732056,0.9889565,4.4948087,0.5566362,0.22752127
61,1,1,0.99694437,5.7877083,0.7478007674217224,0.99694437,5.787709,0.9503209,2.9512162
62,0,1,0.9999331,9.612597,0.5145798921585083,0.42749622,-0.29207382,0.9999331,9.611914
63,1,1,0.9829025,4.0515795,0.581456184387207,0.9829025,4.0515785,0.97930795,3.8570943
64,1,1,0.9942543,5.1535397,0.6976479887962341,0.9942543,5.1535506,0.8226772,1.534592
65,1,1,0.9978315,6.1315594,0.7400346994400024,0.9978315,6.1315393,0.9794295,3.8631146
66,0,1,0.9976604,6.0554323,1.0,0.99680114,5.7417736,0.9976604,6.055435
67,0,1,0.7497508,1.0972836,1.0,0.22410886,-1.2418803,0.7497508,1.0972838
68,1,1,0.9682567,3.417816,0.7179815769195557,0.9682567,3.4178133,0.9482444,2.9080787
