index,label,score,pred,score_text,score_image,logit_text,logit_image
0,1,0.9906142,1,0.9906142,0.9916413,4.6591206,4.7760572
1,0,0.083193816,0,0.083193816,0.9595138,-2.399723,3.1654649
2,0,0.06779412,0,0.06779412,0.96483386,-2.6210783,3.3118725
3,0,0.68680143,1,0.68680143,0.96006376,0.78520787,3.1797144
4,1,0.99193406,1,0.9972984,0.99193406,5.9112062,4.812006
5,1,0.996626,1,0.99738663,0.996626,5.9444895,5.688278
6,1,0.9685763,1,0.9685763,0.99803203,3.4282672,6.2287745
7,0,0.044225648,0,0.044225648,0.98953176,-3.073217,4.548889
8,1,0.9589783,1,0.9956923,0.9589783,5.4430313,3.1517673
9,1,0.67298603,1,0.9956797,0.67298603,5.4401007,0.72172177
10,1,0.98970735,1,0.98970735,0.99753284,4.5659823,6.0022073
11,1,0.98742735,1,0.98742735,0.9988306,4.3635807,6.750101
12,1,0.8041366,1,0.8041366,0.99337596,1.4123515,5.0104094
13,1,0.9893226,1,0.9893226,0.99530846,4.5288963,5.357293
14,1,0.98378354,1,0.9908366,0.98378354,4.683339,4.10538
15,1,0.9891509,1,0.9941644,0.9891509,5.137916,4.5127645
16,1,0.99371934,1,0.99371934,0.99826896,5.0639706,6.3573284
17,1,0.9263817,1,0.9263817,0.9883853,2.5323925,4.4437995
18,1,0.9679584,1,0.9679584,0.9960984,3.4081538,5.5424767
19,1,0.9959781,1,0.9959781,0.99748117,5.511972,5.98144
20,0,0.25400895,0,0.25400895,0.94338155,-1.0773442,2.813136
21,0,0.11123015,0,0.11123015,0.98967373,-2.0782368,4.562687
22,1,0.99548775,1,0.99573416,0.99548775,5.452841,5.3964386
23,1,0.9970673,1,0.99809164,0.9970673,6.2596216,5.828866
24,1,0.67319006,1,0.9931258,0.67319006,4.9730825,0.72264886
25,1,0.9850455,1,0.9960383,0.9850455,5.5271373,4.187676
26,0,0.0052855136,0,0.041875884,0.0052855136,-3.1302671,-5.237486
27,1,0.80326754,1,0.99062437,0.80326754,4.6602206,1.4068431
28,1,0.9413523,1,0.99104846,0.9413523,4.706935,2.7757695
29,1,0.9932789,1,0.99680746,0.9932789,5.7437296,4.995756
30,1,0.99423367,1,0.99423367,0.9981462,5.1499305,6.2886457
31,1,0.9323145,1,0.9323145,0.9906448,2.622798,4.662427
32,0,0.7504192,1,0.7504192,0.94338703,1.1008492,2.8132386
33,1,0.96584284,1,0.96584284,0.9930588,3.3420298,4.9633083
34,1,0.9860021,1,0.99180543,0.9860021,4.7960534,4.2547536
35,1,0.90185046,1,0.9508417,0.90185046,2.962303,2.2179563
36,1,0.99249226,1,0.99249226,0.9980313,4.884288,6.2284184
37,1,0.31075877,0,0.99327713,0.31075877,4.9955034,-0.7965744
38,1,0.99399805,1,0.99399805,0.99643517,5.1096587,5.6330633
39,1,0.9891073,1,0.9891073,0.99405,4.508713,5.1184025
40,1,0.99354595,1,0.99354595,0.99620324,5.036585,5.569815
41,1,0.5161808,1,0.5161808,0.98853207,0.06474581,4.456663
42,1,0.9782581,1,0.9909713,0.9782581,4.698283,3.8065314
43,1,0.846017,1,0.9776324,0.846017,3.777521,1.7036972
44,1,0.9389739,1,0.99378246,0.9389739,5.074134,2.7334862
45,1,0.9189753,1,0.9871869,0.9189753,4.344391,2.4285052
46,1,0.9855644,1,0.9855644,0.99650204,4.2235165,5.652082
47,1,0.82876706,1,0.82876706,0.9848268,1.5769145,4.172938
48,0,0.9746757,1,0.9746757,0.994538,3.65034,5.2044754
49,1,0.98301184,1,0.99087924,0.98301184,4.6880393,4.0581026
50,0,0.05703952,0,0.05703952,0.7152225,-2.80528,0.92088556
51,1,0.27163544,0,0.27163544,0.99098176,-0.9863409,4.699451
52,1,0.99638474,1,0.99638474,0.9985459,5.6189694,6.531897
53,1,0.99711394,1,0.99711394,0.99817,5.844963,6.3016315
